task,layer,kv_head,v100_fnr,gpu4090_fnr,v100_fpr,gpu4090_fpr,v100_accepted_fraction,gpu4090_accepted_fraction,v100_fn_count,gpu4090_fn_count,v100_fp_count,gpu4090_fp_count,v100_positive_support,gpu4090_positive_support,v100_negative_support,gpu4090_negative_support,fnr_abs_diff,fpr_abs_diff,accepted_fraction_abs_diff,fn_count_abs_diff,cross_hardware_consistent,support_label,fnr_stability_label,label,readiness,high_fnr_rank,low_risk_rank
dureader,0,3,0.7894736842105263,0.8412698412698413,0.0,0.0,0.125,0.10416666666666667,45,53,0,0,57,63,39,33,0.05179615705931495,0.0,0.02083333333333333,8,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,1,1
passage_retrieval_zh,0,3,0.7169811320754716,0.576271186440678,0.0,0.0,0.15625,0.2604166666666667,38,34,0,0,53,59,43,37,0.14070994563479367,0.0,0.10416666666666669,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,2,2
passage_retrieval_en,22,0,0.5344827586206896,0.6071428571428571,0.0,0.0,0.28125,0.22916666666666666,31,34,0,0,58,56,38,40,0.07266009852216748,0.0,0.05208333333333334,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,7,3
passage_retrieval_zh,25,3,0.5357142857142857,0.559322033898305,0.0,0.0,0.2708333333333333,0.2708333333333333,30,33,0,0,56,59,40,37,0.02360774818401934,0.0,0.0,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,5,4
passage_retrieval_en,26,7,0.576271186440678,0.5254237288135594,0.0,0.0,0.2604166666666667,0.2916666666666667,34,31,0,0,59,59,37,37,0.05084745762711862,0.0,0.03125,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,9,5
dureader,22,0,0.43636363636363634,0.576271186440678,0.0,0.0,0.3229166666666667,0.2604166666666667,24,34,0,0,55,59,41,37,0.13990755007704164,0.0,0.0625,10,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,33,6
dureader,24,4,0.532258064516129,0.5735294117647058,0.0,0.0,0.3020833333333333,0.3020833333333333,33,39,0,0,62,68,34,28,0.04127134724857684,0.0,0.0,6,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,8,7
passage_retrieval_zh,23,5,0.45614035087719296,0.5333333333333333,0.0,0.0,0.3229166666666667,0.2916666666666667,26,32,0,0,57,60,39,36,0.07719298245614037,0.0,0.03125,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,22,8
passage_retrieval_zh,22,0,0.4666666666666667,0.5254237288135594,0.0,0.0,0.3333333333333333,0.2916666666666667,28,31,0,0,60,59,36,37,0.05875706214689269,0.0,0.04166666666666663,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,20,9
passage_retrieval_en,24,4,0.55,0.47058823529411764,0.0,0.0,0.28125,0.375,33,32,0,0,60,68,36,28,0.0794117647058824,0.0,0.09375,1,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,18,10
passage_retrieval_zh,25,1,0.423728813559322,0.48214285714285715,0.0,0.0,0.3541666666666667,0.3020833333333333,25,27,0,0,59,56,37,40,0.058414043583535136,0.0,0.05208333333333337,2,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,39,11
passage_retrieval_zh,24,4,0.48484848484848486,0.5652173913043478,0.0,0.0,0.3541666666666667,0.3125,32,39,0,0,66,69,30,27,0.08036890645586292,0.0,0.041666666666666685,7,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,16,12
passage_retrieval_zh,27,1,0.5263157894736842,0.39344262295081966,0.0,0.0,0.28125,0.3854166666666667,30,24,0,0,57,61,39,35,0.13287316652286452,0.0,0.10416666666666669,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,68,13
passage_retrieval_en,27,5,0.5076923076923077,0.49230769230769234,0.0,0.0,0.3333333333333333,0.34375,33,32,0,0,65,65,31,31,0.01538461538461533,0.0,0.010416666666666685,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,13,14
passage_retrieval_zh,3,6,0.4098360655737705,0.5166666666666667,0.0,0.0,0.375,0.3020833333333333,25,31,0,0,61,60,35,36,0.10683060109289622,0.0,0.07291666666666669,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,48,15
dureader,27,5,0.5072463768115942,0.4918032786885246,0.0,0.0,0.3541666666666667,0.3229166666666667,35,30,0,0,69,61,27,35,0.015443098123069654,0.0,0.03125,5,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,14,16
passage_retrieval_en,30,0,0.5238095238095238,0.4461538461538462,0.0,0.0,0.3125,0.375,33,29,0,0,63,65,33,31,0.07765567765567766,0.0,0.0625,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,25,17
passage_retrieval_zh,23,3,0.5522388059701493,0.4098360655737705,0.0,0.0,0.3125,0.375,37,25,0,0,67,61,29,35,0.1424027403963788,0.0,0.0625,12,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,47,18
passage_retrieval_en,19,6,0.5303030303030303,0.47058823529411764,0.0,0.0,0.3229166666666667,0.375,35,32,0,0,66,68,30,28,0.059714795008912636,0.0,0.052083333333333315,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,17,19
passage_retrieval_zh,24,5,0.47058823529411764,0.515625,0.0,0.0,0.375,0.3229166666666667,32,33,0,0,68,64,28,32,0.04503676470588236,0.0,0.052083333333333315,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,19,20
passage_retrieval_zh,21,7,0.45,0.45161290322580644,0.0,0.0,0.34375,0.3541666666666667,27,28,0,0,60,62,36,34,0.001612903225806428,0.0,0.010416666666666685,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,24,21
dureader,24,5,0.5,0.4375,0.0,0.0,0.3229166666666667,0.375,31,28,0,0,62,64,34,32,0.0625,0.0,0.052083333333333315,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,32,22
dureader,23,5,0.5245901639344263,0.4090909090909091,0.0,0.0,0.3020833333333333,0.40625,32,27,0,0,61,66,35,30,0.11549925484351714,0.0,0.10416666666666669,5,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,49,23
passage_retrieval_en,21,6,0.5245901639344263,0.4090909090909091,0.0,0.0,0.3020833333333333,0.40625,32,27,0,0,61,66,35,30,0.11549925484351714,0.0,0.10416666666666669,5,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,50,24
passage_retrieval_en,15,3,0.5211267605633803,0.4852941176470588,0.0,0.0,0.3541666666666667,0.3645833333333333,37,33,0,0,71,68,25,28,0.03583264291632143,0.0,0.01041666666666663,4,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,15,25
dureader,26,7,0.45161290322580644,0.4444444444444444,0.0,0.0,0.3541666666666667,0.3645833333333333,28,28,0,0,62,63,34,33,0.007168458781362019,0.0,0.01041666666666663,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,26,26
passage_retrieval_en,22,7,0.5076923076923077,0.421875,0.0,0.0,0.3333333333333333,0.3854166666666667,33,27,0,0,65,64,31,32,0.08581730769230766,0.0,0.05208333333333337,6,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,40,27
dureader,22,7,0.53125,0.375,0.0,0.0,0.3125,0.4166666666666667,34,24,0,0,64,64,32,32,0.15625,0.0,0.10416666666666669,10,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,81,28
passage_retrieval_en,1,3,0.5194805194805194,0.5138888888888888,0.0,0.0,0.3854166666666667,0.3645833333333333,40,37,0,0,77,72,19,24,0.005591630591630592,0.0,0.02083333333333337,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,10,29
hotpotqa,22,0,0.4411764705882353,0.4426229508196721,0.0,0.0,0.3958333333333333,0.3541666666666667,30,27,0,0,68,61,28,35,0.001446480231436842,0.0,0.04166666666666663,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,30,30
passage_retrieval_en,3,6,0.5,0.3968253968253968,0.0,0.0,0.3541666666666667,0.3958333333333333,34,25,0,0,68,63,28,33,0.1031746031746032,0.0,0.04166666666666663,9,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,63,31
passage_retrieval_zh,21,6,0.4166666666666667,0.38333333333333336,0.0,0.0,0.3645833333333333,0.3854166666666667,25,23,0,0,60,60,36,36,0.033333333333333326,0.0,0.02083333333333337,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,76,32
passage_retrieval_zh,20,0,0.35,0.5,0.0,0.0,0.40625,0.34375,21,33,0,0,60,66,36,30,0.15000000000000002,0.0,0.0625,12,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,105,33
passage_retrieval_zh,26,7,0.5,0.4305555555555556,0.0,0.0,0.3333333333333333,0.4270833333333333,32,31,0,0,64,72,32,24,0.06944444444444442,0.0,0.09375,1,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,36,34
passage_retrieval_en,23,6,0.45161290322580644,0.4583333333333333,0.0,0.0,0.3541666666666667,0.40625,28,33,0,0,62,72,34,24,0.006720430107526876,0.0,0.052083333333333315,5,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,23,35
passage_retrieval_en,13,5,0.4782608695652174,0.4307692307692308,0.0,0.0,0.375,0.3854166666666667,33,28,0,0,69,65,27,31,0.04749163879598661,0.0,0.010416666666666685,5,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,35,36
passage_retrieval_zh,4,5,0.4461538461538462,0.3728813559322034,0.0,0.0,0.375,0.3854166666666667,29,22,0,0,65,59,31,37,0.07327249022164278,0.0,0.010416666666666685,7,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,84,37
dureader,21,7,0.45714285714285713,0.47058823529411764,0.0,0.0,0.3958333333333333,0.375,32,32,0,0,70,68,26,28,0.013445378151260512,0.0,0.020833333333333315,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,21,38
dureader,13,5,0.45454545454545453,0.4411764705882353,0.0,0.0,0.375,0.3958333333333333,30,30,0,0,66,68,30,28,0.01336898395721925,0.0,0.020833333333333315,0,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,29,39
passage_retrieval_zh,27,5,0.4264705882352941,0.47761194029850745,0.0,0.0,0.40625,0.3645833333333333,29,32,0,0,68,67,28,29,0.05114135206321335,0.0,0.041666666666666685,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,38,40
dureader,30,3,0.41935483870967744,0.43283582089552236,0.0,0.0,0.375,0.3958333333333333,26,29,0,0,62,67,34,29,0.013480982185844925,0.0,0.020833333333333315,3,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,43,41
passage_retrieval_en,30,7,0.4714285714285714,0.4393939393939394,0.0,0.0,0.3854166666666667,0.3854166666666667,33,29,0,0,70,66,26,30,0.03203463203463203,0.0,0.0,4,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,31,42
passage_retrieval_zh,3,0,0.46875,0.42028985507246375,0.0,0.0,0.3541666666666667,0.4166666666666667,30,29,0,0,64,69,32,27,0.04846014492753625,0.0,0.0625,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,41,43
hotpotqa,30,7,0.40298507462686567,0.46875,0.0,0.0,0.4166666666666667,0.3541666666666667,27,30,0,0,67,64,29,32,0.06576492537313433,0.0,0.0625,3,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,53,44
passage_retrieval_zh,8,6,0.4461538461538462,0.44285714285714284,0.0,0.0,0.375,0.40625,29,31,0,0,65,70,31,26,0.0032967032967033405,0.0,0.03125,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,28,45
dureader,25,1,0.42857142857142855,0.417910447761194,0.0,0.0,0.375,0.40625,27,28,0,0,63,67,33,29,0.010660980810234533,0.0,0.03125,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,44,46
passage_retrieval_en,3,5,0.375,0.3492063492063492,0.0,0.0,0.3645833333333333,0.4270833333333333,21,22,0,0,56,63,40,33,0.025793650793650813,0.0,0.0625,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,108,47
dureader,8,6,0.417910447761194,0.421875,0.0,0.0,0.40625,0.3854166666666667,28,27,0,0,67,64,29,32,0.003964552238805985,0.0,0.020833333333333315,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,45,48
passage_retrieval_en,17,5,0.39705882352941174,0.4461538461538462,0.0,0.0,0.4270833333333333,0.375,27,29,0,0,68,65,28,31,0.04909502262443444,0.0,0.052083333333333315,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,62,49
dureader,0,4,0.43243243243243246,0.4782608695652174,0.0,0.0,0.4375,0.375,32,33,0,0,74,69,22,27,0.04582843713278495,0.0,0.0625,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,34,50
passage_retrieval_zh,31,5,0.4142857142857143,0.4714285714285714,0.0,0.0,0.4270833333333333,0.3854166666666667,29,33,0,0,70,70,26,26,0.057142857142857106,0.0,0.04166666666666663,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,46,51
samsum,3,6,0.42424242424242425,0.3939393939393939,0.0,0.0,0.3958333333333333,0.4166666666666667,28,26,0,0,66,66,30,30,0.03030303030303033,0.0,0.02083333333333337,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,66,52
dureader,6,1,0.375,0.3770491803278688,0.0,0.0,0.4166666666666667,0.3958333333333333,24,23,0,0,64,61,32,35,0.002049180327868827,0.0,0.02083333333333337,1,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,83,53
hotpotqa,25,1,0.45161290322580644,0.35294117647058826,0.0,0.0,0.3541666666666667,0.4583333333333333,28,24,0,0,62,68,34,28,0.09867172675521818,0.0,0.10416666666666663,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,104,54
hotpotqa,3,6,0.3492063492063492,0.4714285714285714,0.0,0.0,0.4270833333333333,0.3854166666666667,22,33,0,0,63,70,33,26,0.12222222222222223,0.0,0.04166666666666663,11,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,106,55
dureader,3,6,0.39705882352941174,0.4492753623188406,0.0,0.0,0.4270833333333333,0.3958333333333333,27,31,0,0,68,69,28,27,0.052216538789428835,0.0,0.03125,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,61,56
dureader,23,3,0.359375,0.4492753623188406,0.0,0.0,0.4270833333333333,0.3958333333333333,23,31,0,0,64,69,32,27,0.08990036231884058,0.0,0.03125,8,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,97,57
samsum,26,7,0.3492063492063492,0.4153846153846154,0.0,0.0,0.4270833333333333,0.3958333333333333,22,27,0,0,63,65,33,31,0.06617826617826622,0.0,0.03125,5,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,107,58
dureader,9,1,0.463768115942029,0.4,0.0,0.0,0.3854166666666667,0.4375,32,28,0,0,69,70,27,26,0.06376811594202897,0.0,0.052083333333333315,4,True,low_support,unstable,stable_high_fnr_low_support,aggregate_only,54,59
passage_retrieval_zh,0,4,0.417910447761194,0.3939393939393939,0.0,0.0,0.40625,0.4166666666666667,28,26,0,0,67,66,29,30,0.023971053821800092,0.0,0.010416666666666685,2,True,low_support,stable,stable_high_fnr_low_support,aggregate_only,65,60
