hardware,layer,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,0,3083,705,22,670,4480,4480,3105,3753,727,0.030261348005502064,0.1785238475885958,0.992914653784219,0.8214761524114043,0.6930803571428571
v100,1,3115,841,19,505,4480,4480,3134,3620,860,0.022093023255813953,0.13950276243093923,0.9939374601148692,0.8604972375690608,0.6995535714285714
v100,10,3338,757,5,380,4480,4480,3343,3718,762,0.006561679790026247,0.10220548682087144,0.9985043374214777,0.8977945131791286,0.7462053571428572
v100,11,3367,701,52,360,4480,4480,3419,3727,753,0.06905710491367861,0.0965924335927019,0.9847908745247148,0.9034075664072981,0.7631696428571428
v100,12,3071,712,43,654,4480,4480,3114,3725,755,0.05695364238410596,0.17557046979865773,0.9861913937058445,0.8244295302013422,0.6950892857142857
v100,13,3071,779,8,622,4480,4480,3079,3693,787,0.010165184243964422,0.16842675331708637,0.9974017538161741,0.8315732466829137,0.6872767857142857
v100,14,3119,813,53,495,4480,4480,3172,3614,866,0.061200923787528866,0.13696734919756504,0.9832912988650694,0.863032650802435,0.7080357142857143
v100,15,2904,824,70,682,4480,4480,2974,3586,894,0.07829977628635347,0.1901840490797546,0.976462676529926,0.8098159509202454,0.6638392857142857
v100,16,3169,846,10,455,4480,4480,3179,3624,856,0.011682242990654205,0.12555187637969095,0.9968543567159485,0.8744481236203091,0.7095982142857142
v100,17,2893,949,5,633,4480,4480,2898,3526,954,0.005241090146750524,0.17952353942144073,0.9982746721877157,0.8204764605785593,0.646875
v100,18,3053,904,4,519,4480,4480,3057,3572,908,0.004405286343612335,0.14529675251959687,0.9986915276414786,0.8547032474804032,0.6823660714285714
v100,19,3017,895,9,559,4480,4480,3026,3576,904,0.00995575221238938,0.1563199105145414,0.9970257766027759,0.8436800894854586,0.6754464285714286
v100,2,3377,795,1,307,4480,4480,3378,3684,796,0.001256281407035176,0.08333333333333333,0.9997039668442865,0.9166666666666666,0.7540178571428572
v100,20,3014,889,3,574,4480,4480,3017,3588,892,0.0033632286995515697,0.15997770345596432,0.9990056347364932,0.8400222965440357,0.6734375
v100,21,2976,933,3,568,4480,4480,2979,3544,936,0.003205128205128205,0.16027088036117382,0.998992950654582,0.8397291196388262,0.6649553571428571
v100,22,2646,1073,12,749,4480,4480,2658,3395,1085,0.011059907834101382,0.22061855670103092,0.9954853273137697,0.7793814432989691,0.5933035714285714
v100,23,2837,992,5,646,4480,4480,2842,3483,997,0.0050150451354062184,0.18547229399942577,0.998240675580577,0.8145277060005742,0.634375
v100,24,2944,929,5,602,4480,4480,2949,3546,934,0.0053533190578158455,0.1697687535250987,0.9983045100033909,0.8302312464749013,0.6582589285714285
v100,25,3054,912,8,506,4480,4480,3062,3560,920,0.008695652173913044,0.14213483146067415,0.9973873285434357,0.8578651685393258,0.6834821428571428
v100,26,2989,932,5,554,4480,4480,2994,3543,937,0.005336179295624333,0.1563646627152131,0.9983299933199733,0.8436353372847869,0.6683035714285714
v100,27,2942,966,7,565,4480,4480,2949,3507,973,0.007194244604316547,0.16110635871114912,0.9976263140047473,0.8388936412888509,0.6582589285714285
v100,28,2917,902,9,652,4480,4480,2926,3569,911,0.009879253567508232,0.18268422527318576,0.9969241285030759,0.8173157747268143,0.653125
v100,29,3250,833,4,393,4480,4480,3254,3643,837,0.0047789725209080045,0.10787812242657151,0.9987707437000615,0.8921218775734285,0.7263392857142857
v100,3,2792,996,6,686,4480,4480,2798,3478,1002,0.005988023952095809,0.19723979298447383,0.997855611150822,0.8027602070155262,0.6245535714285714
v100,30,2825,981,8,666,4480,4480,2833,3491,989,0.008088978766430738,0.19077628186765969,0.9971761383692199,0.8092237181323403,0.6323660714285714
v100,31,3324,784,7,365,4480,4480,3331,3689,791,0.008849557522123894,0.09894280292762266,0.9978985289702792,0.9010571970723773,0.7435267857142858
v100,4,3139,875,4,462,4480,4480,3143,3601,879,0.004550625711035267,0.12829769508469868,0.9987273305758829,0.8717023049153013,0.7015625
v100,5,3504,725,7,244,4480,4480,3511,3748,732,0.009562841530054645,0.06510138740661686,0.9980062660210767,0.9348986125933831,0.7837053571428572
v100,6,3137,831,15,497,4480,4480,3152,3634,846,0.01773049645390071,0.1367638965327463,0.995241116751269,0.8632361034672538,0.7035714285714286
v100,7,3466,733,3,278,4480,4480,3469,3744,736,0.004076086956521739,0.07425213675213675,0.9991351974632459,0.9257478632478633,0.7743303571428571
v100,8,3190,703,6,581,4480,4480,3196,3771,709,0.00846262341325811,0.15407053831874834,0.9981226533166458,0.8459294616812516,0.7133928571428572
v100,9,3120,758,5,597,4480,4480,3125,3717,763,0.00655307994757536,0.1606133979015335,0.9984,0.8393866020984665,0.6975446428571429
gpu4090,0,3066,733,24,657,4480,4480,3090,3723,757,0.031704095112285335,0.17647058823529413,0.9922330097087378,0.8235294117647058,0.6897321428571429
gpu4090,1,3127,836,17,500,4480,4480,3144,3627,853,0.01992966002344666,0.13785497656465398,0.9945928753180662,0.862145023435346,0.7017857142857142
gpu4090,10,3307,768,9,396,4480,4480,3316,3703,777,0.011583011583011582,0.1069403186605455,0.997285886610374,0.8930596813394545,0.7401785714285715
gpu4090,11,3372,711,57,340,4480,4480,3429,3712,768,0.07421875,0.09159482758620689,0.9833770778652668,0.9084051724137931,0.7654017857142857
gpu4090,12,3100,687,43,650,4480,4480,3143,3750,730,0.0589041095890411,0.17333333333333334,0.9863188036907413,0.8266666666666667,0.7015625
gpu4090,13,3045,775,6,654,4480,4480,3051,3699,781,0.0076824583866837385,0.17680454176804541,0.9980334316617503,0.8231954582319546,0.6810267857142858
gpu4090,14,3158,815,42,465,4480,4480,3200,3623,857,0.049008168028004666,0.1283466740270494,0.986875,0.8716533259729506,0.7142857142857143
gpu4090,15,2866,836,76,702,4480,4480,2942,3568,912,0.08333333333333333,0.19674887892376683,0.9741672331747111,0.8032511210762332,0.6566964285714286
gpu4090,16,3168,845,4,463,4480,4480,3172,3631,849,0.004711425206124852,0.12751308179564858,0.9987389659520807,0.8724869182043514,0.7080357142857143
gpu4090,17,2902,968,5,605,4480,4480,2907,3507,973,0.0051387461459403904,0.17251211861990304,0.99828001375989,0.827487881380097,0.6488839285714286
gpu4090,18,3104,891,6,479,4480,4480,3110,3583,897,0.006688963210702341,0.13368685459112475,0.9980707395498393,0.8663131454088753,0.6941964285714286
