hardware,task,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,dureader,16332,4789,74,3381,24576,24576,16406,19713,4863,0.015216944273082459,0.17151118551209862,0.9954894550774107,0.8284888144879013,0.6675618489583334
v100,gsm8k,16105,3156,37,1182,20480,20480,16142,17287,3193,0.011587848418415283,0.06837507953953838,0.997707842894313,0.9316249204604616,0.78818359375
v100,hotpotqa,16911,4705,70,2890,24576,24576,16981,19801,4775,0.014659685863874346,0.14595222463511945,0.9958777457158,0.8540477753648805,0.6909586588541666
v100,passage_retrieval_en,15943,5025,76,3532,24576,24576,16019,19475,5101,0.014899039404038424,0.1813607188703466,0.9952556339347025,0.8186392811296535,0.6518147786458334
v100,passage_retrieval_zh,16360,4866,87,3263,24576,24576,16447,19623,4953,0.01756511205330103,0.16628446211078837,0.9947102815103058,0.8337155378892116,0.6692301432291666
v100,samsum,16992,4727,79,2778,24576,24576,17071,19770,4806,0.01643778610070745,0.14051593323216996,0.9953722687598852,0.8594840667678301,0.6946207682291666
gpu4090,dureader,16499,4740,75,3262,24576,24576,16574,19761,4815,0.01557632398753894,0.16507261778250087,0.9954748401110173,0.8349273822174991,0.6743977864583334
gpu4090,gsm8k,16102,3148,39,1191,20480,20480,16141,17293,3187,0.012237213680577345,0.06887179783727519,0.9975837928257233,0.9311282021627248,0.788134765625
gpu4090,hotpotqa,16869,4719,59,2929,24576,24576,16928,19798,4778,0.01234826287149435,0.1479442367915951,0.9965146502835539,0.8520557632084049,0.6888020833333334
gpu4090,passage_retrieval_en,15999,4952,81,3544,24576,24576,16080,19543,5033,0.016093781045102326,0.18134370362789745,0.9949626865671641,0.8186562963721026,0.654296875
gpu4090,passage_retrieval_zh,16316,4831,84,3345,24576,24576,16400,19661,4915,0.017090539165818923,0.170133767356696,0.9948780487804878,0.8298662326433041,0.6673177083333334
gpu4090,samsum,17002,4732,66,2776,24576,24576,17068,19778,4798,0.013755731554814505,0.14035797350591567,0.9961331146004219,0.8596420264940844,0.6944986979166666
