hardware,task,layer,kv_head,true_positive,true_negative,false_positive,false_negative,total,candidate_count,accepted_count,positive_support,negative_support,micro_fpr,micro_fnr,precision_micro,recall_micro,acceptance_micro
v100,dureader,0,0,78,3,1,14,96,96,79,92,4,0.25,0.15217391304347827,0.9873417721518988,0.8478260869565217,0.8229166666666666
v100,dureader,0,1,30,22,1,43,96,96,31,73,23,0.043478260869565216,0.589041095890411,0.967741935483871,0.410958904109589,0.3229166666666667
v100,dureader,0,2,66,13,0,17,96,96,66,83,13,0.0,0.20481927710843373,1.0,0.7951807228915663,0.6875
v100,dureader,0,3,12,39,0,45,96,96,12,57,39,0.0,0.7894736842105263,1.0,0.21052631578947367,0.125
v100,dureader,0,4,42,22,0,32,96,96,42,74,22,0.0,0.43243243243243246,1.0,0.5675675675675675,0.4375
v100,dureader,0,5,94,1,0,1,96,96,94,95,1,0.0,0.010526315789473684,1.0,0.9894736842105263,0.9791666666666666
v100,dureader,0,6,82,7,0,7,96,96,82,89,7,0.0,0.07865168539325842,1.0,0.9213483146067416,0.8541666666666666
v100,dureader,0,7,93,3,0,0,96,96,93,93,3,0.0,0.0,1.0,1.0,0.96875
v100,dureader,1,0,76,11,0,9,96,96,76,85,11,0.0,0.10588235294117647,1.0,0.8941176470588236,0.7916666666666666
v100,dureader,1,1,54,21,0,21,96,96,54,75,21,0.0,0.28,1.0,0.72,0.5625
v100,dureader,1,2,80,9,2,5,96,96,82,85,11,0.18181818181818182,0.058823529411764705,0.975609756097561,0.9411764705882353,0.8541666666666666
v100,dureader,1,3,54,28,0,14,96,96,54,68,28,0.0,0.20588235294117646,1.0,0.7941176470588235,0.5625
v100,dureader,1,4,88,5,1,2,96,96,89,90,6,0.16666666666666666,0.022222222222222223,0.9887640449438202,0.9777777777777777,0.9270833333333334
v100,dureader,1,5,77,15,0,4,96,96,77,81,15,0.0,0.04938271604938271,1.0,0.9506172839506173,0.8020833333333334
v100,dureader,1,6,63,16,0,17,96,96,63,80,16,0.0,0.2125,1.0,0.7875,0.65625
v100,dureader,1,7,54,18,0,24,96,96,54,78,18,0.0,0.3076923076923077,1.0,0.6923076923076923,0.5625
v100,dureader,10,0,76,13,0,7,96,96,76,83,13,0.0,0.08433734939759036,1.0,0.9156626506024096,0.7916666666666666
v100,dureader,10,1,56,22,0,18,96,96,56,74,22,0.0,0.24324324324324326,1.0,0.7567567567567568,0.5833333333333334
v100,dureader,10,2,64,23,0,9,96,96,64,73,23,0.0,0.1232876712328767,1.0,0.8767123287671232,0.6666666666666666
v100,dureader,10,3,64,20,0,12,96,96,64,76,20,0.0,0.15789473684210525,1.0,0.8421052631578947,0.6666666666666666
v100,dureader,10,4,63,22,0,11,96,96,63,74,22,0.0,0.14864864864864866,1.0,0.8513513513513513,0.65625
v100,dureader,10,5,64,16,0,16,96,96,64,80,16,0.0,0.2,1.0,0.8,0.6666666666666666
v100,dureader,10,6,63,23,0,10,96,96,63,73,23,0.0,0.136986301369863,1.0,0.863013698630137,0.65625
v100,dureader,10,7,76,17,0,3,96,96,76,79,17,0.0,0.0379746835443038,1.0,0.9620253164556962,0.7916666666666666
v100,dureader,11,0,70,15,0,11,96,96,70,81,15,0.0,0.13580246913580246,1.0,0.8641975308641975,0.7291666666666666
v100,dureader,11,1,65,20,0,11,96,96,65,76,20,0.0,0.14473684210526316,1.0,0.8552631578947368,0.6770833333333334
v100,dureader,11,2,76,16,0,4,96,96,76,80,16,0.0,0.05,1.0,0.95,0.7916666666666666
v100,dureader,11,3,70,12,5,9,96,96,75,79,17,0.29411764705882354,0.11392405063291139,0.9333333333333333,0.8860759493670886,0.78125
v100,dureader,11,4,82,8,0,6,96,96,82,88,8,0.0,0.06818181818181818,1.0,0.9318181818181818,0.8541666666666666
v100,dureader,11,5,58,24,0,14,96,96,58,72,24,0.0,0.19444444444444445,1.0,0.8055555555555556,0.6041666666666666
v100,dureader,11,6,81,4,9,2,96,96,90,83,13,0.6923076923076923,0.024096385542168676,0.9,0.9759036144578314,0.9375
v100,dureader,11,7,59,22,0,15,96,96,59,74,22,0.0,0.20270270270270271,1.0,0.7972972972972973,0.6145833333333334
v100,dureader,12,0,54,14,0,28,96,96,54,82,14,0.0,0.34146341463414637,1.0,0.6585365853658537,0.5625
v100,dureader,12,1,29,23,11,33,96,96,40,62,34,0.3235294117647059,0.532258064516129,0.725,0.46774193548387094,0.4166666666666667
v100,dureader,12,2,57,12,0,27,96,96,57,84,12,0.0,0.32142857142857145,1.0,0.6785714285714286,0.59375
v100,dureader,12,3,81,12,1,2,96,96,82,83,13,0.07692307692307693,0.024096385542168676,0.9878048780487805,0.9759036144578314,0.8541666666666666
v100,dureader,12,4,77,17,0,2,96,96,77,79,17,0.0,0.02531645569620253,1.0,0.9746835443037974,0.8020833333333334
v100,dureader,12,5,47,31,0,18,96,96,47,65,31,0.0,0.27692307692307694,1.0,0.7230769230769231,0.4895833333333333
v100,dureader,12,6,54,15,0,27,96,96,54,81,15,0.0,0.3333333333333333,1.0,0.6666666666666666,0.5625
v100,dureader,12,7,70,17,0,9,96,96,70,79,17,0.0,0.11392405063291139,1.0,0.8860759493670886,0.7291666666666666
v100,dureader,13,0,81,6,0,9,96,96,81,90,6,0.0,0.1,1.0,0.9,0.84375
v100,dureader,13,1,53,22,0,21,96,96,53,74,22,0.0,0.28378378378378377,1.0,0.7162162162162162,0.5520833333333334
v100,dureader,13,2,69,12,0,15,96,96,69,84,12,0.0,0.17857142857142858,1.0,0.8214285714285714,0.71875
v100,dureader,13,3,54,18,0,24,96,96,54,78,18,0.0,0.3076923076923077,1.0,0.6923076923076923,0.5625
v100,dureader,13,4,70,18,0,8,96,96,70,78,18,0.0,0.10256410256410256,1.0,0.8974358974358975,0.7291666666666666
v100,dureader,13,5,36,30,0,30,96,96,36,66,30,0.0,0.45454545454545453,1.0,0.5454545454545454,0.375
v100,dureader,13,6,67,18,0,11,96,96,67,78,18,0.0,0.14102564102564102,1.0,0.8589743589743589,0.6979166666666666
v100,dureader,13,7,76,14,0,6,96,96,76,82,14,0.0,0.07317073170731707,1.0,0.926829268292683,0.7916666666666666
v100,dureader,14,0,52,20,0,24,96,96,52,76,20,0.0,0.3157894736842105,1.0,0.6842105263157895,0.5416666666666666
v100,dureader,14,1,47,27,1,21,96,96,48,68,28,0.03571428571428571,0.3088235294117647,0.9791666666666666,0.6911764705882353,0.5
v100,dureader,14,2,82,13,0,1,96,96,82,83,13,0.0,0.012048192771084338,1.0,0.9879518072289156,0.8541666666666666
v100,dureader,14,3,44,16,5,31,96,96,49,75,21,0.23809523809523808,0.41333333333333333,0.8979591836734694,0.5866666666666667,0.5104166666666666
v100,dureader,14,4,72,14,1,9,96,96,73,81,15,0.06666666666666667,0.1111111111111111,0.9863013698630136,0.8888888888888888,0.7604166666666666
v100,dureader,14,5,70,20,0,6,96,96,70,76,20,0.0,0.07894736842105263,1.0,0.9210526315789473,0.7291666666666666
v100,dureader,14,6,65,21,0,10,96,96,65,75,21,0.0,0.13333333333333333,1.0,0.8666666666666667,0.6770833333333334
v100,dureader,14,7,68,17,0,11,96,96,68,79,17,0.0,0.13924050632911392,1.0,0.8607594936708861,0.7083333333333334
v100,dureader,15,0,65,18,0,13,96,96,65,78,18,0.0,0.16666666666666666,1.0,0.8333333333333334,0.6770833333333334
v100,dureader,15,1,81,3,0,12,96,96,81,93,3,0.0,0.12903225806451613,1.0,0.8709677419354839,0.84375
v100,dureader,15,2,47,27,0,22,96,96,47,69,27,0.0,0.3188405797101449,1.0,0.6811594202898551,0.4895833333333333
v100,dureader,15,3,36,34,0,26,96,96,36,62,34,0.0,0.41935483870967744,1.0,0.5806451612903226,0.375
v100,dureader,15,4,64,20,0,12,96,96,64,76,20,0.0,0.15789473684210525,1.0,0.8421052631578947,0.6666666666666666
v100,dureader,15,5,43,24,0,29,96,96,43,72,24,0.0,0.4027777777777778,1.0,0.5972222222222222,0.4479166666666667
v100,dureader,15,6,53,9,12,22,96,96,65,75,21,0.5714285714285714,0.29333333333333333,0.8153846153846154,0.7066666666666667,0.6770833333333334
v100,dureader,15,7,74,16,0,6,96,96,74,80,16,0.0,0.075,1.0,0.925,0.7708333333333334
