kv_type,metric,task_left,task_right,bucket,overlap,set_size,intersection_size
k,range_contraction,dureader,gsm8k,top_10pct,0.15555555555555556,26,7
k,range_contraction,dureader,gsm8k,bottom_10pct,0.10638297872340426,26,5
k,range_contraction,dureader,gsm8k,top_25pct,0.23076923076923078,64,24
k,range_contraction,dureader,gsm8k,bottom_25pct,0.16363636363636364,64,18
k,range_contraction,dureader,hotpotqa,top_10pct,0.625,26,20
k,range_contraction,dureader,hotpotqa,bottom_10pct,0.7931034482758621,26,23
k,range_contraction,dureader,hotpotqa,top_25pct,0.7534246575342466,64,55
k,range_contraction,dureader,hotpotqa,bottom_25pct,0.8028169014084507,64,57
k,range_contraction,dureader,passage_retrieval_en,top_10pct,0.6774193548387096,26,21
k,range_contraction,dureader,passage_retrieval_en,bottom_10pct,0.7931034482758621,26,23
k,range_contraction,dureader,passage_retrieval_en,top_25pct,0.7777777777777778,64,56
k,range_contraction,dureader,passage_retrieval_en,bottom_25pct,0.8028169014084507,64,57
k,range_contraction,dureader,passage_retrieval_zh,top_10pct,0.7931034482758621,26,23
k,range_contraction,dureader,passage_retrieval_zh,bottom_10pct,0.9259259259259259,26,25
k,range_contraction,dureader,passage_retrieval_zh,top_25pct,0.8285714285714286,64,58
k,range_contraction,dureader,passage_retrieval_zh,bottom_25pct,0.8823529411764706,64,60
k,range_contraction,dureader,samsum,top_10pct,0.5294117647058824,26,18
k,range_contraction,dureader,samsum,bottom_10pct,0.625,26,20
k,range_contraction,dureader,samsum,top_25pct,0.6842105263157895,64,52
k,range_contraction,dureader,samsum,bottom_25pct,0.7297297297297297,64,54
k,range_contraction,gsm8k,hotpotqa,top_10pct,0.2682926829268293,26,11
k,range_contraction,gsm8k,hotpotqa,bottom_10pct,0.08333333333333333,26,4
k,range_contraction,gsm8k,hotpotqa,top_25pct,0.24271844660194175,64,25
k,range_contraction,gsm8k,hotpotqa,bottom_25pct,0.15315315315315314,64,17
k,range_contraction,gsm8k,passage_retrieval_en,top_10pct,0.23809523809523808,26,10
k,range_contraction,gsm8k,passage_retrieval_en,bottom_10pct,0.08333333333333333,26,4
k,range_contraction,gsm8k,passage_retrieval_en,top_25pct,0.21904761904761905,64,23
k,range_contraction,gsm8k,passage_retrieval_en,bottom_25pct,0.16363636363636364,64,18
k,range_contraction,gsm8k,passage_retrieval_zh,top_10pct,0.13043478260869565,26,6
k,range_contraction,gsm8k,passage_retrieval_zh,bottom_10pct,0.10638297872340426,26,5
k,range_contraction,gsm8k,passage_retrieval_zh,top_25pct,0.23076923076923078,64,24
k,range_contraction,gsm8k,passage_retrieval_zh,bottom_25pct,0.15315315315315314,64,17
