kv_type,metric,task,layer,kv_head,count,contrib,weighted_mean
k,range_contraction,dureader,0,0,751,384.2019642968189,0.5115871695030878
k,range_contraction,dureader,0,1,751,619.5570166040768,0.8249760540666802
k,range_contraction,dureader,0,2,751,573.5425518819634,0.7637051290039459
k,range_contraction,dureader,0,3,751,567.0003749366152,0.7549938414602066
k,range_contraction,dureader,0,4,751,555.8183709418612,0.7401043554485501
k,range_contraction,dureader,0,5,751,532.7429097848873,0.7093780423234185
k,range_contraction,dureader,0,6,751,580.2400107297008,0.7726231833950743
k,range_contraction,dureader,0,7,751,628.0864377715584,0.8363334723988793
k,range_contraction,dureader,1,0,751,511.777918181097,0.6814619416525926
k,range_contraction,dureader,1,1,751,512.0309609630551,0.6817988827737086
k,range_contraction,dureader,1,2,751,424.97507443968146,0.5658789273497756
k,range_contraction,dureader,1,3,751,521.6590859196415,0.6946192888410673
k,range_contraction,dureader,1,4,751,512.6926526400871,0.6826799635686912
k,range_contraction,dureader,1,5,751,546.7597011720759,0.7280422119468387
k,range_contraction,dureader,1,6,751,516.2498752783629,0.6874166115557429
k,range_contraction,dureader,1,7,751,598.201459091904,0.7965398922661837
k,range_contraction,dureader,2,0,751,406.8079844812766,0.5416883947819928
k,range_contraction,dureader,2,1,751,318.1490645665896,0.42363390754539226
k,range_contraction,dureader,2,2,751,475.8982000736422,0.6336860187398697
k,range_contraction,dureader,2,3,751,406.27009172223484,0.5409721594170903
k,range_contraction,dureader,2,4,751,460.8198349380219,0.6136083021811211
k,range_contraction,dureader,2,5,751,629.9694360294299,0.8388407936477096
k,range_contraction,dureader,2,6,751,400.66984612571434,0.5335151080235877
k,range_contraction,dureader,2,7,751,358.4584370806714,0.47730817187839064
k,range_contraction,dureader,3,0,751,428.2908000585063,0.5702940080672521
k,range_contraction,dureader,3,1,751,559.6424832015995,0.7451963824255652
k,range_contraction,dureader,3,2,751,406.4351682487251,0.5411919683738018
k,range_contraction,dureader,3,3,751,392.30124914801735,0.5223718364154691
k,range_contraction,dureader,3,4,751,295.08539363744524,0.3929232937915383
k,range_contraction,dureader,3,5,751,342.90805614860835,0.4566019389462162
k,range_contraction,dureader,3,6,751,477.67032457389286,0.6360457051583127
k,range_contraction,dureader,3,7,751,334.233242541472,0.4450509221590839
k,range_contraction,dureader,4,0,751,527.9119052712485,0.7029452799883469
k,range_contraction,dureader,4,1,751,461.9946850687884,0.6151726831808101
k,range_contraction,dureader,4,2,751,443.18061918479,0.590120664693462
k,range_contraction,dureader,4,3,751,386.01656695149654,0.5140034180446026
k,range_contraction,dureader,4,4,751,401.5384368715245,0.5346716869128155
k,range_contraction,dureader,4,5,751,411.1774807587258,0.5475066321687427
k,range_contraction,dureader,4,6,751,420.7066909871321,0.5601953275461147
k,range_contraction,dureader,4,7,751,510.38786287372534,0.6796110024949739
k,range_contraction,dureader,5,0,751,383.04183887547777,0.5100423953068945
k,range_contraction,dureader,5,1,751,407.7220988082143,0.5429055909563439
k,range_contraction,dureader,5,2,751,619.1389590011918,0.8244193861533845
k,range_contraction,dureader,5,3,751,434.84812366077693,0.5790254642620198
k,range_contraction,dureader,5,4,751,459.1625466549709,0.6114015268375113
k,range_contraction,dureader,5,5,751,428.68094015832787,0.5708135022081596
k,range_contraction,dureader,5,6,751,343.20138280522696,0.4569925203797962
k,range_contraction,dureader,5,7,751,457.71867616574593,0.6094789296481304
k,range_contraction,dureader,6,0,751,448.64403224972057,0.5973955156454335
k,range_contraction,dureader,6,1,751,415.6954492251215,0.5535225688749953
k,range_contraction,dureader,6,2,751,477.0040263681753,0.6351584905035623
k,range_contraction,dureader,6,3,751,504.68774246077476,0.6720209619983685
k,range_contraction,dureader,6,4,751,426.25403123648374,0.5675819324054378
k,range_contraction,dureader,6,5,751,431.3223817769585,0.5743307347229807
k,range_contraction,dureader,6,6,751,415.8109594139045,0.55367637738203
k,range_contraction,dureader,6,7,751,486.20699548508446,0.6474127769441871
k,range_contraction,dureader,7,0,751,385.73124696357206,0.5136234979541572
k,range_contraction,dureader,7,1,751,362.96716148250164,0.4833117995772325
k,range_contraction,dureader,7,2,751,380.39214473888336,0.506514174086396
k,range_contraction,dureader,7,3,751,404.42316689630997,0.5385128720323701
k,range_contraction,dureader,7,4,751,364.5348874812761,0.4853993175516326
k,range_contraction,dureader,7,5,751,412.7206623844588,0.54956146788876
k,range_contraction,dureader,7,6,751,465.9412727216757,0.6204277932379171
k,range_contraction,dureader,7,7,751,366.61677682379855,0.4881714737999981
k,range_contraction,dureader,8,0,751,504.49930396036615,0.6717700452201946
k,range_contraction,dureader,8,1,751,497.97271135296216,0.663079509125116
k,range_contraction,dureader,8,2,751,450.6605474420967,0.6000806224262273
k,range_contraction,dureader,8,3,751,387.00793758308464,0.5153234854634948
k,range_contraction,dureader,8,4,751,363.05859290587966,0.4834335458134217
k,range_contraction,dureader,8,5,751,431.7519790565768,0.5749027683842567
k,range_contraction,dureader,8,6,751,479.0268474080878,0.637851993885603
