task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,std,min,max
dureader,decode,k,0,0,bucketfirst,relative_mse_gain,11,-0.03429818123715695,0.019886479067538175,,
dureader,decode,k,0,0,bucketfirst,relative_range_gain,11,-3.505942572660314e-05,0.00011086763875356966,,
dureader,decode,k,0,1,bucketfirst,relative_mse_gain,11,-0.013372082684053403,0.013295900566601114,,
dureader,decode,k,0,1,bucketfirst,relative_range_gain,11,0.007220650643203933,0.015498707416653178,,
dureader,decode,k,0,2,bucketfirst,relative_mse_gain,11,-0.003525034067735941,0.022941023486173252,,
dureader,decode,k,0,2,bucketfirst,relative_range_gain,11,0.009864367832496721,0.02131111539577908,,
dureader,decode,k,0,3,bucketfirst,relative_mse_gain,11,-0.045869969214975194,0.03702106916368016,,
dureader,decode,k,0,3,bucketfirst,relative_range_gain,11,0.0,0.0,,
dureader,decode,k,0,4,bucketfirst,relative_mse_gain,11,0.027629917782189296,0.02555237036229453,,
dureader,decode,k,0,4,bucketfirst,relative_range_gain,11,0.048028024257490615,0.037236637624148035,,
dureader,decode,k,0,5,bucketfirst,relative_mse_gain,11,-0.11458606134970939,0.05803438820299103,,
dureader,decode,k,0,5,bucketfirst,relative_range_gain,11,0.02779975760532023,0.027602132561697374,,
dureader,decode,k,0,6,bucketfirst,relative_mse_gain,11,-0.020305358763515247,0.014820093046035796,,
dureader,decode,k,0,6,bucketfirst,relative_range_gain,11,-0.001703424780347714,0.005386702128670804,,
dureader,decode,k,0,7,bucketfirst,relative_mse_gain,11,-0.014759420245615591,0.03119809385362445,,
dureader,decode,k,0,7,bucketfirst,relative_range_gain,11,0.003983112433816165,0.009084017619179324,,
dureader,decode,k,1,0,bucketfirst,relative_mse_gain,11,-0.04261135776494321,0.012688841841977026,,
dureader,decode,k,1,0,bucketfirst,relative_range_gain,11,0.0029532600918702303,0.008378059778548783,,
dureader,decode,k,1,1,bucketfirst,relative_mse_gain,11,-0.021228289672959363,0.010344765058092509,,
dureader,decode,k,1,1,bucketfirst,relative_range_gain,11,-0.00041961839409569317,0.0013269498734445415,,
dureader,decode,k,1,2,bucketfirst,relative_mse_gain,11,-0.017203212844913083,0.022976211113427028,,
dureader,decode,k,1,2,bucketfirst,relative_range_gain,11,0.019828668855787875,0.017908925066722724,,
dureader,decode,k,1,3,bucketfirst,relative_mse_gain,11,-0.05396273241210736,0.01148771824918437,,
dureader,decode,k,1,3,bucketfirst,relative_range_gain,11,0.0012710461024156969,0.004253517850053433,,
dureader,decode,k,1,4,bucketfirst,relative_mse_gain,11,0.0,0.0,,
dureader,decode,k,1,4,bucketfirst,relative_range_gain,11,0.0,0.0,,
dureader,decode,k,1,5,bucketfirst,relative_mse_gain,11,-0.021586080000875554,0.012234461699071072,,
dureader,decode,k,1,5,bucketfirst,relative_range_gain,11,-0.004096846188439134,0.02154313546960337,,
dureader,decode,k,1,6,bucketfirst,relative_mse_gain,11,-0.01150883128024503,0.006371034045345632,,
