task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,prefill,k,0,0,bucketfirst,conditional_oracle_gap,34,0.00012086638632942649,0.0,0.0013063400983810425,0.000240776424726901
dureader,prefill,k,0,0,bucketlast,conditional_oracle_gap,30,0.00010262727737426758,0.0,0.0005175918340682983,0.0001419203435550411
dureader,prefill,k,0,0,bucketmiddle,conditional_oracle_gap,32,6.068730726838112e-05,0.0,0.00038836896419525146,9.627566110333012e-05
dureader,prefill,k,0,1,bucketfirst,conditional_oracle_gap,30,0.0002352843681971232,0.0,0.0017398595809936523,0.00041182349675380906
dureader,prefill,k,0,1,bucketlast,conditional_oracle_gap,30,0.0002515971660614014,0.0,0.003968417644500732,0.0007190482780628527
dureader,prefill,k,0,1,bucketmiddle,conditional_oracle_gap,36,0.00016362799538506402,0.0,0.0006844699382781982,0.00019499840015965616
dureader,prefill,k,0,2,bucketfirst,conditional_oracle_gap,35,0.00017552716391427175,0.0,0.0027159899473190308,0.0005394650023778474
dureader,prefill,k,0,2,bucketlast,conditional_oracle_gap,28,7.77638384274074e-05,0.0,0.0010377615690231323,0.00023140814466228706
dureader,prefill,k,0,2,bucketmiddle,conditional_oracle_gap,33,0.00014787325353333443,0.0,0.0018093883991241455,0.0003652976146176742
dureader,prefill,k,0,3,bucketfirst,conditional_oracle_gap,27,6.42099314265781e-05,0.0,0.0004977956414222717,0.00011341289484250301
dureader,prefill,k,0,3,bucketlast,conditional_oracle_gap,33,5.193822311632561e-05,0.0,0.000710904598236084,0.00013196235267521757
dureader,prefill,k,0,3,bucketmiddle,conditional_oracle_gap,36,3.66831405295266e-05,0.0,0.0001923590898513794,5.9723992205957644e-05
dureader,prefill,k,0,4,bucketfirst,conditional_oracle_gap,30,2.644012371699015e-05,0.0,0.0007932037115097046,0.0001423844237370177
dureader,prefill,k,0,4,bucketlast,conditional_oracle_gap,27,2.4393752769187644e-07,0.0,6.586313247680664e-06,1.2438422137984583e-06
dureader,prefill,k,0,4,bucketmiddle,conditional_oracle_gap,39,0.0,0.0,0.0,0.0
dureader,prefill,k,0,5,bucketfirst,conditional_oracle_gap,28,4.901949848447527e-06,0.0,0.00013205409049987793,2.448943863310335e-05
dureader,prefill,k,0,5,bucketlast,conditional_oracle_gap,41,2.700562884167927e-06,0.0,0.00010671466588973999,1.6457686061215537e-05
dureader,prefill,k,0,5,bucketmiddle,conditional_oracle_gap,27,1.1237131224738227e-05,0.0,0.00016574561595916748,3.615718754505052e-05
dureader,prefill,k,0,6,bucketfirst,conditional_oracle_gap,33,0.0003090672420732903,0.0,0.002651900053024292,0.0005064923742031619
dureader,prefill,k,0,6,bucketlast,conditional_oracle_gap,36,0.0002904724743631151,0.0,0.0017387568950653076,0.0003986212738988247
dureader,prefill,k,0,6,bucketmiddle,conditional_oracle_gap,27,0.0003407067722744412,0.0,0.0036864280700683594,0.0007018468564202794
dureader,prefill,k,0,7,bucketfirst,conditional_oracle_gap,28,7.740993584905352e-05,0.0,0.0007361471652984619,0.00016182176317245251
dureader,prefill,k,0,7,bucketlast,conditional_oracle_gap,40,0.00010204948484897614,0.0,0.0010795295238494873,0.0002247865700147881
dureader,prefill,k,0,7,bucketmiddle,conditional_oracle_gap,28,0.000129574111529759,0.0,0.0008736401796340942,0.0002001063657404094
dureader,prefill,k,7,0,bucketfirst,conditional_oracle_gap,28,0.00013400507824761526,0.0,0.0008385181427001953,0.00022996376766908156
dureader,prefill,k,7,0,bucketlast,conditional_oracle_gap,32,0.0005198242142796516,0.0,0.004144757986068726,0.0008049644521064674
dureader,prefill,k,7,0,bucketmiddle,conditional_oracle_gap,36,0.0003424262007077535,0.0,0.0014154016971588135,0.00037757562794605307
dureader,prefill,k,7,1,bucketfirst,conditional_oracle_gap,31,0.00011275468334074944,0.0,0.0015603303909301758,0.0002945473399277696
dureader,prefill,k,7,1,bucketlast,conditional_oracle_gap,38,8.808311663175885e-05,0.0,0.002203136682510376,0.0003587965186572075
dureader,prefill,k,7,1,bucketmiddle,conditional_oracle_gap,27,2.752189283017759e-05,0.0,0.00032204389572143555,8.101101720015085e-05
dureader,prefill,k,7,2,bucketfirst,conditional_oracle_gap,33,0.00031397469115979743,0.0,0.003865838050842285,0.0008038364363814598
dureader,prefill,k,7,2,bucketlast,conditional_oracle_gap,34,0.00012384004452649285,0.0,0.0016019344329833984,0.00032075719399963143
dureader,prefill,k,7,2,bucketmiddle,conditional_oracle_gap,29,7.769054379956476e-05,0.0,0.0007111430168151855,0.00017109307358480533
dureader,prefill,k,7,3,bucketfirst,conditional_oracle_gap,32,0.00013480335474014282,0.0,0.001588195562362671,0.00035344548140029845
dureader,prefill,k,7,3,bucketlast,conditional_oracle_gap,36,0.0,0.0,0.0,0.0
dureader,prefill,k,7,3,bucketmiddle,conditional_oracle_gap,28,0.00014185160398483276,0.0,0.0018770098686218262,0.0003763607805296795
dureader,prefill,k,7,4,bucketfirst,conditional_oracle_gap,28,0.00023896034274782454,0.0,0.002784222364425659,0.000607150395877494
dureader,prefill,k,7,4,bucketlast,conditional_oracle_gap,37,5.1589430989445864e-05,0.0,0.0007731020450592041,0.00014551667202605416
dureader,prefill,k,7,4,bucketmiddle,conditional_oracle_gap,31,0.0002080605876061224,0.0,0.0021634697914123535,0.0005139913556464701
dureader,prefill,k,7,5,bucketfirst,conditional_oracle_gap,38,3.732740879058838e-05,0.0,0.0005140304565429688,0.0001261807271560898
dureader,prefill,k,7,5,bucketlast,conditional_oracle_gap,35,8.392333984375e-06,0.0,0.000293731689453125,4.8935295748366015e-05
dureader,prefill,k,7,5,bucketmiddle,conditional_oracle_gap,23,2.043013987333878e-05,0.0,0.000469893217086792,9.582585003730526e-05
dureader,prefill,k,7,6,bucketfirst,conditional_oracle_gap,31,4.424971918905935e-05,0.0,0.0005873441696166992,0.00012936902265075272
dureader,prefill,k,7,6,bucketlast,conditional_oracle_gap,35,1.0614735739571708e-05,0.0,0.00037151575088500977,6.189401347393779e-05
dureader,prefill,k,7,6,bucketmiddle,conditional_oracle_gap,30,2.971490224202474e-05,0.0,0.0006715059280395508,0.00012553950953870808
dureader,prefill,k,7,7,bucketfirst,conditional_oracle_gap,33,1.2205405668778853e-05,0.0,0.00016605854034423828,4.004333144561745e-05
dureader,prefill,k,7,7,bucketlast,conditional_oracle_gap,33,8.652156049554998e-05,0.0,0.0011165738105773926,0.00025424567529652833
dureader,prefill,k,7,7,bucketmiddle,conditional_oracle_gap,30,5.0033132235209145e-05,0.0,0.0009258687496185303,0.00017461808531657607
dureader,prefill,k,15,0,bucketfirst,conditional_oracle_gap,30,0.00022244552771250408,0.0,0.002041041851043701,0.00046436768182206905
dureader,prefill,k,15,0,bucketlast,conditional_oracle_gap,31,0.00021384992907124182,0.0,0.004661917686462402,0.0008455928644509034
dureader,prefill,k,15,0,bucketmiddle,conditional_oracle_gap,35,0.00014715279851640974,0.0,0.0014231503009796143,0.00035969388931458303
dureader,prefill,k,15,1,bucketfirst,conditional_oracle_gap,44,6.911429491910067e-05,0.0,0.0013235807418823242,0.00022773700542314226
dureader,prefill,k,15,1,bucketlast,conditional_oracle_gap,33,9.116801348599521e-06,0.0,0.0003008544445037842,5.157241645060307e-05
dureader,prefill,k,15,1,bucketmiddle,conditional_oracle_gap,19,0.0002589100285580284,0.0,0.002963453531265259,0.0007239207411955007
dureader,prefill,k,15,2,bucketfirst,conditional_oracle_gap,32,0.001086462289094925,0.0,0.008731603622436523,0.0023550601815360383
dureader,prefill,k,15,2,bucketlast,conditional_oracle_gap,33,1.742893999273127e-05,0.0,0.00031679868698120117,6.546880800266787e-05
dureader,prefill,k,15,2,bucketmiddle,conditional_oracle_gap,31,7.223698400682018e-06,0.0,0.00022393465042114258,3.9565825626675335e-05
dureader,prefill,k,15,3,bucketfirst,conditional_oracle_gap,32,0.00029754918068647385,0.0,0.0035170912742614746,0.0007592710501320361
dureader,prefill,k,15,3,bucketlast,conditional_oracle_gap,32,1.731887459754944e-05,0.0,0.0004283785820007324,7.700285155766221e-05
dureader,prefill,k,15,3,bucketmiddle,conditional_oracle_gap,32,0.00011472776532173157,0.0,0.0015360713005065918,0.00033553531968975197
dureader,prefill,k,15,4,bucketfirst,conditional_oracle_gap,33,8.081080335559267e-05,0.0,0.0010294169187545776,0.00023914776684197064
dureader,prefill,k,15,4,bucketlast,conditional_oracle_gap,32,2.8792303055524826e-05,0.0,0.0005387961864471436,0.0001027781619773908
dureader,prefill,k,15,4,bucketmiddle,conditional_oracle_gap,31,8.200445482807775e-07,0.0,2.54213809967041e-05,4.491568972525161e-06
dureader,prefill,k,15,5,bucketfirst,conditional_oracle_gap,34,0.0007099316400640152,0.0,0.0068787336349487305,0.0014598100173085168
dureader,prefill,k,15,5,bucketlast,conditional_oracle_gap,26,0.0,0.0,0.0,0.0
dureader,prefill,k,15,5,bucketmiddle,conditional_oracle_gap,36,2.6282336976793078e-05,0.0,0.0007312595844268799,0.00012330335652608658
dureader,prefill,k,15,6,bucketfirst,conditional_oracle_gap,29,0.0,0.0,0.0,0.0
dureader,prefill,k,15,6,bucketlast,conditional_oracle_gap,35,0.000211594785962786,0.0,0.006305664777755737,0.0010528834133824766
dureader,prefill,k,15,6,bucketmiddle,conditional_oracle_gap,32,0.00011847168207168579,0.0,0.002589583396911621,0.0004638786983505448
dureader,prefill,k,15,7,bucketfirst,conditional_oracle_gap,32,0.00018368102610111237,0.0,0.004554808139801025,0.0007955098226940012
dureader,prefill,k,15,7,bucketlast,conditional_oracle_gap,34,6.966731127570657e-06,0.0,0.00023686885833740234,4.002082340391616e-05
dureader,prefill,k,15,7,bucketmiddle,conditional_oracle_gap,30,0.0,0.0,0.0,0.0
dureader,prefill,k,23,0,bucketfirst,conditional_oracle_gap,33,5.993879202640418e-05,0.0,0.0012713074684143066,0.00023994464266683605
dureader,prefill,k,23,0,bucketlast,conditional_oracle_gap,34,2.7166569934171787e-05,0.0,0.0009236633777618408,0.00015606006287840633
dureader,prefill,k,23,0,bucketmiddle,conditional_oracle_gap,29,3.163824821340627e-05,0.0,0.00048491358757019043,0.00011644915510069183
dureader,prefill,k,23,1,bucketfirst,conditional_oracle_gap,32,0.00011750776320695877,0.0,0.0021361112594604492,0.00039851614615040506
dureader,prefill,k,23,1,bucketlast,conditional_oracle_gap,31,1.7198824113415134e-06,0.0,3.075599670410156e-05,6.631311911557618e-06
dureader,prefill,k,23,1,bucketmiddle,conditional_oracle_gap,33,3.251252752361876e-05,0.0,0.0007764101028442383,0.00013931967062888692
dureader,prefill,k,23,2,bucketfirst,conditional_oracle_gap,28,2.6904046535491943e-05,0.0,0.0006510019302368164,0.0001215971031738956
dureader,prefill,k,23,2,bucketlast,conditional_oracle_gap,33,0.0,0.0,0.0,0.0
dureader,prefill,k,23,2,bucketmiddle,conditional_oracle_gap,35,0.0,0.0,0.0,0.0
dureader,prefill,k,23,3,bucketfirst,conditional_oracle_gap,37,0.0002013879853325921,0.0,0.0021216869354248047,0.000478677575072375
dureader,prefill,k,23,3,bucketlast,conditional_oracle_gap,31,7.641892279348065e-05,0.0,0.0018200278282165527,0.00033277046391383066
dureader,prefill,k,23,3,bucketmiddle,conditional_oracle_gap,28,1.9325741699763705e-05,0.0,0.0003349483013153076,6.629241245383238e-05
dureader,prefill,k,23,4,bucketfirst,conditional_oracle_gap,34,1.4788087676553165e-05,0.0,0.0002650916576385498,5.184904418054577e-05
dureader,prefill,k,23,4,bucketlast,conditional_oracle_gap,32,2.127140760421753e-06,0.0,6.80685043334961e-05,1.1843418520599389e-05
dureader,prefill,k,23,4,bucketmiddle,conditional_oracle_gap,30,0.00011003315448760986,0.0,0.0013706982135772705,0.0003375987939985685
dureader,prefill,k,23,5,bucketfirst,conditional_oracle_gap,40,0.00035243183374404906,0.0,0.004473060369491577,0.0010535349529270518
dureader,prefill,k,23,5,bucketlast,conditional_oracle_gap,24,2.9536585013071697e-05,0.0,0.0006771683692932129,0.00013518885973361983
dureader,prefill,k,23,5,bucketmiddle,conditional_oracle_gap,32,5.8191828429698944e-05,0.0,0.0014822781085968018,0.0002640835645260305
dureader,prefill,k,23,6,bucketfirst,conditional_oracle_gap,30,0.0003414720296859741,0.0,0.0038425028324127197,0.0008066056354763433
dureader,prefill,k,23,6,bucketlast,conditional_oracle_gap,34,0.0,0.0,0.0,0.0
dureader,prefill,k,23,6,bucketmiddle,conditional_oracle_gap,32,0.00011708680540323257,0.0,0.0010433793067932129,0.0002818357153845273
dureader,prefill,k,23,7,bucketfirst,conditional_oracle_gap,31,0.00018805361563159573,0.0,0.0015656650066375732,0.0003222254211961581
dureader,prefill,k,23,7,bucketlast,conditional_oracle_gap,29,0.0005039079435940446,0.0,0.003553628921508789,0.0007091393049136314
dureader,prefill,k,23,7,bucketmiddle,conditional_oracle_gap,36,0.0002563339140680101,0.0,0.0009360313415527344,0.00026002345230942447
dureader,prefill,k,31,0,bucketfirst,conditional_oracle_gap,29,0.0008345205208350872,0.0,0.003814697265625,0.0012338636893447948
dureader,prefill,k,31,0,bucketlast,conditional_oracle_gap,37,0.00021788558444461306,0.0,0.001592099666595459,0.00035908581476931135
dureader,prefill,k,31,0,bucketmiddle,conditional_oracle_gap,30,0.0003695805867513021,0.0,0.002863585948944092,0.0006779493039143071
dureader,prefill,k,31,1,bucketfirst,conditional_oracle_gap,34,2.371037707609289e-06,0.0,8.061528205871582e-05,1.3620574648665477e-05
dureader,prefill,k,31,1,bucketlast,conditional_oracle_gap,34,0.0,0.0,0.0,0.0
dureader,prefill,k,31,1,bucketmiddle,conditional_oracle_gap,28,2.829091889517648e-06,0.0,5.811452865600586e-05,1.1336422027097506e-05
dureader,prefill,k,31,2,bucketfirst,conditional_oracle_gap,28,0.0005348654729979378,0.0,0.005821973085403442,0.0011836756514186392
dureader,prefill,k,31,2,bucketlast,conditional_oracle_gap,29,9.366561626565868e-05,0.0,0.0017358958721160889,0.00032327699463316137
dureader,prefill,k,31,2,bucketmiddle,conditional_oracle_gap,39,0.00020256409278282753,0.0,0.0029012560844421387,0.0005966428044996674
dureader,prefill,k,31,3,bucketfirst,conditional_oracle_gap,37,0.0002397065227096145,0.0,0.00859186053276062,0.0013927511276346613
dureader,prefill,k,31,3,bucketlast,conditional_oracle_gap,31,1.89302429076164e-05,0.0,0.0005092918872833252,9.056855827444904e-05
dureader,prefill,k,31,3,bucketmiddle,conditional_oracle_gap,28,0.0,0.0,0.0,0.0
dureader,prefill,k,31,4,bucketfirst,conditional_oracle_gap,33,0.0,0.0,0.0,0.0
dureader,prefill,k,31,4,bucketlast,conditional_oracle_gap,34,0.0,0.0,0.0,0.0
dureader,prefill,k,31,4,bucketmiddle,conditional_oracle_gap,29,2.872481428343674e-05,0.0,0.0008330196142196655,0.00015199743010097926
dureader,prefill,k,31,5,bucketfirst,conditional_oracle_gap,35,9.850093296595983e-06,0.0,0.00019031763076782227,4.024046080079141e-05
dureader,prefill,k,31,5,bucketlast,conditional_oracle_gap,28,1.5450375420706613e-05,0.0,0.0002963542938232422,5.9674004145545355e-05
dureader,prefill,k,31,5,bucketmiddle,conditional_oracle_gap,33,1.2952269929828066e-05,0.0,0.00022149085998535156,5.1029079730796315e-05
dureader,prefill,k,31,6,bucketfirst,conditional_oracle_gap,32,0.000514492392539978,0.0,0.00222933292388916,0.0007361086957807737
dureader,prefill,k,31,6,bucketlast,conditional_oracle_gap,34,0.0001573431141236249,0.0,0.0007852911949157715,0.0002396155703375581
dureader,prefill,k,31,6,bucketmiddle,conditional_oracle_gap,30,0.0003526598215103149,0.0,0.0024391114711761475,0.0006249721013139275
dureader,prefill,k,31,7,bucketfirst,conditional_oracle_gap,33,0.0001022508650115042,0.0,0.0033742785453796387,0.0005784182402545992
dureader,prefill,k,31,7,bucketlast,conditional_oracle_gap,28,2.3505517414637973e-05,0.0,0.00046640634536743164,9.235644599717057e-05
dureader,prefill,k,31,7,bucketmiddle,conditional_oracle_gap,35,5.798680441720145e-07,0.0,2.0295381546020508e-05,3.3811826709250467e-06
dureader,prefill,v,0,0,bucketfirst,current_oracle_gap,28,9.187283597254594e-06,0.0,4.830386023968458e-05,1.5614301331777872e-05
dureader,prefill,v,0,0,bucketfirst,minmax_oracle_gap,28,7.792353634223609e-06,0.0,7.530020957347006e-05,1.658002265768337e-05
dureader,prefill,v,0,0,bucketlast,current_oracle_gap,43,8.783466487224105e-06,0.0,0.00014304497744888067,2.3729095412727333e-05
dureader,prefill,v,0,0,bucketlast,minmax_oracle_gap,43,6.529875844175559e-07,0.0,8.128372428473085e-06,1.9712942993708842e-06
dureader,prefill,v,0,0,bucketmiddle,current_oracle_gap,25,7.98615743406117e-06,0.0,6.26562541583553e-05,1.7070093725456237e-05
dureader,prefill,v,0,0,bucketmiddle,minmax_oracle_gap,25,1.7948326421901585e-06,0.0,2.4875858798623085e-05,5.4669290521989046e-06
dureader,prefill,v,0,1,bucketfirst,current_oracle_gap,26,7.158634028970622e-05,0.0,0.0007478632032871246,0.00015391932947268324
dureader,prefill,v,0,1,bucketfirst,minmax_oracle_gap,26,4.841839724506896e-06,0.0,3.838888369500637e-05,1.0941504470200557e-05
dureader,prefill,v,0,1,bucketlast,current_oracle_gap,37,2.3518042399774532e-05,0.0,0.0001298207207582891,3.7087723414585274e-05
dureader,prefill,v,0,1,bucketlast,minmax_oracle_gap,37,6.60551233670196e-06,0.0,8.97145364433527e-05,2.0379605220482182e-05
dureader,prefill,v,0,1,bucketmiddle,current_oracle_gap,33,3.9687133694039375e-05,0.0,0.0001802478509489447,5.765130342997735e-05
dureader,prefill,v,0,1,bucketmiddle,minmax_oracle_gap,33,1.3046724206739754e-05,0.0,0.00016005884390324354,3.1812400187980843e-05
dureader,prefill,v,0,2,bucketfirst,current_oracle_gap,27,4.353927053873324e-05,0.0,0.00020526107982732356,6.347892023522964e-05
dureader,prefill,v,0,2,bucketfirst,minmax_oracle_gap,27,0.0,0.0,0.0,0.0
dureader,prefill,v,0,2,bucketlast,current_oracle_gap,39,1.7970523913390934e-05,0.0,0.00016586926358286291,4.1095094342976586e-05
dureader,prefill,v,0,2,bucketlast,minmax_oracle_gap,39,5.430875507255013e-07,0.0,1.0634030331857502e-05,2.3359289605500234e-06
dureader,prefill,v,0,2,bucketmiddle,current_oracle_gap,30,8.812766949025292e-06,0.0,6.97427021805197e-05,1.9096761084957848e-05
dureader,prefill,v,0,2,bucketmiddle,minmax_oracle_gap,30,6.299961629944543e-06,0.0,0.0001537997741252184,2.7864399733698713e-05
dureader,prefill,v,0,3,bucketfirst,current_oracle_gap,36,1.2888318855806978e-05,0.0,9.126082295551896e-05,2.4758064262958737e-05
dureader,prefill,v,0,3,bucketfirst,minmax_oracle_gap,36,5.391859708146916e-06,0.0,3.513797128107399e-05,9.937405817101999e-06
dureader,prefill,v,0,3,bucketlast,current_oracle_gap,30,2.0627259315612414e-05,0.0,0.00010467335232533514,2.826018564599395e-05
dureader,prefill,v,0,3,bucketlast,minmax_oracle_gap,30,2.6852076795573038e-06,0.0,3.3418909879401326e-05,7.526406836467654e-06
dureader,prefill,v,0,3,bucketmiddle,current_oracle_gap,30,1.810253549289579e-05,0.0,0.00012923189206048846,3.181646309130166e-05
dureader,prefill,v,0,3,bucketmiddle,minmax_oracle_gap,30,6.2517225160263475e-06,0.0,6.233586464077234e-05,1.4606561506351639e-05
dureader,prefill,v,0,4,bucketfirst,current_oracle_gap,33,1.1036984770643441e-05,0.0,0.00012003473239019513,2.58855096859873e-05
dureader,prefill,v,0,4,bucketfirst,minmax_oracle_gap,33,2.103607667694715e-06,0.0,4.145939601585269e-05,7.659441700434694e-06
dureader,prefill,v,0,4,bucketlast,current_oracle_gap,29,8.913583236601975e-06,0.0,6.840593414381146e-05,1.7040273810298066e-05
dureader,prefill,v,0,4,bucketlast,minmax_oracle_gap,29,3.7600914546256434e-06,0.0,4.937479388900101e-05,1.0195819163555112e-05
dureader,prefill,v,0,4,bucketmiddle,current_oracle_gap,34,1.653299477766268e-05,0.0,0.00010745633335318416,2.5533874410585867e-05
dureader,prefill,v,0,4,bucketmiddle,minmax_oracle_gap,34,1.0277769487241612e-06,0.0,2.32417369261384e-05,4.247757582576105e-06
dureader,prefill,v,0,5,bucketfirst,current_oracle_gap,36,1.1198399685478458e-05,0.0,5.860551027581096e-05,1.6799006667989396e-05
dureader,prefill,v,0,5,bucketfirst,minmax_oracle_gap,36,5.678076478135255e-07,0.0,1.0390300303697586e-05,1.949303683097971e-06
dureader,prefill,v,0,5,bucketlast,current_oracle_gap,25,3.538980381563306e-06,0.0,2.240418689325452e-05,6.575547932920011e-06
dureader,prefill,v,0,5,bucketlast,minmax_oracle_gap,25,6.417444092221558e-07,0.0,1.033101580105722e-05,2.172764281632219e-06
dureader,prefill,v,0,5,bucketmiddle,current_oracle_gap,35,6.80063026915637e-06,0.0,4.464453195396345e-05,1.2903470558535393e-05
dureader,prefill,v,0,5,bucketmiddle,minmax_oracle_gap,35,1.0007965361832509e-06,0.0,9.380833944305778e-06,2.4693877484566702e-06
dureader,prefill,v,0,6,bucketfirst,current_oracle_gap,34,2.145933060947915e-05,0.0,0.00012935191625729203,3.594313851988726e-05
