task,phase,kv_type,layer,kv_head,bucket,metric,count,mean,min,max,std
dureader,decode,k,0,0,bucketfirst,relative_mse_gain,11,-0.03233989354260421,-0.05905601144156805,0.012561395305273011,0.020642609375574508
dureader,decode,k,0,0,bucketfirst,relative_range_gain,11,0.0,0.0,0.0,0.0
dureader,decode,k,0,1,bucketfirst,relative_mse_gain,11,-0.01390330075597176,-0.033308079851627835,0.008516849490128292,0.013456968643962576
dureader,decode,k,0,1,bucketfirst,relative_range_gain,11,0.00495280794533924,-0.028927680798001294,0.04494382022471393,0.01684505466301812
dureader,decode,k,0,2,bucketfirst,relative_mse_gain,11,-0.008703132092490089,-0.05189786191729677,0.02699794863823296,0.020117827609800274
dureader,decode,k,0,2,bucketfirst,relative_range_gain,11,0.002471610517913838,-0.02745722244329207,0.03790613718411114,0.014553779085750226
dureader,decode,k,0,3,bucketfirst,relative_mse_gain,11,-0.03744240871134584,-0.08906746187323601,0.021248493092097823,0.029459860963098012
dureader,decode,k,0,3,bucketfirst,relative_range_gain,11,0.0,0.0,0.0,0.0
dureader,decode,k,0,4,bucketfirst,relative_mse_gain,11,0.026956941931732138,-0.024282204979082823,0.06711427234039223,0.029587480688448676
dureader,decode,k,0,4,bucketfirst,relative_range_gain,11,0.04962781617065614,0.0012368583797153266,0.11394465545304983,0.03484011192058992
dureader,decode,k,0,5,bucketfirst,relative_mse_gain,11,-0.11424084101182745,-0.2148843122529886,-0.011302426657319557,0.06108554185461746
dureader,decode,k,0,5,bucketfirst,relative_range_gain,11,0.0282657147036374,0.0,0.10171662823467792,0.027150588341674105
dureader,decode,k,0,6,bucketfirst,relative_mse_gain,11,-0.01666868601639413,-0.04662082732829219,0.01003157778020892,0.0144436742312255
dureader,decode,k,0,6,bucketfirst,relative_range_gain,11,0.0018879460841133725,-0.014681892332788334,0.03544929925803543,0.011413719956803308
dureader,decode,k,0,7,bucketfirst,relative_mse_gain,11,-0.009654231381024876,-0.047771481288558175,0.05803802316068889,0.031870297698273736
dureader,decode,k,0,7,bucketfirst,relative_range_gain,11,0.0005114435494181715,0.0,0.005625879043599887,0.0016173265107623065
dureader,decode,k,1,0,bucketfirst,relative_mse_gain,11,-0.03869881481054613,-0.06016211185455336,-0.0220464307451482,0.011847682140778382
dureader,decode,k,1,0,bucketfirst,relative_range_gain,11,0.005900124576548088,-0.0006889424733034184,0.0655903128153324,0.01887672353777632
dureader,decode,k,1,1,bucketfirst,relative_mse_gain,11,-0.023972700149330218,-0.03747538543269522,-0.011772326361199785,0.007770990992807405
dureader,decode,k,1,1,bucketfirst,relative_range_gain,11,-0.0009777866920723374,-0.01075565361279571,0.0,0.0030920330127502905
dureader,decode,k,1,2,bucketfirst,relative_mse_gain,11,-0.014886154017336985,-0.04474318503762816,0.03311843867089719,0.019584590899456213
dureader,decode,k,1,2,bucketfirst,relative_range_gain,11,0.021656111767074812,-0.0004719207173194333,0.06235878897423589,0.021089244096093498
dureader,decode,k,1,3,bucketfirst,relative_mse_gain,11,-0.05058274331159831,-0.07393843598602372,-0.03120269082488016,0.012407261947737218
dureader,decode,k,1,3,bucketfirst,relative_range_gain,11,0.0014363322873220854,0.0,0.011114970475858686,0.0033411386795860016
dureader,decode,k,1,4,bucketfirst,relative_mse_gain,11,0.0,0.0,0.0,0.0
dureader,decode,k,1,4,bucketfirst,relative_range_gain,11,0.0,0.0,0.0,0.0
dureader,decode,k,1,5,bucketfirst,relative_mse_gain,11,-0.017677609500456534,-0.03879691971686195,-0.008212748981035564,0.00869407843728312
dureader,decode,k,1,5,bucketfirst,relative_range_gain,11,-0.004805389364471258,-0.07257476294674742,0.04562104562104173,0.028043934900373765
dureader,decode,k,1,6,bucketfirst,relative_mse_gain,11,-0.00995495850279421,-0.026462569847425458,0.0,0.007652248157274539
dureader,decode,k,1,6,bucketfirst,relative_range_gain,11,-0.0014945535021411145,-0.01644008852355226,0.0,0.00472619315174726
dureader,decode,k,1,7,bucketfirst,relative_mse_gain,11,-0.03253657130221666,-0.06227729536778465,0.013169300076899782,0.019990567004470508
dureader,decode,k,1,7,bucketfirst,relative_range_gain,11,0.009378845157400813,-0.02433004231311487,0.04501250347318379,0.017853129146791963
dureader,decode,k,2,0,bucketfirst,relative_mse_gain,11,-0.0050927707169624616,-0.024069339772275742,0.023555216814005697,0.015121785530907253
dureader,decode,k,2,0,bucketfirst,relative_range_gain,11,0.0201668160039836,-0.012061816811156017,0.08315256688357871,0.02973710158299213
dureader,decode,k,2,1,bucketfirst,relative_mse_gain,11,0.01290342847806602,-0.011470062511842878,0.031275984778099036,0.014306846570831618
dureader,decode,k,2,1,bucketfirst,relative_range_gain,11,0.03888740190627999,-0.0020408163265303457,0.1279069767441714,0.03830113884307424
dureader,decode,k,2,2,bucketfirst,relative_mse_gain,11,-0.013274338706306205,-0.024590030183300544,-0.0033821138631750826,0.0070686540754909405
