task,phase,kv_type,layer,kv_head,bucket,metric,true_positive,true_negative,false_positive,false_negative,total,false_positive_rate,false_negative_rate
dureader,prefill,v,0,0,bucketfirst,gate_vs_mse_oracle,19,0,1,8,28,1.0,0.2962962962962963
dureader,prefill,v,0,0,bucketlast,gate_vs_mse_oracle,38,2,0,3,43,0.0,0.07317073170731707
dureader,prefill,v,0,0,bucketmiddle,gate_vs_mse_oracle,21,1,0,3,25,0.0,0.125
dureader,prefill,v,0,1,bucketfirst,gate_vs_mse_oracle,3,5,0,18,26,0.0,0.8571428571428571
dureader,prefill,v,0,1,bucketlast,gate_vs_mse_oracle,13,10,0,14,37,0.0,0.5185185185185185
dureader,prefill,v,0,1,bucketmiddle,gate_vs_mse_oracle,14,7,1,11,33,0.125,0.44
dureader,prefill,v,0,2,bucketfirst,gate_vs_mse_oracle,19,4,0,4,27,0.0,0.17391304347826086
dureader,prefill,v,0,2,bucketlast,gate_vs_mse_oracle,27,5,0,7,39,0.0,0.20588235294117646
dureader,prefill,v,0,2,bucketmiddle,gate_vs_mse_oracle,20,4,0,6,30,0.0,0.23076923076923078
dureader,prefill,v,0,3,bucketfirst,gate_vs_mse_oracle,5,13,0,18,36,0.0,0.782608695652174
dureader,prefill,v,0,3,bucketlast,gate_vs_mse_oracle,3,16,0,11,30,0.0,0.7857142857142857
dureader,prefill,v,0,3,bucketmiddle,gate_vs_mse_oracle,4,10,0,16,30,0.0,0.8
dureader,prefill,v,0,4,bucketfirst,gate_vs_mse_oracle,13,8,0,12,33,0.0,0.48
dureader,prefill,v,0,4,bucketlast,gate_vs_mse_oracle,13,4,0,12,29,0.0,0.48
dureader,prefill,v,0,4,bucketmiddle,gate_vs_mse_oracle,16,10,0,8,34,0.0,0.3333333333333333
dureader,prefill,v,0,5,bucketfirst,gate_vs_mse_oracle,36,0,0,0,36,,0.0
dureader,prefill,v,0,5,bucketlast,gate_vs_mse_oracle,25,0,0,0,25,,0.0
dureader,prefill,v,0,5,bucketmiddle,gate_vs_mse_oracle,33,1,0,1,35,0.0,0.029411764705882353
dureader,prefill,v,0,6,bucketfirst,gate_vs_mse_oracle,29,2,0,3,34,0.0,0.09375
dureader,prefill,v,0,6,bucketlast,gate_vs_mse_oracle,24,4,0,3,31,0.0,0.1111111111111111
dureader,prefill,v,0,6,bucketmiddle,gate_vs_mse_oracle,29,1,0,1,31,0.0,0.03333333333333333
dureader,prefill,v,0,7,bucketfirst,gate_vs_mse_oracle,32,1,0,0,33,0.0,0.0
dureader,prefill,v,0,7,bucketlast,gate_vs_mse_oracle,28,1,0,0,29,0.0,0.0
dureader,prefill,v,0,7,bucketmiddle,gate_vs_mse_oracle,33,1,0,0,34,0.0,0.0
dureader,prefill,v,1,0,bucketfirst,gate_vs_mse_oracle,19,11,0,2,32,0.0,0.09523809523809523
dureader,prefill,v,1,0,bucketlast,gate_vs_mse_oracle,26,0,0,4,30,,0.13333333333333333
dureader,prefill,v,1,0,bucketmiddle,gate_vs_mse_oracle,31,0,0,3,34,,0.08823529411764706
dureader,prefill,v,1,1,bucketfirst,gate_vs_mse_oracle,20,7,0,6,33,0.0,0.23076923076923078
dureader,prefill,v,1,1,bucketlast,gate_vs_mse_oracle,19,6,0,7,32,0.0,0.2692307692307692
dureader,prefill,v,1,1,bucketmiddle,gate_vs_mse_oracle,15,8,0,8,31,0.0,0.34782608695652173
dureader,prefill,v,1,2,bucketfirst,gate_vs_mse_oracle,28,9,1,0,38,0.1,0.0
dureader,prefill,v,1,2,bucketlast,gate_vs_mse_oracle,26,0,1,3,30,1.0,0.10344827586206896
dureader,prefill,v,1,2,bucketmiddle,gate_vs_mse_oracle,26,0,0,2,28,,0.07142857142857142
dureader,prefill,v,1,3,bucketfirst,gate_vs_mse_oracle,17,18,0,7,42,0.0,0.2916666666666667
dureader,prefill,v,1,3,bucketlast,gate_vs_mse_oracle,20,6,0,5,31,0.0,0.2
dureader,prefill,v,1,3,bucketmiddle,gate_vs_mse_oracle,17,4,0,2,23,0.0,0.10526315789473684
dureader,prefill,v,1,4,bucketfirst,gate_vs_mse_oracle,31,4,1,2,38,0.2,0.06060606060606061
dureader,prefill,v,1,4,bucketlast,gate_vs_mse_oracle,30,0,0,0,30,,0.0
dureader,prefill,v,1,4,bucketmiddle,gate_vs_mse_oracle,27,1,0,0,28,0.0,0.0
dureader,prefill,v,1,5,bucketfirst,gate_vs_mse_oracle,21,12,0,1,34,0.0,0.045454545454545456
dureader,prefill,v,1,5,bucketlast,gate_vs_mse_oracle,27,2,0,0,29,0.0,0.0
dureader,prefill,v,1,5,bucketmiddle,gate_vs_mse_oracle,29,1,0,3,33,0.0,0.09375
dureader,prefill,v,1,6,bucketfirst,gate_vs_mse_oracle,18,10,0,6,34,0.0,0.25
dureader,prefill,v,1,6,bucketlast,gate_vs_mse_oracle,25,4,0,7,36,0.0,0.21875
dureader,prefill,v,1,6,bucketmiddle,gate_vs_mse_oracle,20,2,0,4,26,0.0,0.16666666666666666
dureader,prefill,v,1,7,bucketfirst,gate_vs_mse_oracle,17,5,0,11,33,0.0,0.39285714285714285
dureader,prefill,v,1,7,bucketlast,gate_vs_mse_oracle,20,6,0,6,32,0.0,0.23076923076923078
dureader,prefill,v,1,7,bucketmiddle,gate_vs_mse_oracle,17,7,0,7,31,0.0,0.2916666666666667
dureader,prefill,v,2,0,bucketfirst,gate_vs_mse_oracle,15,17,0,1,33,0.0,0.0625
dureader,prefill,v,2,0,bucketlast,gate_vs_mse_oracle,16,5,0,9,30,0.0,0.36
dureader,prefill,v,2,0,bucketmiddle,gate_vs_mse_oracle,17,5,0,11,33,0.0,0.39285714285714285
dureader,prefill,v,2,1,bucketfirst,gate_vs_mse_oracle,17,12,0,0,29,0.0,0.0
dureader,prefill,v,2,1,bucketlast,gate_vs_mse_oracle,34,4,0,0,38,0.0,0.0
dureader,prefill,v,2,1,bucketmiddle,gate_vs_mse_oracle,26,0,0,3,29,,0.10344827586206896
dureader,prefill,v,2,2,bucketfirst,gate_vs_mse_oracle,18,13,0,3,34,0.0,0.14285714285714285
dureader,prefill,v,2,2,bucketlast,gate_vs_mse_oracle,27,3,0,3,33,0.0,0.1
dureader,prefill,v,2,2,bucketmiddle,gate_vs_mse_oracle,23,3,0,3,29,0.0,0.11538461538461539
dureader,prefill,v,2,3,bucketfirst,gate_vs_mse_oracle,21,12,0,0,33,0.0,0.0
dureader,prefill,v,2,3,bucketlast,gate_vs_mse_oracle,34,0,0,0,34,,0.0
dureader,prefill,v,2,3,bucketmiddle,gate_vs_mse_oracle,29,0,0,0,29,,0.0
dureader,prefill,v,2,4,bucketfirst,gate_vs_mse_oracle,18,12,0,1,31,0.0,0.05263157894736842
dureader,prefill,v,2,4,bucketlast,gate_vs_mse_oracle,26,3,0,1,30,0.0,0.037037037037037035
dureader,prefill,v,2,4,bucketmiddle,gate_vs_mse_oracle,31,3,0,1,35,0.0,0.03125
dureader,prefill,v,2,5,bucketfirst,gate_vs_mse_oracle,22,12,0,0,34,0.0,0.0
dureader,prefill,v,2,5,bucketlast,gate_vs_mse_oracle,29,0,0,0,29,,0.0
dureader,prefill,v,2,5,bucketmiddle,gate_vs_mse_oracle,33,0,0,0,33,,0.0
dureader,prefill,v,2,6,bucketfirst,gate_vs_mse_oracle,18,12,0,0,30,0.0,0.0
dureader,prefill,v,2,6,bucketlast,gate_vs_mse_oracle,32,0,0,0,32,,0.0
dureader,prefill,v,2,6,bucketmiddle,gate_vs_mse_oracle,34,0,0,0,34,,0.0
dureader,prefill,v,2,7,bucketfirst,gate_vs_mse_oracle,14,14,0,2,30,0.0,0.125
dureader,prefill,v,2,7,bucketlast,gate_vs_mse_oracle,29,1,0,3,33,0.0,0.09375
dureader,prefill,v,2,7,bucketmiddle,gate_vs_mse_oracle,30,1,0,2,33,0.0,0.0625
dureader,prefill,v,3,0,bucketfirst,gate_vs_mse_oracle,10,15,0,4,29,0.0,0.2857142857142857
dureader,prefill,v,3,0,bucketlast,gate_vs_mse_oracle,14,4,0,13,31,0.0,0.48148148148148145
dureader,prefill,v,3,0,bucketmiddle,gate_vs_mse_oracle,14,8,0,14,36,0.0,0.5
dureader,prefill,v,3,1,bucketfirst,gate_vs_mse_oracle,13,12,0,0,25,0.0,0.0
dureader,prefill,v,3,1,bucketlast,gate_vs_mse_oracle,34,0,0,0,34,,0.0
dureader,prefill,v,3,1,bucketmiddle,gate_vs_mse_oracle,36,0,0,1,37,,0.02702702702702703
