method,context_length,decode_length,batch_size,valid_runs,median_tpot_ms,mean_tpot_ms,std_tpot_ms,throughput_tokens_s,peak_allocated_bytes,decode_window_peak_allocated_bytes,decode_window_peak_reserved_bytes,full_lifecycle_peak_reserved_bytes,true_batch,decode_only_protocol
CAUSAL_V4_25_FULL_MODEL,2048,8,1,3,303.8819398789201,302.8922101754385,10.547681946094238,3.290684799628767,16513622016,16222865408,16758341632,16758341632,True,True
CAUSAL_V4_25_FULL_MODEL,4096,8,1,3,359.2839362390805,358.8742747864065,2.6863111601839695,2.7832589219546904,16936968192,16303368192,17452498944,17452498944,True,True
CAUSAL_V4_25_FULL_MODEL,8192,8,1,3,487.9005450056866,486.70360395529616,14.224576241292926,2.0495691763570605,17848246272,16480675840,18727567360,18727567360,True,True
FP16_FULL_MODEL,2048,8,1,3,29.790923232212663,30.11347940385652,0.7343757081606396,33.56221168133702,16612160512,16612160512,16875782144,16875782144,True,True
FP16_FULL_MODEL,4096,8,1,3,30.802117864368483,33.44349175070723,4.822601928482822,32.460913687676914,17153242112,17153242112,17502830592,17502830592,True,True
FP16_FULL_MODEL,8192,8,1,3,31.975809106370434,33.24046983228376,2.0619544505374736,31.268752230543303,18235405312,18235405312,18832424960,18832424960,True,True
KIVI_PAPER_G128_FULL_MODEL,2048,8,1,3,76.69323586742394,72.10319392227878,9.808421298472407,13.03818647629879,16372932608,16142532096,16584278016,16584278016,True,True
KIVI_PAPER_G128_FULL_MODEL,4096,8,1,3,76.17212412878871,77.46808941010386,14.508103445120714,13.12741111727498,16679165952,16180706816,17047748608,17047748608,True,True
KIVI_PAPER_G128_FULL_MODEL,8192,8,1,3,59.2687064781785,65.48323520109989,8.908969306121506,16.870887359629286,17344061440,16260169728,17796431872,17796431872,True,True
PATTERNKV_PAPER_FULL_MODEL,2048,8,1,3,272.37161362427287,272.17887866815244,6.530395320715152,3.6713539085663713,16493797376,16188360704,16708009984,16708009984,True,True
PATTERNKV_PAPER_FULL_MODEL,4096,8,1,3,469.4464189815335,434.5409504118531,51.2623091505454,2.1301112259504738,16908754944,16260474880,17351835648,17351835648,True,True
PATTERNKV_PAPER_FULL_MODEL,8192,8,1,3,457.69834812381305,454.3065447069239,10.598735752708507,2.1848174048518483,17792753664,16413681664,18536726528,18536726528,True,True
