method,context_length,decode_length,batch_size,tpot_ratio_vs_fp16,throughput_speedup_vs_fp16,peak_allocated_ratio_vs_fp16,peak_memory_reduction_vs_fp16
CAUSAL_V4_25_FULL_MODEL,2048,8,1,9.229879562879054,0.10835812468352052,0.9940682913622934,0.005931708637706645
CAUSAL_V4_25_FULL_MODEL,2048,8,2,10.460256883899746,0.09561486484619945,0.9857637202434905,0.01423627975650954
CAUSAL_V4_25_FULL_MODEL,2048,8,4,10.002670369496586,0.09998846087496314,0.9744625032902635,0.025537496709736485
CAUSAL_V4_25_FULL_MODEL,2048,8,8,8.000663484661649,0.1250075962607029,0.9521870212505862,0.047812978749413815
KIVI_PAPER_G128_FULL_MODEL,2048,8,1,1.8200604577339858,0.5494757058245247,0.9855992299239349,0.014400770076065106
KIVI_PAPER_G128_FULL_MODEL,2048,8,2,2.139103242689675,0.4675320177638312,0.9716204974302495,0.028379502569750525
KIVI_PAPER_G128_FULL_MODEL,2048,8,4,1.8820455476540459,0.5313816732158135,0.9466200117739366,0.05337998822606338
KIVI_PAPER_G128_FULL_MODEL,2048,8,8,1.5770639655228633,0.6341129948662023,0.903740145107676,0.09625985489232403
PATTERNKV_PAPER_FULL_MODEL,2048,8,1,8.38192080926485,0.11931949671498837,0.9928749101650867,0.007125089834913334
PATTERNKV_PAPER_FULL_MODEL,2048,8,2,9.415853768097236,0.10621992518458279,0.9837256597746231,0.016274340225376882
PATTERNKV_PAPER_FULL_MODEL,2048,8,4,8.638364459524983,0.11578013857938625,0.9693635702815152,0.030636429718484792
PATTERNKV_PAPER_FULL_MODEL,2048,8,8,7.2228790698782195,0.13846824326688945,0.9448208295563425,0.0551791704436575
CAUSAL_V4_25_FULL_MODEL,2048,8,1,10.20048749447064,0.098047316752329,0.9940682913622934,0.005931708637706645
CAUSAL_V4_25_FULL_MODEL,4096,8,1,11.66426080898469,0.08574185399504927,0.9873916593383416,0.01260834066165839
CAUSAL_V4_25_FULL_MODEL,8192,8,1,15.258426874598891,0.06554688083635912,0.9787688272689379,0.02123117273106212
KIVI_PAPER_G128_FULL_MODEL,2048,8,1,2.574382649024325,0.38847816705562793,0.9855992299239349,0.014400770076065106
KIVI_PAPER_G128_FULL_MODEL,4096,8,1,2.4729508686447725,0.40440670412362784,0.9723622999719483,0.02763770002805166
KIVI_PAPER_G128_FULL_MODEL,8192,8,1,1.8535482958700362,0.5395446302187208,0.9511201502379856,0.04887984976201443
PATTERNKV_PAPER_FULL_MODEL,2048,8,1,9.142771826881814,0.10938951054312984,0.9928749101650867,0.007125089834913334
PATTERNKV_PAPER_FULL_MODEL,4096,8,1,15.24071887032753,0.06562080311248678,0.9857468829272245,0.014253117072775545
PATTERNKV_PAPER_FULL_MODEL,8192,8,1,14.313894187985609,0.06987222863078366,0.97572570280581,0.024274297194190053
CAUSAL_V4_25_FULL_MODEL,4096,256,1,12.438870428223547,0.08039348133159363,0.9836345063337646,0.01636549366623541
KIVI_PAPER_G128_FULL_MODEL,4096,256,1,2.0057801547207457,0.49855988325315714,0.9686623356241381,0.03133766437586194
PATTERNKV_PAPER_FULL_MODEL,4096,256,1,11.030760340389616,0.09065595250174753,0.9819959885096796,0.018004011490320382
