context_length,decode_length,batch_size,peer,causal_vs_peer_tpot_ratio,causal_vs_peer_throughput_ratio
2048,8,1,KIVI_PAPER_G128_FULL_MODEL,3.585278810971291,0.2789297671598729
2048,8,1,PATTERNKV_PAPER_FULL_MODEL,1.0095274975299202,0.9905714372933164
2048,8,2,KIVI_PAPER_G128_FULL_MODEL,4.890019647086871,0.20450976877159732
2048,8,2,PATTERNKV_PAPER_FULL_MODEL,1.110919640589699,0.9001594068160519
2048,8,4,KIVI_PAPER_G128_FULL_MODEL,5.314786553367336,0.1881669352084602
2048,8,4,PATTERNKV_PAPER_FULL_MODEL,1.15793567362943,0.8636063326734117
2048,8,8,KIVI_PAPER_G128_FULL_MODEL,5.073138223666845,0.19713772982539096
2048,8,8,PATTERNKV_PAPER_FULL_MODEL,1.1076834330547007,0.9027889233761569
2048,8,1,KIVI_PAPER_G128_FULL_MODEL,3.9623043211297904,0.2523882294221419
2048,8,1,PATTERNKV_PAPER_FULL_MODEL,1.1156887306843752,0.8963136983200151
4096,8,1,KIVI_PAPER_G128_FULL_MODEL,4.716737787587726,0.21201887387316368
4096,8,1,PATTERNKV_PAPER_FULL_MODEL,0.7653353433146831,1.306626099166618
8192,8,1,KIVI_PAPER_G128_FULL_MODEL,8.23200933506658,0.121485558682676
8192,8,1,PATTERNKV_PAPER_FULL_MODEL,1.065987122316866,0.9380963241164042
4096,256,1,KIVI_PAPER_G128_FULL_MODEL,6.201512363629575,0.1612514043589257
4096,256,1,PATTERNKV_PAPER_FULL_MODEL,1.1276530397164077,0.8867976025076116
