method,context_length,decode_length,batch_size,valid_runs,median_tpot_ms,mean_tpot_ms,std_tpot_ms,min_tpot_ms,max_tpot_ms,throughput_tokens_s,peak_allocated_bytes,decode_window_peak_allocated_bytes,decode_window_peak_reserved_bytes,full_lifecycle_peak_reserved_bytes,allocator_protocol_valid,true_batch,decode_only_protocol
CAUSAL_V4_25_FULL_MODEL,2048,8,1,3,165.16838225652464,165.46911467836858,1.013962996547042,164.40525214420632,166.83370963437483,6.054231922391481,16513622016,16222673408,16588472320,16588472320,True,True,True
CAUSAL_V4_25_FULL_MODEL,2048,8,2,3,165.09995338856243,165.41451425291598,0.6155516820844554,164.8688406276051,166.2747487425804,12.113366881356235,16911032320,16337505280,17064525824,17064525824,True,True,True
CAUSAL_V4_25_FULL_MODEL,2048,8,4,3,165.7085524930153,165.88370238120356,0.5288102306530911,165.34163276082836,166.60092188976705,24.137850552291873,17744289792,16605606912,18064867328,18064867328,True,True,True
CAUSAL_V4_25_FULL_MODEL,2048,8,8,3,165.92327726539224,166.16125330134915,0.39854296313147236,165.83777064806782,166.7227119905874,48.21258866935764,19410804736,17141810176,19878903808,19878903808,True,True,True
FP16_FULL_MODEL,2048,8,1,3,30.604021856561303,30.3264739147077,0.8458517532056103,29.180017882026732,31.195382005535066,32.67071288983482,16612160512,16612160512,16678649856,16678649856,True,True,True
FP16_FULL_MODEL,2048,8,2,3,28.226274502230808,28.209548550269876,0.1925769752686088,27.965773129835725,28.436598018743098,70.84472832970732,17155259392,17155259392,17265852416,17265852416,True,True,True
FP16_FULL_MODEL,2048,8,4,3,31.553811364574358,33.2909822561002,2.46657354327916,31.539900635834783,36.77923476789147,126.74733629692822,18241457152,18241457152,18440257536,18440257536,True,True,True
FP16_FULL_MODEL,2048,8,8,3,40.33829411491752,40.26232178633412,0.17971081813602413,40.01429962227121,40.434371621813625,198.28833543970606,20413852672,20413852672,20789067776,20789067776,True,True,True
KIVI_PAPER_G128_FULL_MODEL,2048,8,1,3,68.9668008708395,66.73183136930068,7.386826320540299,56.77684198599309,74.45185125106946,14.498710101420697,16372932608,16142532096,16433283072,16433283072,True,True,True
KIVI_PAPER_G128_FULL_MODEL,2048,8,2,3,61.843463365221396,61.76575595357766,0.3957360984706703,61.24692125013098,62.206883245380595,32.33714363358171,16668401664,16216003072,16798187520,16798187520,True,True,True
KIVI_PAPER_G128_FULL_MODEL,2048,8,4,3,62.327605875907466,62.685819750186056,0.5945674253925023,62.20611886237748,63.52373451227322,64.17142884541053,17259339776,16362945024,17527996416,17527996416,True,True,True
KIVI_PAPER_G128_FULL_MODEL,2048,8,8,3,62.91639112168923,68.19552974775434,7.539640697319021,62.812176009174436,78.85802211239934,127.13711986537305,18441216000,16656828928,18947768320,18947768320,True,True,True
PATTERNKV_PAPER_FULL_MODEL,2048,8,1,3,162.75336360558867,182.6696158386767,29.318880795972806,161.13326101913117,224.12222289131023,6.144078628325575,16493797376,16188168704,16542334976,16542334976,True,True,True
PATTERNKV_PAPER_FULL_MODEL,2048,8,2,3,162.78905238141306,161.89746758512533,1.622002237285825,159.62133524590172,163.28201512806118,12.285208938541167,16876068864,16273181696,16980639744,16980639744,True,True,True
PATTERNKV_PAPER_FULL_MODEL,2048,8,4,3,158.92638938385062,160.18662379550128,2.3349592057070736,158.17346487892792,163.46001712372527,25.16789399783627,17674346496,16476943360,17999855616,17999855616,True,True,True
PATTERNKV_PAPER_FULL_MODEL,2048,8,8,3,164.12272112211213,165.22529903644076,2.554436036737876,162.79733361443505,168.75584237277508,48.74139790456309,19270918144,16884483072,19788726272,19788726272,True,True,True
