method,context_length,decode_length,batch_size,valid_runs,median_tpot_ms,mean_tpot_ms,std_tpot_ms,min_tpot_ms,max_tpot_ms,throughput_tokens_s,peak_allocated_bytes,decode_window_peak_allocated_bytes,decode_window_peak_reserved_bytes,full_lifecycle_peak_reserved_bytes,allocator_protocol_valid,true_batch,decode_only_protocol
CAUSAL_V4_25_FULL_MODEL,2048,8,1,3,158.3248482493218,157.91695104174627,0.7480177988976686,156.86771500622854,158.55828986968845,6.315868254417916,16513622016,16222673408,16588472320,16588472320,True,True,True
CAUSAL_V4_25_FULL_MODEL,4096,8,1,3,158.7388163607102,158.49049402944124,0.7544577267038172,157.46768849203363,159.26497723557986,6.299398346336089,16936968192,16302701056,17005805568,17005805568,True,True,True
CAUSAL_V4_25_FULL_MODEL,8192,8,1,3,157.45731123024598,157.43234470331421,0.36488736285111056,156.97349086985923,157.8662320098374,6.35067849216636,17834008576,16463072256,18301845504,18301845504,True,True,True
FP16_FULL_MODEL,2048,8,1,3,29.033008875558153,28.88465875488085,0.2490156722532438,28.53388400399126,29.087083385093138,34.43558529284079,16612160512,16612160512,16678649856,16678649856,True,True,True
FP16_FULL_MODEL,4096,8,1,3,29.1496837453451,28.838738867004093,0.5017853729434544,28.130846476415172,29.235686379252,34.30040391718507,17153242112,17153242112,17263755264,17263755264,True,True,True
FP16_FULL_MODEL,8192,8,1,3,30.584414751501754,30.587646751276527,0.01603305084567383,30.569826863938943,30.608698638388887,32.69180315926667,18235405312,18235405312,18415091712,18415091712,True,True,True
KIVI_PAPER_G128_FULL_MODEL,2048,8,1,3,56.43208176479675,56.41245788622958,0.1317171136677532,56.24222377082333,56.56306812306866,17.719053917060663,16372932608,16142532096,16433283072,16433283072,True,True,True
KIVI_PAPER_G128_FULL_MODEL,4096,8,1,3,57.03286311472766,57.32227878373427,0.4189929172399029,57.019201485672966,57.914771750802174,17.532410982940824,16679165952,16180706816,16743661568,16743661568,True,True,True
KIVI_PAPER_G128_FULL_MODEL,8192,8,1,3,56.75413625431247,56.83785320919318,0.1339502257600891,56.73254647990689,57.02687689336017,17.618068731712636,17341964288,16258072064,17483956224,17483956224,True,True,True
PATTERNKV_PAPER_FULL_MODEL,2048,8,1,3,153.09363199048676,154.41923719481565,2.161125606850382,152.69713435554877,157.46694523841143,6.531702745858124,16493797376,16188168704,16542334976,16542334976,True,True,True
PATTERNKV_PAPER_FULL_MODEL,4096,8,1,3,156.36131711653434,156.143457328047,0.3730108472351704,155.61846437049098,156.45059049711563,6.3951815122361095,16908754944,16259807744,16949182464,16949182464,True,True,True
PATTERNKV_PAPER_FULL_MODEL,8192,8,1,3,153.61122926697135,153.49678054917604,0.5974611345263986,152.71456251502968,154.16454986552708,6.509678473437461,17789018112,16403447808,18217959424,18217959424,True,True,True
