method,context_length,decode_length,batch_size,tpot_ratio_vs_fp16,throughput_speedup_vs_fp16,peak_allocated_ratio_vs_fp16,peak_reserved_ratio_vs_fp16,peak_memory_reduction_vs_fp16
CAUSAL_V4_25_FULL_MODEL,2048,8,1,5.68898604221397,0.17581324292606593,0.9940682913622934,0.9945932352571357,0.005931708637706645
CAUSAL_V4_25_FULL_MODEL,2048,8,2,5.849158498600801,0.1709847319193789,0.9857637202434905,0.9883396088910482,0.01423627975650954
CAUSAL_V4_25_FULL_MODEL,2048,8,4,5.251617643853232,0.19044069293688867,0.9727451948680815,0.9796428977595815,0.02725480513191847
CAUSAL_V4_25_FULL_MODEL,2048,8,8,4.113294349847881,0.24314384687554022,0.9508643492183227,0.9562191062241501,0.049135650781677254
KIVI_PAPER_G128_FULL_MODEL,2048,8,1,2.3754617086519123,0.4210385848860539,0.9855992299239349,0.985288570350811,0.014400770076065106
KIVI_PAPER_G128_FULL_MODEL,2048,8,2,2.190989227442457,0.45645095119973483,0.9716204974302495,0.9729138831531641,0.028379502569750525
KIVI_PAPER_G128_FULL_MODEL,2048,8,4,1.975279789682809,0.506294102268765,0.946160146757118,0.9505288297509382,0.053839853242881985
KIVI_PAPER_G128_FULL_MODEL,2048,8,8,1.559718686726073,0.6411729645288787,0.9033677423024756,0.9114294360940179,0.09663225769752437
PATTERNKV_PAPER_FULL_MODEL,2048,8,1,5.605804217647068,0.17842236674870568,0.9928749101650867,0.9918269835282283,0.007125089834913334
PATTERNKV_PAPER_FULL_MODEL,2048,8,2,5.767287934812203,0.17341034722254148,0.9837256597746231,0.9834811125956516,0.016274340225376882
PATTERNKV_PAPER_FULL_MODEL,2048,8,4,5.0366780591925,0.19856743923103828,0.9689108906555844,0.9761173660866599,0.031089109344415555
PATTERNKV_PAPER_FULL_MODEL,2048,8,8,4.068657952033174,0.24581071698684961,0.9440118165657349,0.9518813679007364,0.05598818343426515
CAUSAL_V4_25_FULL_MODEL,2048,8,1,5.4532704112046,0.18341109061186756,0.9940682913622934,0.9945932352571357,0.005931708637706645
CAUSAL_V4_25_FULL_MODEL,4096,8,1,5.445644547895279,0.18365376575580167,0.9873916593383416,0.9850583090379009,0.01260834066165839
CAUSAL_V4_25_FULL_MODEL,8192,8,1,5.148285900174517,0.19425904595189716,0.9779880551524754,0.9938503587290741,0.022011944847524556
KIVI_PAPER_G128_FULL_MODEL,2048,8,1,1.9437214381284778,0.514556490513448,0.9855992299239349,0.985288570350811,0.014400770076065106
KIVI_PAPER_G128_FULL_MODEL,4096,8,1,1.9565516941100678,0.5111429890234265,0.9723622999719483,0.9698736637512148,0.02763770002805166
KIVI_PAPER_G128_FULL_MODEL,8192,8,1,1.8556554609738194,0.5389139487314789,0.9510051458295768,0.9494362828834985,0.04899485417042315
PATTERNKV_PAPER_FULL_MODEL,2048,8,1,5.273088733127167,0.18967886534561312,0.9928749101650867,0.9918269835282283,0.007125089834913334
PATTERNKV_PAPER_FULL_MODEL,4096,8,1,5.364082797004739,0.1864462449968998,0.9857468829272245,0.9817784256559767,0.014253117072775545
PATTERNKV_PAPER_FULL_MODEL,8192,8,1,5.022532898375266,0.19912264984968434,0.9755208512033319,0.9892950688987587,0.024479148796668126
CAUSAL_V4_25_FULL_MODEL,4096,256,1,5.565715864829378,0.17967203533293663,0.9836345063337646,0.969758064516129,0.01636549366623541
KIVI_PAPER_G128_FULL_MODEL,4096,256,1,1.9827481553365338,0.5043513784056292,0.9686623356241381,0.9526802656546489,0.03133766437586194
PATTERNKV_PAPER_FULL_MODEL,4096,256,1,5.395318484599268,0.18534652552023806,0.9819959885096796,0.9675047438330171,0.018004011490320382
