run_id,timestamp,phase,repetition_id,physical_gpu,gpu_uuid,method,model,model_path,context,batch,decode,warmup,backend,fp16_backend_selected,dtype,tpot_ms,tok_s,decode_wall_ms,output_tokens,protocol_counters,tokens,nan_inf,workload_sha256,run_valid,invalid_reason
batch_scaling_FP16_gpu4_ctx2048_b1_dec8_measured1,2026-08-28T00:03:28+0800,measured,0,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,FP16,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,1,8,1,sdpa,sdpa,torch.float16,40.96793746948242,24.40933231615367,327.7434997558594,8,{},"[[25], [6979], [264], [8500], [323], [2874], [911], [43893]]",False,221ed25c430f13478156e65a921ce578d98468084daf220ea8870265b071d743,True,
batch_scaling_FP16_gpu4_ctx2048_b1_dec8_measured2,2026-08-28T00:03:29+0800,measured,1,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,FP16,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,1,8,1,sdpa,sdpa,torch.float16,40.728702545166016,24.552709453267067,325.8296203613281,8,{},"[[25], [6979], [264], [8500], [323], [2874], [911], [43893]]",False,221ed25c430f13478156e65a921ce578d98468084daf220ea8870265b071d743,True,
batch_scaling_FP16_gpu4_ctx2048_b1_dec8_measured3,2026-08-28T00:03:30+0800,measured,2,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,FP16,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,1,8,1,sdpa,sdpa,torch.float16,40.80614471435547,24.50611316016343,326.44915771484375,8,{},"[[25], [6979], [264], [8500], [323], [2874], [911], [43893]]",False,221ed25c430f13478156e65a921ce578d98468084daf220ea8870265b071d743,True,
batch_scaling_CAUSAL_gpu4_ctx2048_b1_dec8_measured1,2026-08-28T00:04:00+0800,measured,0,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,CAUSAL,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,1,8,1,CUDA_COMPRESSED_LEGACY,sdpa,torch.float16,286.674560546875,3.4882760370935917,2293.396484375,8,"{'historical_fp16_k_materialization_calls': 0, 'historical_fp16_k_materialized_bytes': 0, 'historical_fp16_v_materialization_calls': 0, 'historical_fp16_v_materialized_bytes': 0, 'page_local_v_materialization_calls': 0, 'page_local_v_materialized_bytes': 0, 'serial_request_forward_dispatches': 0, 'serial_attention_dispatches': 0, 'fallback_count': 0, 'prefill_calls': 0, 'prefill_tokens': 0, 'refill_calls': 0, 'membership_changes': 0, 'page_batch_page_batch_decode_calls': 0, 'page_batch_page_batch_pack_calls': 0, 'page_batch_logical_pages_processed': 0, 'page_batch_v2_pages_processed': 0, 'page_batch_v4_pages_processed': 0, 'page_batch_v2_tokens_processed': 0, 'page_batch_v4_tokens_processed': 0, 'page_batch_page_value_materialization_calls': 0, 'page_batch_page_value_materialized_bytes': 0, 'page_batch_historical_v_materialization_bytes': 0, 'page_batch_python_serial_b1_dispatches': 0, 'page_batch_host_sync_item_calls': 0, 'page_batch_gpu_tensor_item_calls': 0, 'page_batch_matmul_calls': 0, 'page_batch_accumulate_calls': 0, 'page_batch_attention_slice_calls': 0, 'page_batch_repeat_kv_calls': 0, 'real_decode_real_decode_steps': 0, 'real_decode_fused_page_operator_calls': 0, 'real_decode_legacy_mixed_v_operator_calls': 288, 'real_decode_serial_b1_dispatches': 0, 'real_decode_operator_ready_pool_full_rebuilds': 0, 'real_decode_operator_ready_pool_incremental_updates': 0, 'real_decode_new_pages_allocated': 0, 'real_decode_page_value_materialization_bytes': 0, 'real_decode_historical_v_materialization_bytes': 0, 'real_decode_gpu_tensor_item_calls_hot_path': 0, 'real_decode_python_page_dispatches': 0}","[[25], [6979], [264], [8500], [323], [2874], [911], [43893]]",False,221ed25c430f13478156e65a921ce578d98468084daf220ea8870265b071d743,True,
batch_scaling_CAUSAL_gpu4_ctx2048_b1_dec8_measured2,2026-08-28T00:04:10+0800,measured,1,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,CAUSAL,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,1,8,1,CUDA_COMPRESSED_LEGACY,sdpa,torch.float16,287.6207275390625,3.4768008848186627,2300.9658203125,8,"{'historical_fp16_k_materialization_calls': 0, 'historical_fp16_k_materialized_bytes': 0, 'historical_fp16_v_materialization_calls': 0, 'historical_fp16_v_materialized_bytes': 0, 'page_local_v_materialization_calls': 0, 'page_local_v_materialized_bytes': 0, 'serial_request_forward_dispatches': 0, 'serial_attention_dispatches': 0, 'fallback_count': 0, 'prefill_calls': 0, 'prefill_tokens': 0, 'refill_calls': 0, 'membership_changes': 0, 'page_batch_page_batch_decode_calls': 0, 'page_batch_page_batch_pack_calls': 0, 'page_batch_logical_pages_processed': 0, 'page_batch_v2_pages_processed': 0, 'page_batch_v4_pages_processed': 0, 'page_batch_v2_tokens_processed': 0, 'page_batch_v4_tokens_processed': 0, 'page_batch_page_value_materialization_calls': 0, 'page_batch_page_value_materialized_bytes': 0, 'page_batch_historical_v_materialization_bytes': 0, 'page_batch_python_serial_b1_dispatches': 0, 'page_batch_host_sync_item_calls': 0, 'page_batch_gpu_tensor_item_calls': 0, 'page_batch_matmul_calls': 0, 'page_batch_accumulate_calls': 0, 'page_batch_attention_slice_calls': 0, 'page_batch_repeat_kv_calls': 0, 'real_decode_real_decode_steps': 0, 'real_decode_fused_page_operator_calls': 0, 'real_decode_legacy_mixed_v_operator_calls': 288, 'real_decode_serial_b1_dispatches': 0, 'real_decode_operator_ready_pool_full_rebuilds': 0, 'real_decode_operator_ready_pool_incremental_updates': 0, 'real_decode_new_pages_allocated': 0, 'real_decode_page_value_materialization_bytes': 0, 'real_decode_historical_v_materialization_bytes': 0, 'real_decode_gpu_tensor_item_calls_hot_path': 0, 'real_decode_python_page_dispatches': 0}","[[25], [6979], [264], [8500], [323], [2874], [911], [43893]]",False,221ed25c430f13478156e65a921ce578d98468084daf220ea8870265b071d743,True,
batch_scaling_CAUSAL_gpu4_ctx2048_b1_dec8_measured3,2026-08-28T00:04:19+0800,measured,2,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,CAUSAL,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,1,8,1,CUDA_COMPRESSED_LEGACY,sdpa,torch.float16,287.1822204589844,3.4821097155728027,2297.457763671875,8,"{'historical_fp16_k_materialization_calls': 0, 'historical_fp16_k_materialized_bytes': 0, 'historical_fp16_v_materialization_calls': 0, 'historical_fp16_v_materialized_bytes': 0, 'page_local_v_materialization_calls': 0, 'page_local_v_materialized_bytes': 0, 'serial_request_forward_dispatches': 0, 'serial_attention_dispatches': 0, 'fallback_count': 0, 'prefill_calls': 0, 'prefill_tokens': 0, 'refill_calls': 0, 'membership_changes': 0, 'page_batch_page_batch_decode_calls': 0, 'page_batch_page_batch_pack_calls': 0, 'page_batch_logical_pages_processed': 0, 'page_batch_v2_pages_processed': 0, 'page_batch_v4_pages_processed': 0, 'page_batch_v2_tokens_processed': 0, 'page_batch_v4_tokens_processed': 0, 'page_batch_page_value_materialization_calls': 0, 'page_batch_page_value_materialized_bytes': 0, 'page_batch_historical_v_materialization_bytes': 0, 'page_batch_python_serial_b1_dispatches': 0, 'page_batch_host_sync_item_calls': 0, 'page_batch_gpu_tensor_item_calls': 0, 'page_batch_matmul_calls': 0, 'page_batch_accumulate_calls': 0, 'page_batch_attention_slice_calls': 0, 'page_batch_repeat_kv_calls': 0, 'real_decode_real_decode_steps': 0, 'real_decode_fused_page_operator_calls': 0, 'real_decode_legacy_mixed_v_operator_calls': 288, 'real_decode_serial_b1_dispatches': 0, 'real_decode_operator_ready_pool_full_rebuilds': 0, 'real_decode_operator_ready_pool_incremental_updates': 0, 'real_decode_new_pages_allocated': 0, 'real_decode_page_value_materialization_bytes': 0, 'real_decode_historical_v_materialization_bytes': 0, 'real_decode_gpu_tensor_item_calls_hot_path': 0, 'real_decode_python_page_dispatches': 0}","[[25], [6979], [264], [8500], [323], [2874], [911], [43893]]",False,221ed25c430f13478156e65a921ce578d98468084daf220ea8870265b071d743,True,
batch_scaling_FP16_gpu4_ctx2048_b2_dec8_measured1,2026-08-28T00:04:33+0800,measured,0,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,FP16,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,2,8,1,sdpa,sdpa,torch.float16,25.2346248626709,39.62809058751973,403.7539978027344,16,{},"[[25, 6529], [6979, 11], [264, 323], [8500, 72349], [323, 55980], [2874, 47116], [911, 13], [43893, 739]]",False,b36dad09e72f0b3d48dfdd6652ef59c7fca6c53a1627d047b0d9e8ca6b13f7f1,True,
batch_scaling_FP16_gpu4_ctx2048_b2_dec8_measured2,2026-08-28T00:04:34+0800,measured,1,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,FP16,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,2,8,1,sdpa,sdpa,torch.float16,25.137983322143555,39.78043851748122,402.2077331542969,16,{},"[[25, 6529], [6979, 11], [264, 323], [8500, 72349], [323, 55980], [2874, 47116], [911, 13], [43893, 739]]",False,b36dad09e72f0b3d48dfdd6652ef59c7fca6c53a1627d047b0d9e8ca6b13f7f1,True,
batch_scaling_FP16_gpu4_ctx2048_b2_dec8_measured3,2026-08-28T00:04:36+0800,measured,2,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,FP16,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,2,8,1,sdpa,sdpa,torch.float16,25.05094337463379,39.918656357372356,400.8150939941406,16,{},"[[25, 6529], [6979, 11], [264, 323], [8500, 72349], [323, 55980], [2874, 47116], [911, 13], [43893, 739]]",False,b36dad09e72f0b3d48dfdd6652ef59c7fca6c53a1627d047b0d9e8ca6b13f7f1,True,
batch_scaling_CAUSAL_gpu4_ctx2048_b2_dec8_measured1,2026-08-28T00:05:13+0800,measured,0,4,GPU-aa5df360-c59b-6a93-6bda-8ddc3506c1ba,CAUSAL,Qwen3-8B,/home/qinch2023/modelscope_models/Qwen3-8B,2048,2,8,1,CUDA_COMPRESSED_LEGACY,sdpa,torch.float16,147.5458526611328,6.7775541092076015,2360.733642578125,16,"{'historical_fp16_k_materialization_calls': 0, 'historical_fp16_k_materialized_bytes': 0, 'historical_fp16_v_materialization_calls': 0, 'historical_fp16_v_materialized_bytes': 0, 'page_local_v_materialization_calls': 0, 'page_local_v_materialized_bytes': 0, 'serial_request_forward_dispatches': 0, 'serial_attention_dispatches': 0, 'fallback_count': 0, 'prefill_calls': 0, 'prefill_tokens': 0, 'refill_calls': 0, 'membership_changes': 0, 'page_batch_page_batch_decode_calls': 0, 'page_batch_page_batch_pack_calls': 0, 'page_batch_logical_pages_processed': 0, 'page_batch_v2_pages_processed': 0, 'page_batch_v4_pages_processed': 0, 'page_batch_v2_tokens_processed': 0, 'page_batch_v4_tokens_processed': 0, 'page_batch_page_value_materialization_calls': 0, 'page_batch_page_value_materialized_bytes': 0, 'page_batch_historical_v_materialization_bytes': 0, 'page_batch_python_serial_b1_dispatches': 0, 'page_batch_host_sync_item_calls': 0, 'page_batch_gpu_tensor_item_calls': 0, 'page_batch_matmul_calls': 0, 'page_batch_accumulate_calls': 0, 'page_batch_attention_slice_calls': 0, 'page_batch_repeat_kv_calls': 0, 'real_decode_real_decode_steps': 0, 'real_decode_fused_page_operator_calls': 0, 'real_decode_legacy_mixed_v_operator_calls': 288, 'real_decode_serial_b1_dispatches': 0, 'real_decode_operator_ready_pool_full_rebuilds': 0, 'real_decode_operator_ready_pool_incremental_updates': 0, 'real_decode_new_pages_allocated': 0, 'real_decode_page_value_materialization_bytes': 0, 'real_decode_historical_v_materialization_bytes': 0, 'real_decode_gpu_tensor_item_calls_hot_path': 0, 'real_decode_python_page_dispatches': 0}","[[25, 6529], [6979, 11], [264, 323], [8500, 72349], [323, 55980], [2874, 47116], [911, 13], [43893, 739]]",False,b36dad09e72f0b3d48dfdd6652ef59c7fca6c53a1627d047b0d9e8ca6b13f7f1,True,
