path	git_status	category	approx_diff_size	likely_originating_task	scientific_system_purpose	should_commit	proposed_commit_group	reason	file_type	bytes
bench/full_model_serving_benchmark.py	??	BENCHMARK	52126 bytes	full-model serving/scaling benchmark	Benchmark or correctness harness for system experiments.	yes	B_full_model_benchmark_protocol_forensics	semantic source/test/report artifact	Python script, ASCII text executable	52126
bench/run_actual_model_bi_prefill_runtime.py	M	BENCHMARK	+3/-2	batch-invariant K projection	Benchmark or correctness harness for system experiments.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	Python script, ASCII text executable, with very long lines (323)	27978
bench/run_bi_vproj_cost_benefit.py	M	BENCHMARK	+4/-4	batch-invariant K projection	Benchmark or correctness harness for system experiments.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	Python script, ASCII text executable	22351
bench/run_prefill_projection_mode_policy.py	M	BENCHMARK	+6/-6	batch-invariant K projection	Benchmark or correctness harness for system experiments.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	Python script, ASCII text executable, with very long lines (412)	29770
bench/run_ragged_multistep_correctness.py	M	BENCHMARK	+47/-21	ragged / lifecycle correctness	Benchmark or correctness harness for system experiments.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	Python script, ASCII text executable	22570
bench/serving_benchmark_v1.py	??	BENCHMARK	17228 bytes	serving benchmark v1	Benchmark or correctness harness for system experiments.	yes	B_full_model_benchmark_protocol_forensics	semantic source/test/report artifact	Python script, ASCII text executable	17228
forensics/centroid_determinism/fixed_layer0_k.pt	??	RAW_EXPERIMENT_ARTIFACT	1574079 bytes	centroid determinism forensic	Raw experiment/probe artifact; review before committing.	review	REVIEW_OR_EXCLUDE	raw/binary/probe artifact requires manual review before staging	Zip archive data, at least v0.0 to extract, compression method=store	1574079
forensics/centroid_determinism/payload.json	??	RAW_EXPERIMENT_ARTIFACT	99237 bytes	centroid determinism forensic	Raw experiment/probe artifact; review before committing.	review	REVIEW_OR_EXCLUDE	raw/binary/probe artifact requires manual review before staging	JSON text data	99237
forensics/step1_layer0_k_path/fixed_layer0_step1_norm_A.pt	??	RAW_EXPERIMENT_ARTIFACT	9590 bytes	step1 layer0 K path forensic	Raw experiment/probe artifact; review before committing.	review	REVIEW_OR_EXCLUDE	raw/binary/probe artifact requires manual review before staging	Zip archive data, at least v0.0 to extract, compression method=store	9590
models/llama_patternkv.py	M	PRODUCTION_CODE	+249/-86	batch-invariant K projection	Production runtime semantics for PatternKV/CAUSAL system path.	yes	A_request_local_fixed_split_semantics	semantic source/test/report artifact	Python script, Unicode text, UTF-8 text executable	136735
