method,problem_id,base_seed,sample_id,effective_seed,method_generated_tokens,causal_generated_tokens,method_length_truncated,causal_length_truncated
importance_only25,0,42,0,42,7031,2379,False,False
importance_only25,0,43,0,43,2480,2429,False,False
importance_only25,1,42,0,1042,32768,32768,True,True
importance_only25,1,43,0,1043,20440,21610,False,False
importance_only25,2,42,0,2042,14032,11352,False,False
importance_only25,2,43,0,2043,20034,13494,False,False
importance_only25,3,42,0,3042,14812,12029,False,False
importance_only25,3,43,0,3043,14324,13811,False,False
importance_only25,4,42,0,4042,6214,21313,False,False
importance_only25,4,43,0,4043,10189,32768,False,True
importance_only25,5,42,0,5042,5382,23765,False,False
importance_only25,5,43,0,5043,32768,26424,True,False
importance_only25,6,42,0,6042,14319,8697,False,False
importance_only25,6,43,0,6043,22044,19192,False,False
importance_only25,7,42,0,7042,12025,2141,False,False
importance_only25,7,43,0,7043,11720,10392,False,False
importance_only25,8,42,0,8042,3254,9894,False,False
importance_only25,8,43,0,8043,4401,4900,False,False
importance_only25,9,42,0,9042,2747,2592,False,False
importance_only25,9,43,0,9043,6625,5081,False,False
importance_only25,10,42,0,10042,5361,16575,False,False
importance_only25,10,43,0,10043,19112,19407,False,False
importance_only25,11,42,0,11042,5466,5246,False,False
importance_only25,11,43,0,11043,12414,3821,False,False
importance_only25,12,42,0,12042,4566,13163,False,False
importance_only25,12,43,0,12043,5672,9166,False,False
importance_only25,13,42,0,13042,11070,15686,False,False
importance_only25,14,42,0,14042,11135,14477,False,False
importance_only25,15,42,0,15042,16515,12010,False,False
importance_only25,16,42,0,16042,16247,4131,False,False
importance_only25,17,42,0,17042,21244,21190,False,False
importance_only25,18,42,0,18042,5010,16798,False,False
importance_only25,19,42,0,19042,7929,10673,False,False
importance_only25,20,42,0,20042,14613,20961,False,False
importance_only25,21,42,0,21042,32768,14171,True,False
importance_only25,22,42,0,22042,20177,32768,False,True
importance_only25,23,42,0,23042,26832,7209,False,False
importance_only25,24,42,0,24042,3467,3119,False,False
importance_only25,25,42,0,25042,11588,13842,False,False
importance_only25,26,42,0,26042,3843,4221,False,False
importance_only25,27,42,0,27042,18149,6684,False,False
importance_only25,28,42,0,28042,23965,21297,False,False
importance_only25,29,42,0,29042,32768,14380,True,False
error_only25,0,42,0,42,2647,2379,False,False
error_only25,0,43,0,43,4523,2429,False,False
error_only25,1,42,0,1042,20191,32768,False,True
error_only25,1,43,0,1043,18953,21610,False,False
error_only25,2,42,0,2042,13283,11352,False,False
error_only25,2,43,0,2043,25932,13494,False,False
error_only25,3,42,0,3042,12525,12029,False,False
error_only25,3,43,0,3043,10465,13811,False,False
error_only25,4,42,0,4042,5709,21313,False,False
error_only25,4,43,0,4043,15191,32768,False,True
error_only25,5,42,0,5042,5424,23765,False,False
error_only25,5,43,0,5043,9787,26424,False,False
error_only25,6,42,0,6042,6347,8697,False,False
error_only25,6,43,0,6043,8915,19192,False,False
error_only25,7,42,0,7042,7435,2141,False,False
error_only25,7,43,0,7043,10013,10392,False,False
error_only25,8,42,0,8042,2863,9894,False,False
error_only25,8,43,0,8043,4192,4900,False,False
error_only25,9,42,0,9042,3079,2592,False,False
error_only25,9,43,0,9043,3422,5081,False,False
error_only25,10,42,0,10042,17926,16575,False,False
error_only25,10,43,0,10043,17692,19407,False,False
error_only25,11,42,0,11042,4029,5246,False,False
error_only25,11,43,0,11043,5221,3821,False,False
error_only25,12,42,0,12042,5025,13163,False,False
error_only25,12,43,0,12043,5042,9166,False,False
error_only25,13,42,0,13042,32768,15686,True,False
error_only25,13,43,0,13043,14116,9566,False,False
error_only25,14,42,0,14042,8912,14477,False,False
error_only25,14,43,0,14043,8881,13301,False,False
error_only25,15,42,0,15042,13623,12010,False,False
error_only25,15,43,0,15043,3305,17534,False,False
error_only25,16,42,0,16042,8327,4131,False,False
error_only25,16,43,0,16043,5301,6791,False,False
error_only25,17,42,0,17042,26765,21190,False,False
error_only25,17,43,0,17043,13095,12704,False,False
error_only25,18,42,0,18042,8505,16798,False,False
error_only25,18,43,0,18043,6356,11929,False,False
error_only25,19,42,0,19042,15529,10673,False,False
error_only25,19,43,0,19043,8805,5856,False,False
error_only25,20,42,0,20042,26816,20961,False,False
error_only25,20,43,0,20043,15160,32768,False,True
error_only25,21,42,0,21042,14665,14171,False,False
error_only25,21,43,0,21043,13735,19351,False,False
error_only25,22,42,0,22042,16532,32768,False,True
error_only25,23,42,0,23042,26615,7209,False,False
error_only25,24,42,0,24042,3120,3119,False,False
error_only25,25,42,0,25042,16435,13842,False,False
error_only25,26,42,0,26042,3821,4221,False,False
error_only25,27,42,0,27042,10250,6684,False,False
error_only25,28,42,0,28042,16034,21297,False,False
error_only25,29,42,0,29042,32768,14380,True,False
