method,problem_id,base_seed,sample_id,effective_seed,method_correct,causal_correct,method_answer,causal_answer,gold_answer
importance_only25,0,42,0,42,True,True,204,204,204
importance_only25,0,43,0,43,True,True,204,204,204
importance_only25,1,42,0,1042,False,False,946,36,113
importance_only25,1,43,0,1043,False,False,193,28,113
importance_only25,2,42,0,2042,False,False,35,9,371
importance_only25,2,43,0,2043,False,False,9,67,371
importance_only25,3,42,0,3042,False,False,6,16,385
importance_only25,3,43,0,3043,False,False,9,24,385
importance_only25,4,42,0,4042,False,True,155,110,110
importance_only25,4,43,0,4043,True,False,110,155,110
importance_only25,5,42,0,5042,True,True,104,104,104
importance_only25,5,43,0,5043,False,False,,480,104
importance_only25,6,42,0,6042,True,True,721,721,721
importance_only25,6,43,0,6043,False,False,209,673,721
importance_only25,7,42,0,7042,True,True,25,25,25
importance_only25,7,43,0,7043,True,True,25,25,25
importance_only25,8,42,0,8042,True,True,809,809,809
importance_only25,8,43,0,8043,True,True,809,809,809
importance_only25,9,42,0,9042,True,True,116,116,116
importance_only25,9,43,0,9043,False,True,21,116,116
importance_only25,10,42,0,10042,True,False,104,108,104
importance_only25,10,43,0,10043,False,False,291,199,104
importance_only25,11,42,0,11042,True,True,294,294,294
importance_only25,11,43,0,11043,False,True,2,294,294
importance_only25,12,42,0,12042,True,True,540,540,540
importance_only25,12,43,0,12043,True,True,540,540,540
importance_only25,13,42,0,13042,False,False,287,19,197
importance_only25,14,42,0,14042,False,False,2,11,480
importance_only25,15,42,0,15042,False,False,234,214,73
importance_only25,16,42,0,16042,False,True,312,468,468
importance_only25,17,42,0,17042,False,True,13,601,601
importance_only25,18,42,0,18042,True,True,23,23,23
importance_only25,19,42,0,19042,True,False,321,679,321
importance_only25,20,42,0,20042,True,True,211,211,211
importance_only25,21,42,0,21042,False,False,,12,315
importance_only25,22,42,0,22042,False,False,216,,236
importance_only25,23,42,0,23042,False,True,81,45,45
importance_only25,24,42,0,24042,True,True,33,33,33
importance_only25,25,42,0,25042,False,False,120,60,80
importance_only25,26,42,0,26042,True,False,55,57,55
importance_only25,27,42,0,27042,False,True,200,699,699
importance_only25,28,42,0,28042,False,False,3,7,127
importance_only25,29,42,0,29042,False,False,,0,902
error_only25,0,42,0,42,True,True,204,204,204
error_only25,0,43,0,43,True,True,204,204,204
error_only25,1,42,0,1042,False,False,69,36,113
error_only25,1,43,0,1043,False,False,79,28,113
error_only25,2,42,0,2042,False,False,9,9,371
error_only25,2,43,0,2043,False,False,23,67,371
error_only25,3,42,0,3042,False,False,8,16,385
error_only25,3,43,0,3043,False,False,16,24,385
error_only25,4,42,0,4042,False,True,155,110,110
error_only25,4,43,0,4043,True,False,110,155,110
error_only25,5,42,0,5042,True,True,104,104,104
error_only25,5,43,0,5043,True,False,104,480,104
error_only25,6,42,0,6042,True,True,721,721,721
error_only25,6,43,0,6043,False,False,675,673,721
error_only25,7,42,0,7042,True,True,25,25,25
error_only25,7,43,0,7043,True,True,25,25,25
error_only25,8,42,0,8042,True,True,809,809,809
error_only25,8,43,0,8043,True,True,809,809,809
error_only25,9,42,0,9042,True,True,116,116,116
error_only25,9,43,0,9043,True,True,116,116,116
error_only25,10,42,0,10042,False,False,873,108,104
error_only25,10,43,0,10043,False,False,90,199,104
error_only25,11,42,0,11042,True,True,294,294,294
error_only25,11,43,0,11043,False,True,2,294,294
error_only25,12,42,0,12042,True,True,540,540,540
error_only25,12,43,0,12043,True,True,540,540,540
error_only25,13,42,0,13042,False,False,2,19,197
error_only25,13,43,0,13043,False,True,36,197,197
error_only25,14,42,0,14042,True,False,480,11,480
error_only25,14,43,0,14043,True,False,480,960,480
error_only25,15,42,0,15042,False,False,1,214,73
error_only25,15,43,0,15043,True,False,73,229,73
error_only25,16,42,0,16042,True,True,468,468,468
error_only25,16,43,0,16043,True,True,468,468,468
error_only25,17,42,0,17042,False,True,301,601,601
error_only25,17,43,0,17043,True,False,601,7,601
error_only25,18,42,0,18042,True,True,23,23,23
error_only25,18,43,0,18043,True,True,23,23,23
error_only25,19,42,0,19042,True,False,321,679,321
error_only25,19,43,0,19043,True,True,321,321,321
error_only25,20,42,0,20042,False,True,256,211,211
error_only25,20,43,0,20043,True,False,211,27,211
error_only25,21,42,0,21042,False,False,432,12,315
error_only25,21,43,0,21043,False,False,60,132,315
error_only25,22,42,0,22042,False,False,217,,236
error_only25,23,42,0,23042,False,True,3,45,45
error_only25,24,42,0,24042,True,True,33,33,33
error_only25,25,42,0,25042,False,False,60,60,80
error_only25,26,42,0,26042,True,False,55,57,55
error_only25,27,42,0,27042,True,True,699,699,699
error_only25,28,42,0,28042,False,False,79,7,127
error_only25,29,42,0,29042,False,False,25,0,902
