request_row,kv_head,token_index,b2_best_distance,b2_second_best_distance,b2_margin,b1_best_distance,b1_second_best_distance,b1_margin,k_input_max_abs,k_input_relative_l2
0,0,39,6.7109375,7.42578125,0.71484375,6.35546875,7.703125,1.34765625,0.0078125,0.00023537653032690287
0,0,53,6.9375,7.640625,0.703125,6.734375,8.015625,1.28125,0.0078125,0.00023537653032690287
0,0,77,5.8359375,5.84375,0.0078125,5.21484375,6.4375,1.22265625,0.0078125,0.00023537653032690287
0,0,108,6.6484375,7.0625,0.4140625,6.4765625,7.05859375,0.58203125,0.0078125,0.00023537653032690287
0,0,109,6.5546875,7.2265625,0.671875,6.5390625,7.1484375,0.609375,0.0078125,0.00023537653032690287
0,0,178,6.8125,6.8359375,0.0234375,6.4140625,6.796875,0.3828125,0.0078125,0.00023537653032690287
0,0,227,6.015625,6.64453125,0.62890625,5.65625,6.640625,0.984375,0.0078125,0.00023537653032690287
0,0,291,5.921875,6.609375,0.6875,5.9609375,6.296875,0.3359375,0.0078125,0.00023537653032690287
0,0,367,5.8984375,6.5234375,0.625,5.80859375,6.2890625,0.48046875,0.0078125,0.00023537653032690287
0,0,378,5.95703125,6.2890625,0.33203125,5.734375,6.15234375,0.41796875,0.0078125,0.00023537653032690287
0,0,381,6.328125,6.390625,0.0625,5.9609375,6.328125,0.3671875,0.0078125,0.00023537653032690287
0,0,392,5.9765625,6.203125,0.2265625,5.65625,6.33203125,0.67578125,0.0078125,0.00023537653032690287
0,0,406,5.85546875,6.35546875,0.5,6.14453125,6.2890625,0.14453125,0.0078125,0.00023537653032690287
0,0,409,5.90234375,6.84375,0.94140625,6.515625,6.7890625,0.2734375,0.0078125,0.00023537653032690287
0,0,411,8.0390625,8.609375,0.5703125,8.578125,9.0546875,0.4765625,0.0078125,0.00023537653032690287
0,0,423,5.609375,6.0390625,0.4296875,6.08984375,6.375,0.28515625,0.0078125,0.00023537653032690287
0,0,426,6.25390625,6.359375,0.10546875,6.25390625,6.359375,0.10546875,0.0078125,0.00023537653032690287
0,0,433,5.609375,6.6796875,1.0703125,5.9375,6.2421875,0.3046875,0.0078125,0.00023537653032690287
0,0,437,6.55078125,6.7265625,0.17578125,5.98828125,6.78125,0.79296875,0.0078125,0.00023537653032690287
0,0,438,7.0234375,7.15625,0.1328125,6.69140625,7.171875,0.48046875,0.0078125,0.00023537653032690287
0,0,443,6.83984375,8.6875,1.84765625,6.3203125,8.71875,2.3984375,0.0078125,0.00023537653032690287
0,0,444,6.7578125,6.9296875,0.171875,6.3671875,8.15625,1.7890625,0.0078125,0.00023537653032690287
0,0,449,6.8125,7.4375,0.625,6.23828125,7.51953125,1.28125,0.0078125,0.00023537653032690287
0,0,451,6.3984375,6.75390625,0.35546875,6.0546875,6.75,0.6953125,0.0078125,0.00023537653032690287
0,0,455,6.296875,6.97265625,0.67578125,6.2890625,6.6640625,0.375,0.0078125,0.00023537653032690287
0,3,60,5.67578125,5.8515625,0.17578125,4.9296875,5.67578125,0.74609375,0.0078125,0.00023537653032690287
0,3,61,4.734375,5.09375,0.359375,3.83203125,5.078125,1.24609375,0.0078125,0.00023537653032690287
0,3,69,4.12109375,4.2734375,0.15234375,4.12109375,4.2734375,0.15234375,0.0078125,0.00023537653032690287
0,3,110,4.734375,4.78125,0.046875,4.65625,4.73828125,0.08203125,0.0078125,0.00023537653032690287
0,3,111,4.02734375,4.5625,0.53515625,4.18359375,4.2578125,0.07421875,0.0078125,0.00023537653032690287
0,3,271,5.00390625,5.00390625,0.0,5.0078125,5.0078125,0.0,0.0078125,0.00023537653032690287
0,3,272,3.76171875,3.9765625,0.21484375,3.69921875,3.923828125,0.224609375,0.0078125,0.00023537653032690287
0,3,292,4.828125,4.83984375,0.01171875,4.515625,4.890625,0.375,0.0078125,0.00023537653032690287
0,3,299,4.4609375,4.59375,0.1328125,4.23046875,4.29296875,0.0625,0.0078125,0.00023537653032690287
0,3,305,4.13671875,4.2109375,0.07421875,3.982421875,4.125,0.142578125,0.0078125,0.00023537653032690287
0,3,382,4.3125,5.15625,0.84375,5.15625,5.1640625,0.0078125,0.0078125,0.00023537653032690287
0,3,405,4.5234375,4.78515625,0.26171875,4.5234375,4.59375,0.0703125,0.0078125,0.00023537653032690287
0,5,15,3.53515625,4.078125,0.54296875,2.78125,3.92578125,1.14453125,0.0078125,0.00023537653032690287
0,5,30,3.96484375,4.0625,0.09765625,3.7109375,3.96484375,0.25390625,0.0078125,0.00023537653032690287
0,7,15,7.21875,7.921875,0.703125,8.078125,8.2890625,0.2109375,0.0078125,0.00023537653032690287
0,7,35,5.8359375,6.734375,0.8984375,6.0390625,6.6875,0.6484375,0.0078125,0.00023537653032690287
0,7,53,4.9609375,6.25,1.2890625,6.25,6.296875,0.046875,0.0078125,0.00023537653032690287
0,7,104,7.828125,7.9296875,0.1015625,7.234375,7.859375,0.625,0.0078125,0.00023537653032690287
0,7,105,6.71484375,6.9375,0.22265625,6.71484375,6.9375,0.22265625,0.0078125,0.00023537653032690287
0,7,109,4.84765625,5.97265625,1.125,5.97265625,6.43359375,0.4609375,0.0078125,0.00023537653032690287
0,7,111,7.4140625,8.4375,1.0234375,5.70703125,7.4140625,1.70703125,0.0078125,0.00023537653032690287
0,7,124,6.18359375,7.4609375,1.27734375,6.19921875,7.421875,1.22265625,0.0078125,0.00023537653032690287
0,7,149,6.76171875,7.1015625,0.33984375,6.66015625,6.765625,0.10546875,0.0078125,0.00023537653032690287
0,7,161,6.21875,7.36328125,1.14453125,6.8515625,7.16015625,0.30859375,0.0078125,0.00023537653032690287
0,7,165,6.1796875,6.2578125,0.078125,5.34375,5.93359375,0.58984375,0.0078125,0.00023537653032690287
0,7,180,7.12890625,7.3359375,0.20703125,6.51953125,7.12890625,0.609375,0.0078125,0.00023537653032690287
0,7,217,6.1640625,6.93359375,0.76953125,6.125,6.25,0.125,0.0078125,0.00023537653032690287
0,7,222,6.265625,7.09375,0.828125,7.09375,7.171875,0.078125,0.0078125,0.00023537653032690287
0,7,223,5.78125,7.2109375,1.4296875,6.5859375,7.87890625,1.29296875,0.0078125,0.00023537653032690287
0,7,236,7.3671875,7.390625,0.0234375,5.1875,7.3203125,2.1328125,0.0078125,0.00023537653032690287
0,7,237,7.77734375,8.046875,0.26953125,6.9921875,7.91015625,0.91796875,0.0078125,0.00023537653032690287
0,7,298,6.4453125,6.84375,0.3984375,6.75,7.265625,0.515625,0.0078125,0.00023537653032690287
0,7,326,6.3125,6.33203125,0.01953125,6.3125,6.390625,0.078125,0.0078125,0.00023537653032690287
0,7,329,6.578125,6.5859375,0.0078125,6.578125,6.5859375,0.0078125,0.0078125,0.00023537653032690287
0,7,333,6.01171875,6.375,0.36328125,5.7265625,6.234375,0.5078125,0.0078125,0.00023537653032690287
0,7,412,7.8046875,7.91015625,0.10546875,7.14453125,7.87109375,0.7265625,0.0078125,0.00023537653032690287
0,7,427,6.0078125,6.3203125,0.3125,6.03125,6.9609375,0.9296875,0.0078125,0.00023537653032690287
0,7,487,6.15234375,6.4140625,0.26171875,5.6640625,6.2421875,0.578125,0.0078125,0.00023537653032690287
1,4,360,3.001953125,3.7578125,0.755859375,3.2890625,3.5625,0.2734375,0.0078125,0.00023872962628956884
1,4,365,3.03125,4.12109375,1.08984375,3.58203125,3.66015625,0.078125,0.0078125,0.00023872962628956884
1,4,367,2.640625,4.3828125,1.7421875,3.38671875,4.26953125,0.8828125,0.0078125,0.00023872962628956884
1,4,368,4.546875,4.76953125,0.22265625,4.76953125,4.890625,0.12109375,0.0078125,0.00023872962628956884
1,4,371,5.0859375,5.796875,0.7109375,5.0859375,5.796875,0.7109375,0.0078125,0.00023872962628956884
1,4,408,2.419921875,3.08203125,0.662109375,2.60546875,2.779296875,0.173828125,0.0078125,0.00023872962628956884
1,6,228,6.4140625,7.078125,0.6640625,7.046875,7.10546875,0.05859375,0.0078125,0.00023872962628956884
1,6,256,7.3125,8.296875,0.984375,7.484375,8.296875,0.8125,0.0078125,0.00023872962628956884
1,6,271,7.75,7.7578125,0.0078125,8.03125,8.0625,0.03125,0.0078125,0.00023872962628956884
1,6,301,7.69921875,7.796875,0.09765625,7.1796875,7.69921875,0.51953125,0.0078125,0.00023872962628956884
1,6,302,4.1640625,4.76953125,0.60546875,4.54296875,4.5703125,0.02734375,0.0078125,0.00023872962628956884
1,6,303,5.46875,6.890625,1.421875,6.1640625,6.7578125,0.59375,0.0078125,0.00023872962628956884
1,6,336,8.4140625,8.4375,0.0234375,8.359375,8.4375,0.078125,0.0078125,0.00023872962628956884
1,7,132,6.03125,6.4921875,0.4609375,6.03125,6.6015625,0.5703125,0.0078125,0.00023872962628956884
1,7,343,7.2421875,7.328125,0.0859375,7.23828125,7.71875,0.48046875,0.0078125,0.00023872962628956884
1,7,344,6.1484375,7.25390625,1.10546875,6.296875,6.90625,0.609375,0.0078125,0.00023872962628956884
