phase,layer,request_row,component,pass,equal,max_abs,mean_abs,relative_l2,cosine,max_relative_error,num_equal,num_different,difference_rate,first_difference_index
PREFILL,0,0,HIDDEN_INPUT,True,True,0.0,0.0,0.0,1.0,0.0,,,,
PREFILL,0,0,K_PROJ,False,False,0.00390625,8.36402177810669e-05,0.00021680643840227276,1.0,2.736842155456543,,,,
PREFILL,0,0,K_PRE_ROPE,False,False,0.00390625,8.36402177810669e-05,0.00021680643840227276,1.0,2.736842155456543,,,,
PREFILL,0,0,K_POST_ROPE,False,False,0.0078125,9.326347208116204e-05,0.00023537653032690287,1.0,976562496.0,,,,
PREFILL,0,0,K_PACK_INPUT,False,False,0.0078125,9.326347208116204e-05,0.00023537653032690287,1.0,976562496.0,,,,
PREFILL,0,0,ACTIVE_K_CENTROIDS,False,False,2.92138671875,0.012136882171034813,0.04599209502339363,0.9989423751831055,413.0,,,,
PREFILL,0,0,K_CENTROID_COUNTS,True,True,,,,,,1,0,0.0,
PREFILL,0,0,K_ASSIGNMENT,False,False,,,,,,4033,63,0.015380859375,"[0, 0, 39]"
PREFILL,0,0,K_ADJUSTED,False,False,9.666015625,0.01641857624053955,0.1300661712884903,0.991540253162384,1085937483776.0,,,,
PREFILL,0,0,PACKED_K,False,False,,,,,,25808,6960,0.21240234375,"[0, 0, 0, 1]"
PREFILL,0,0,PACKED_K_SCALE,False,False,0.521484375,0.008572801947593689,0.024499163031578064,0.9997003674507141,0.30636832118034363,,,,
PREFILL,0,0,PACKED_K_ZERO,False,False,1.5595703125,0.01523512601852417,0.03364190831780434,0.999434232711792,0.6146789193153381,,,,
PREFILL,0,1,HIDDEN_INPUT,True,True,0.0,0.0,0.0,1.0,0.0,,,,
PREFILL,0,1,K_PROJ,False,False,0.0078125,7.867353269830346e-05,0.00022133014863356948,0.9999999403953552,2.736842155456543,,,,
PREFILL,0,1,K_PRE_ROPE,False,False,0.0078125,7.867353269830346e-05,0.00022133014863356948,0.9999999403953552,2.736842155456543,,,,
PREFILL,0,1,K_POST_ROPE,False,False,0.0078125,8.736839663470164e-05,0.00023872962628956884,1.0,976562496.0,,,,
PREFILL,0,1,K_PACK_INPUT,False,False,0.0078125,8.736839663470164e-05,0.00023872962628956884,1.0,976562496.0,,,,
PREFILL,0,1,ACTIVE_K_CENTROIDS,False,False,3.056640625,0.00423414446413517,0.03996800631284714,0.9992011189460754,278.874755859375,,,,
PREFILL,0,1,K_CENTROID_COUNTS,True,True,,,,,,1,0,0.0,
PREFILL,0,1,K_ASSIGNMENT,False,False,,,,,,4080,16,0.00390625,"[0, 4, 360]"
PREFILL,0,1,K_ADJUSTED,False,False,4.13671875,0.004461404401808977,0.06780904531478882,0.9977002143859863,51025391616.0,,,,
PREFILL,0,1,PACKED_K,False,False,,,,,,30578,2190,0.06683349609375,"[0, 0, 2, 9]"
PREFILL,0,1,PACKED_K_SCALE,False,False,0.265625,0.0023870766162872314,0.011909883469343185,0.9999293684959412,0.19664758443832397,,,,
PREFILL,0,1,PACKED_K_ZERO,False,False,0.783203125,0.004358634352684021,0.018565556034445763,0.9998276829719543,0.4606598913669586,,,,
