key,value
start_head,"""3d071f93dbc1d9a685f41d74d2f7b25262274953"""
actual_model_loaded,true
algorithm_changed,false
quantization_changed,false
selector_changed,false
k_payload_layout_changed,false
v_page_abi_changed,false
centroid_state_architecture_changed,false
fused_value_arithmetic_changed,false
failure_reproduced,true
prefill_token_pass,true
prefill_state_pass,false
decode1_token_pass,true
decode1_state_pass,false
first_divergence_phase,"""PREFILL"""
first_divergence_layer,0
first_divergence_component,"""K_PROJ"""
k_input_pass,false
k_centroid_bank_pass,false
k_centroid_counts_pass,true
k_assignment_pass,false
packed_k_pass,false
k_assignment_difference_count,79
k_assignment_difference_rate,0.0096435546875
assignment_margin_analysis_completed,true
assignment_disagreements_near_ties,false
cross_assignment_analysis_completed,true
root_cause_class,"""UPSTREAM_K_NUMERICAL_DIVERGENCE"""
classification,"""ACTUAL_MODEL_K_INPUT_DIVERGENCE"""
next_task,"""TRACE_UPSTREAM_ACTUAL_MODEL_K_NUMERICAL_DIVERGENCE"""
