context_tokens,decode_tokens,backend,capacity_growth_events,capacity_growth_copied_bytes,logical_valid_v_bytes,reserved_v_capacity_bytes,unused_v_capacity_bytes,capacity_utilization
4096,128,baseline,0,0,1718144,1718144,0,1.0
4096,128,fixed_capacity,0,0,1718144,32203776,30485632,0.05335225285382683
4096,128,chunked_capacity,0,0,1718144,3903488,2185344,0.44015608604407136
8192,128,baseline,0,0,3491712,3491712,0,1.0
8192,128,fixed_capacity,0,0,3491712,32203776,28712064,0.10842554612229324
8192,128,chunked_capacity,0,0,3491712,5414912,1923200,0.6448326399394856
16384,128,baseline,0,0,7038848,7038848,0,1.0
16384,128,fixed_capacity,0,0,7038848,32203776,25164928,0.21857213265922604
16384,128,chunked_capacity,0,0,7038848,7094272,55424,0.9921875
32768,128,baseline,0,0,14133120,14133120,0,1.0
32768,128,fixed_capacity,0,0,14133120,32203776,18070656,0.4388653057330917
32768,128,chunked_capacity,0,0,14133120,14188544,55424,0.99609375
4096,512,baseline,0,0,1884416,1884416,0,1.0
4096,512,fixed_capacity,0,0,1884416,32203776,30319360,0.05851537409774556
4096,512,chunked_capacity,3,167936,1884416,4071424,2187008,0.46283953722334004
8192,512,baseline,0,0,3657984,3657984,0,1.0
8192,512,fixed_capacity,0,0,3657984,32203776,28545792,0.11358866736621197
8192,512,chunked_capacity,3,335872,3657984,5582848,1924864,0.6552182685253118
16384,512,baseline,0,0,7205120,7205120,0,1.0
16384,512,fixed_capacity,0,0,7205120,32203776,24998656,0.22373525390314478
16384,512,chunked_capacity,13,7094272,7205120,10997760,3792640,0.6551443202979516
32768,512,baseline,0,0,14299392,14299392,0,1.0
32768,512,fixed_capacity,0,0,14299392,32203776,17904384,0.4440284269770104
32768,512,chunked_capacity,13,14188544,14299392,18092032,3792640,0.7903695947475662
