backend,context_tokens,decode_tokens,k_old_bytes_copied,v_old_bytes_copied,other_old_bytes_copied,total_old_bytes_copied,k_old_bytes_copied_per_token,v_old_bytes_copied_per_token,total_old_bytes_copied_per_token
baseline,4096,128,1351680,1662720,100401152,103415552,10560.0,12990.0,807934.0
fixed_capacity,4096,128,1351680,0,100401152,101752832,10560.0,0.0,794944.0
chunked_capacity,4096,128,1351680,0,100401152,101752832,10560.0,0.0,794944.0
baseline,8192,128,2793472,3436288,100401152,106630912,21824.0,26846.0,833054.0
fixed_capacity,8192,128,2793472,0,100401152,103194624,21824.0,0.0,806208.0
chunked_capacity,8192,128,2793472,0,100401152,103194624,21824.0,0.0,806208.0
baseline,16384,128,5677056,6983424,100401152,113061632,44352.0,54558.0,883294.0
fixed_capacity,16384,128,5677056,0,100401152,106078208,44352.0,0.0,828736.0
chunked_capacity,16384,128,5677056,0,100401152,106078208,44352.0,0.0,828736.0
baseline,32768,128,11444224,14077696,100401152,125923072,89408.0,109982.0,983774.0
fixed_capacity,32768,128,11444224,0,100401152,111845376,89408.0,0.0,873792.0
chunked_capacity,32768,128,11444224,0,100401152,111845376,89408.0,0.0,873792.0
baseline,4096,512,5677056,6983424,401604608,414265088,11088.0,13639.5,809111.5
fixed_capacity,4096,512,5677056,0,401604608,407281664,11088.0,0.0,795472.0
chunked_capacity,4096,512,5677056,167936,401604608,407449600,11088.0,328.0,795800.0
baseline,8192,512,11444224,14077696,401604608,427126528,22352.0,27495.5,834231.5
fixed_capacity,8192,512,11444224,0,401604608,413048832,22352.0,0.0,806736.0
chunked_capacity,8192,512,11444224,335872,401604608,413384704,22352.0,656.0,807392.0
baseline,16384,512,22978560,28266240,401604608,452849408,44880.0,55207.5,884471.5
fixed_capacity,16384,512,22978560,0,401604608,424583168,44880.0,0.0,829264.0
chunked_capacity,16384,512,22978560,7094272,401604608,431677440,44880.0,13856.0,843120.0
baseline,32768,512,46047232,56643328,401604608,504295168,89936.0,110631.5,984951.5
fixed_capacity,32768,512,46047232,0,401604608,447651840,89936.0,0.0,874320.0
chunked_capacity,32768,512,46047232,14188544,401604608,461840384,89936.0,27712.0,902032.0
