context_tokens,decode_tokens,backend,peak_allocated_bytes,peak_reserved_bytes,logical_valid_v_bytes,reserved_v_capacity_bytes,unused_v_capacity_bytes,capacity_utilization,capacity_streams,capacity_growth_events,capacity_growth_copied_bytes
4096,128,baseline,59472896,96468992,1718144,1718144,0,1.0,0,0,0
4096,128,fixed_capacity,96290816,121634816,1718144,32203776,30485632,0.05335225285382683,13,0,0
4096,128,chunked_capacity,98475520,121634816,1718144,3903488,2185344,0.44015608604407136,13,0,0
8192,128,baseline,126544896,142606336,3491712,3491712,0,1.0,0,0,0
8192,128,fixed_capacity,159635456,174063616,3491712,32203776,28712064,0.10842554612229324,13,0,0
8192,128,chunked_capacity,160562688,174063616,3491712,5414912,1923200,0.6448326399394856,13,0,0
16384,128,baseline,247487488,285212672,7038848,7038848,0,1.0,0,0,0
16384,128,fixed_capacity,285497344,310378496,7038848,32203776,25164928,0.21857213265922604,13,0,0
16384,128,chunked_capacity,282361344,310378496,7038848,7094272,55424,0.9921875,13,0,0
32768,128,baseline,486677504,541065216,14133120,14133120,0,1.0,0,0,0
32768,128,fixed_capacity,531822592,562036736,14133120,32203776,18070656,0.4388653057330917,13,0,0
32768,128,chunked_capacity,521526784,545259520,14133120,14188544,55424,0.99609375,13,0,0
4096,512,baseline,87950848,109051904,1884416,1884416,0,1.0,0,0,0
4096,512,fixed_capacity,99094528,121634816,1884416,32203776,30319360,0.05851537409774556,13,0,0
4096,512,chunked_capacity,100818432,121634816,1884416,4071424,2187008,0.46283953722334004,13,3,167936
8192,512,baseline,128728064,155189248,3657984,3657984,0,1.0,0,0,0
8192,512,fixed_capacity,162455552,180355072,3657984,32203776,28545792,0.11358866736621197,13,0,0
8192,512,chunked_capacity,162643456,180355072,3657984,5582848,1924864,0.6552182685253118,13,3,335872
16384,512,baseline,249818112,274726912,7205120,7205120,0,1.0,0,0,0
16384,512,fixed_capacity,287121408,314572800,7205120,32203776,24998656,0.22373525390314478,13,0,0
16384,512,chunked_capacity,283819520,316669952,7205120,10997760,3792640,0.6551443202979516,13,13,7094272
32768,512,baseline,493005824,511705088,14299392,14299392,0,1.0,0,0,0
32768,512,fixed_capacity,535453696,578813952,14299392,32203776,17904384,0.4440284269770104,13,0,0
32768,512,chunked_capacity,524107264,578813952,14299392,18092032,3792640,0.7903695947475662,13,13,14188544
