context_tokens,decode_tokens,backend,mixed_v_us_per_token,mixed_v_median_us,mixed_v_cv,mixed_v_calls,mixed_v_reference_calls,v2_reader_calls,v4_reader_calls,strided_v2_calls,strided_v4_calls,full_fp16_historical_v_reconstruction,historical_materialized_bytes
4096,128,baseline,1049.9072074890137,1034.7520112991333,0.03397699314516964,25,0,25,25,0,0,False,0
4096,128,fixed_capacity,707.6351970434189,704.5120000839233,0.030820595237101265,25,0,25,25,25,25,False,0
4096,128,chunked_capacity,733.4912031888962,734.2079877853394,0.029552906250356278,25,0,25,25,25,25,False,0
8192,128,baseline,1067.7247822284698,1061.3759756088257,0.019541267851848617,25,0,25,25,0,0,False,0
8192,128,fixed_capacity,733.7983995676041,728.5760045051575,0.03435080612242095,25,0,25,25,25,25,False,0
8192,128,chunked_capacity,734.8736017942429,731.1359941959381,0.02611689023017963,25,0,25,25,25,25,False,0
16384,128,baseline,1202.176010608673,1201.151967048645,0.02713931062021026,25,0,25,25,0,0,False,0
16384,128,fixed_capacity,844.4416016340256,833.5359990596771,0.028133134682786692,25,0,25,25,25,25,False,0
16384,128,chunked_capacity,849.7151970863342,836.0959887504578,0.03779189118810267,25,0,25,25,25,25,False,0
32768,128,baseline,1621.3504016399384,1316.3520097732544,0.41301906619999845,25,0,25,25,0,0,False,0
32768,128,fixed_capacity,1017.6511883735657,1013.2479667663574,0.01912995303210147,25,0,25,25,25,25,False,0
32768,128,chunked_capacity,1026.8159985542297,1016.8319940567017,0.026073396227380287,25,0,25,25,25,25,False,0
4096,512,baseline,1062.14399933815,1049.6000051498413,0.031498695685581814,25,0,25,25,0,0,False,0
4096,512,fixed_capacity,707.2768002748489,700.4160284996033,0.038060048727784214,25,0,25,25,25,25,False,0
4096,512,chunked_capacity,714.0352040529251,705.5360078811646,0.03947000680264116,25,0,25,25,25,25,False,0
8192,512,baseline,1052.518391609192,1050.6240129470825,0.015165350573805685,25,0,25,25,0,0,False,0
8192,512,fixed_capacity,741.5296047925949,734.71999168396,0.038827331061749897,25,0,25,25,25,25,False,0
8192,512,chunked_capacity,736.7168039083481,728.5760045051575,0.03336939979778997,25,0,25,25,25,25,False,0
16384,512,baseline,1151.3856053352356,1141.759991645813,0.021922787035945707,25,0,25,25,0,0,False,0
16384,512,fixed_capacity,841.3696020841599,836.6079926490784,0.02040083575092747,25,0,25,25,25,25,False,0
16384,512,chunked_capacity,859.0335935354233,838.1440043449402,0.0871015127239496,25,0,25,25,25,25,False,0
32768,512,baseline,1317.32479929924,1311.743974685669,0.017866161426137072,25,0,25,25,0,0,False,0
32768,512,fixed_capacity,1062.041598558426,1056.768000125885,0.01832417835379928,25,0,25,25,25,25,False,0
32768,512,chunked_capacity,1027.8912127017975,1024.0000486373901,0.014908571773750264,25,0,25,25,25,25,False,0
