context_tokens,decode_tokens,backend,mutation_us_per_token,historical_torch_cat_calls_per_token,historical_old_bytes_copied_per_token,capacity_growth_events_per_token,capacity_growth_copied_bytes_per_token,historical_materialize_calls,historical_materialized_bytes
4096,128,baseline,664.0805549977813,4.1171875,807934.0,0.0,0.0,0,0
4096,128,fixed_capacity,655.0927100761328,4.015625,794944.0,0.0,0.0,0,0
4096,128,chunked_capacity,650.473548375885,4.015625,794944.0,0.0,0.0,0,0
8192,128,baseline,670.1444453938166,4.1171875,833054.0,0.0,0.0,0,0
8192,128,fixed_capacity,665.586929244455,4.015625,806208.0,0.0,0.0,0,0
8192,128,chunked_capacity,663.3060384046985,4.015625,806208.0,0.0,0.0,0,0
16384,128,baseline,669.8454526485875,4.1171875,883294.0,0.0,0.0,0,0
16384,128,fixed_capacity,672.7564068569336,4.015625,828736.0,0.0,0.0,0,0
16384,128,chunked_capacity,670.641342367162,4.015625,828736.0,0.0,0.0,0,0
32768,128,baseline,646.6885934059974,4.1171875,983774.0,0.0,0.0,0,0
32768,128,fixed_capacity,649.5887100754771,4.015625,873792.0,0.0,0.0,0,0
32768,128,chunked_capacity,695.8465091884136,4.015625,873792.0,0.0,0.0,0,0
4096,512,baseline,651.3988068945764,4.1171875,809111.5,0.0,0.0,0,0
4096,512,fixed_capacity,650.1098964690755,4.015625,795472.0,0.0,0.0,0,0
4096,512,chunked_capacity,648.0376268882537,4.015625,795800.0,0.005859375,328.0,0,0
8192,512,baseline,642.1044395210629,4.1171875,834231.5,0.0,0.0,0,0
8192,512,fixed_capacity,661.5437227992516,4.015625,806736.0,0.0,0.0,0,0
8192,512,chunked_capacity,654.0564081660705,4.015625,807392.0,0.005859375,656.0,0,0
16384,512,baseline,641.3337951016729,4.1171875,884471.5,0.0,0.0,0,0
16384,512,fixed_capacity,824.2165313276928,4.015625,829264.0,0.0,0.0,0,0
16384,512,chunked_capacity,663.6437169618148,4.015625,843120.0,0.025390625,13856.0,0,0
32768,512,baseline,640.9479196918255,4.1171875,984951.5,0.0,0.0,0,0
32768,512,fixed_capacity,652.0619804177841,4.015625,874320.0,0.0,0.0,0,0
32768,512,chunked_capacity,663.4839392063441,4.015625,902032.0,0.025390625,27712.0,0,0
