config,tokens,hidden,out,b1_b2_exact,b1_b4_exact,request_reorder_exact,batch_composition_exact,v2_vs_fp32_relative_l2
A,1,4096,1024,True,True,True,True,9.759594831848517e-05
A,17,4096,1024,True,True,True,True,6.677753844996914e-05
A,129,4096,1024,True,True,True,True,6.558257155120373e-05
A,513,4096,1024,True,True,True,True,6.500699237221852e-05
A,65,73,257,True,True,True,True,8.80300831340719e-06
A,257,511,128,True,True,True,True,3.0768551368964836e-05
B,1,4096,1024,True,True,True,True,9.759594831848517e-05
B,17,4096,1024,True,True,True,True,6.677753844996914e-05
B,129,4096,1024,True,True,True,True,6.558257155120373e-05
B,513,4096,1024,True,True,True,True,6.500699237221852e-05
B,65,73,257,True,True,True,True,8.80300831340719e-06
B,257,511,128,True,True,True,True,3.0768551368964836e-05
C,1,4096,1024,True,True,True,True,9.759594831848517e-05
C,17,4096,1024,True,True,True,True,6.677753844996914e-05
C,129,4096,1024,True,True,True,True,6.558257155120373e-05
C,513,4096,1024,True,True,True,True,6.500699237221852e-05
C,65,73,257,True,True,True,True,8.80300831340719e-06
C,257,511,128,True,True,True,True,3.0768551368964836e-05
D,1,4096,1024,True,True,True,True,9.759594831848517e-05
D,17,4096,1024,True,True,True,True,6.677753844996914e-05
D,129,4096,1024,True,True,True,True,6.558257155120373e-05
D,513,4096,1024,True,True,True,True,6.500699237221852e-05
D,65,73,257,True,True,True,True,8.80300831340719e-06
D,257,511,128,True,True,True,True,3.0768551368964836e-05
E,1,4096,1024,True,True,True,True,9.759594831848517e-05
E,17,4096,1024,True,True,True,True,6.677753844996914e-05
E,129,4096,1024,True,True,True,True,6.558257155120373e-05
E,513,4096,1024,True,True,True,True,6.500699237221852e-05
E,65,73,257,True,True,True,True,8.80300831340719e-06
E,257,511,128,True,True,True,True,3.0768551368964836e-05
