label,context_tokens,bit,mode,assignment,density,round,tokens,median_us,mean_us,p90_us,round_cv,stability
candidate_a,8192,2,WARP_AGG_FULL,mixed25_normal,normal,0,5952,398.3359932899475,399.57503631711006,399.3600010871887,,
candidate_a,8192,2,WARP_AGG_FULL,mixed25_normal,normal,1,5952,398.3359932899475,392.32511669397354,399.3600010871887,,
candidate_a,8192,2,WARP_AGG_FULL,mixed25_normal,normal,2,5952,347.135990858078,349.3273577094078,347.135990858078,,
candidate_a,8192,2,WARP_AGG_FULL,mixed25_normal,normal,3,5952,347.135990858078,346.8799965083599,347.135990858078,,
candidate_a,8192,2,WARP_AGG_FULL,mixed25_normal,normal,4,5952,344.06399726867676,344.84223887324333,345.08800506591797,,
candidate_a,8192,4,WARP_AGG_FULL,mixed25_normal,normal,0,1984,125.95200538635254,126.5254433453083,125.95200538635254,,
candidate_a,8192,4,WARP_AGG_FULL,mixed25_normal,normal,1,1984,125.95200538635254,126.25408329069614,125.95200538635254,,
candidate_a,8192,4,WARP_AGG_FULL,mixed25_normal,normal,2,1984,125.95200538635254,126.44352354109287,125.95200538635254,,
candidate_a,8192,4,WARP_AGG_FULL,mixed25_normal,normal,3,1984,125.95200538635254,126.35136276483536,126.97599828243256,,
candidate_a,8192,4,WARP_AGG_FULL,mixed25_normal,normal,4,1984,125.95200538635254,126.37184299528599,125.95200538635254,,
candidate_a,16384,2,WARP_AGG_FULL,mixed25_normal,normal,0,12096,726.0159850120544,726.5689444541931,727.0399928092957,,
candidate_a,16384,2,WARP_AGG_FULL,mixed25_normal,normal,1,12096,726.0159850120544,726.7481452226639,727.0399928092957,,
candidate_a,16384,2,WARP_AGG_FULL,mixed25_normal,normal,2,12096,726.0159850120544,727.1884661912918,727.0399928092957,,
candidate_a,16384,2,WARP_AGG_FULL,mixed25_normal,normal,3,12096,726.0159850120544,726.9068649411201,727.0399928092957,,
candidate_a,16384,2,WARP_AGG_FULL,mixed25_normal,normal,4,12096,726.0159850120544,726.3385435938835,727.0399928092957,,
candidate_a,16384,4,WARP_AGG_FULL,mixed25_normal,normal,0,4032,239.6160066127777,240.83456344902515,240.63999950885773,,
candidate_a,16384,4,WARP_AGG_FULL,mixed25_normal,normal,1,4032,239.6160066127777,240.66560365259647,240.63999950885773,,
candidate_a,16384,4,WARP_AGG_FULL,mixed25_normal,normal,2,4032,239.6160066127777,241.7254439741373,240.63999950885773,,
candidate_a,16384,4,WARP_AGG_FULL,mixed25_normal,normal,3,4032,239.6160066127777,240.4044844955206,240.63999950885773,,
candidate_a,16384,4,WARP_AGG_FULL,mixed25_normal,normal,4,4032,239.6160066127777,240.50176441669464,240.63999950885773,,
candidate_a,16384,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,0,16128,1336.3200426101685,1337.226284146309,1337.3440504074097,,
candidate_a,16384,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,1,16128,1337.3440504074097,1338.7930077314377,1338.3680582046509,,
candidate_a,16384,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,2,16128,1336.3200426101685,1341.7728352546692,1357.8239679336548,,
candidate_a,16384,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,3,16128,1337.3440504074097,1337.825327515602,1338.3680582046509,,
candidate_a,16384,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,4,16128,1336.3200426101685,1339.617322087288,1338.3680582046509,,
candidate_a,16384,2,WARP_AGG_FULL,SKEWED,1.0,0,16128,1348.6080169677734,1359.656975865364,1379.3280124664307,,
candidate_a,16384,2,WARP_AGG_FULL,SKEWED,1.0,1,16128,1341.439962387085,1354.624016880989,1376.255989074707,,
candidate_a,16384,2,WARP_AGG_FULL,SKEWED,1.0,2,16128,1348.0960130691528,1358.9504075050354,1379.3280124664307,,
candidate_a,16384,2,WARP_AGG_FULL,SKEWED,1.0,3,16128,1337.3440504074097,1342.7405071258545,1350.6560325622559,,
candidate_a,16384,2,WARP_AGG_FULL,SKEWED,1.0,4,16128,1336.3200426101685,1340.2009952068329,1340.4159545898438,,
candidate_a,16384,2,WARP_AGG_FULL,ALL_SAME,1.0,0,16128,1154.047966003418,1163.136003613472,1172.4799871444702,,
candidate_a,16384,2,WARP_AGG_FULL,ALL_SAME,1.0,1,16128,1151.487946510315,1161.0675251483917,1171.455979347229,,
candidate_a,16384,2,WARP_AGG_FULL,ALL_SAME,1.0,2,16128,1150.9759426116943,1158.625287413597,1169.4079637527466,,
candidate_a,16384,2,WARP_AGG_FULL,ALL_SAME,1.0,3,16128,1146.880030632019,1152.701454758644,1158.1439971923828,,
candidate_a,16384,2,WARP_AGG_FULL,ALL_SAME,1.0,4,16128,1145.8560228347778,1147.2691404819489,1148.9280462265015,,
candidate_a,32768,2,WARP_AGG_FULL,mixed25_normal,normal,0,24384,1581.055998802185,1551.7696070671082,1587.2000455856323,,
candidate_a,32768,2,WARP_AGG_FULL,mixed25_normal,normal,1,24384,1442.8160190582275,1443.9270621538162,1444.86403465271,,
candidate_a,32768,2,WARP_AGG_FULL,mixed25_normal,normal,2,24384,1442.8160190582275,1443.8809823989868,1443.8400268554688,,
candidate_a,32768,2,WARP_AGG_FULL,mixed25_normal,normal,3,24384,1442.8160190582275,1444.0038627386093,1444.86403465271,,
candidate_a,32768,2,WARP_AGG_FULL,mixed25_normal,normal,4,24384,1443.8400268554688,1444.0653032064438,1443.8400268554688,,
candidate_a,32768,4,WARP_AGG_FULL,mixed25_normal,normal,0,8128,563.1999969482422,563.7734359502792,564.2240047454834,,
candidate_a,32768,4,WARP_AGG_FULL,mixed25_normal,normal,1,8128,489.47200179100037,489.99424010515213,490.4960095882416,,
candidate_a,32768,4,WARP_AGG_FULL,mixed25_normal,normal,2,8128,489.47200179100037,489.95328038930893,490.4960095882416,,
candidate_a,32768,4,WARP_AGG_FULL,mixed25_normal,normal,3,8128,489.47200179100037,490.2092818915844,490.4960095882416,,
candidate_a,32768,4,WARP_AGG_FULL,mixed25_normal,normal,4,8128,489.47200179100037,490.1836806535721,490.4960095882416,,
candidate_a,32768,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,0,32512,2682.87992477417,2683.7605679035187,2683.903932571411,,
candidate_a,32768,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,1,32512,2682.87992477417,2683.571126461029,2683.903932571411,,
candidate_a,32768,2,WARP_AGG_FULL,RANDOM_UNIFORM,1.0,2,32512,2682.87992477417,2691.640257835388,2690.0479793548584,,
