label,context_tokens,bit,mode,assignment,density,round,tokens,median_us,mean_us,p90_us,round_cv,stability
candidate_b,8192,2,PER_WARP_HIST_FULL,mixed25_normal,normal,0,5952,66.56000018119812,135.8848014101386,66.56000018119812,,
candidate_b,8192,2,PER_WARP_HIST_FULL,mixed25_normal,normal,1,5952,66.56000018119812,137.23647940903902,66.56000018119812,,
candidate_b,8192,2,PER_WARP_HIST_FULL,mixed25_normal,normal,2,5952,66.56000018119812,120.67327987402678,66.56000018119812,,
candidate_b,8192,2,PER_WARP_HIST_FULL,mixed25_normal,normal,3,5952,66.56000018119812,118.37440021336079,66.56000018119812,,
candidate_b,8192,2,PER_WARP_HIST_FULL,mixed25_normal,normal,4,5952,66.56000018119812,116.7462408542633,66.56000018119812,,
candidate_b,8192,4,PER_WARP_HIST_FULL,mixed25_normal,normal,0,1984,31.74399957060814,89.13919892162085,32.76799991726875,,
candidate_b,8192,4,PER_WARP_HIST_FULL,mixed25_normal,normal,1,1984,31.74399957060814,89.38495934009552,32.76799991726875,,
candidate_b,8192,4,PER_WARP_HIST_FULL,mixed25_normal,normal,2,1984,31.74399957060814,89.34399835765362,32.76799991726875,,
candidate_b,8192,4,PER_WARP_HIST_FULL,mixed25_normal,normal,3,1984,31.74399957060814,90.38335893303156,32.76799991726875,,
candidate_b,8192,4,PER_WARP_HIST_FULL,mixed25_normal,normal,4,1984,31.74399957060814,89.28767906501889,32.76799991726875,,
candidate_b,16384,2,PER_WARP_HIST_FULL,mixed25_normal,normal,0,12096,161.79199516773224,335.9129600971937,162.81600296497345,,
candidate_b,16384,2,PER_WARP_HIST_FULL,mixed25_normal,normal,1,12096,161.79199516773224,337.75616101920605,162.81600296497345,,
candidate_b,16384,2,PER_WARP_HIST_FULL,mixed25_normal,normal,2,12096,161.79199516773224,322.55487866699696,162.81600296497345,,
candidate_b,16384,2,PER_WARP_HIST_FULL,mixed25_normal,normal,3,12096,161.79199516773224,284.0422386676073,162.81600296497345,,
candidate_b,16384,2,PER_WARP_HIST_FULL,mixed25_normal,normal,4,12096,161.79199516773224,337.9968009889126,162.81600296497345,,
candidate_b,16384,4,PER_WARP_HIST_FULL,mixed25_normal,normal,0,4032,50.175998359918594,108.59520114958286,50.175998359918594,,
candidate_b,16384,4,PER_WARP_HIST_FULL,mixed25_normal,normal,1,4032,50.175998359918594,108.93823897466063,50.175998359918594,,
candidate_b,16384,4,PER_WARP_HIST_FULL,mixed25_normal,normal,2,4032,50.175998359918594,95.72863951325417,51.19999870657921,,
candidate_b,16384,4,PER_WARP_HIST_FULL,mixed25_normal,normal,3,4032,50.175998359918594,95.8924800902605,51.19999870657921,,
candidate_b,16384,4,PER_WARP_HIST_FULL,mixed25_normal,normal,4,4032,50.175998359918594,103.74143864959478,52.22399905323982,,
candidate_b,16384,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,0,16128,220.15999257564545,468.19327875971794,2491.391897201538,,
candidate_b,16384,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,1,16128,220.15999257564545,441.0623972862959,1675.2640008926392,,
candidate_b,16384,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,2,16128,220.15999257564545,436.5311997383833,422.91200160980225,,
candidate_b,16384,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,3,16128,220.15999257564545,449.1468781977892,769.0240144729614,,
candidate_b,16384,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,4,16128,220.15999257564545,426.1529576778412,1656.831979751587,,
candidate_b,16384,2,PER_WARP_HIST_FULL,SKEWED,1.0,0,16128,282.6240062713623,586.6547282040119,2598.912000656128,,
candidate_b,16384,2,PER_WARP_HIST_FULL,SKEWED,1.0,1,16128,283.6480140686035,531.4969661831856,1865.7280206680298,,
candidate_b,16384,2,PER_WARP_HIST_FULL,SKEWED,1.0,2,16128,283.1360101699829,602.5574494898319,2600.9600162506104,,
candidate_b,16384,2,PER_WARP_HIST_FULL,SKEWED,1.0,3,16128,283.6480140686035,554.5267269015312,1876.9919872283936,,
candidate_b,16384,2,PER_WARP_HIST_FULL,SKEWED,1.0,4,16128,282.6240062713623,600.980488806963,2599.936008453369,,
candidate_b,16384,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,0,16128,385.0240111351013,768.1228911876678,2700.2880573272705,,
candidate_b,16384,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,1,16128,385.0240111351013,800.2406494319439,2704.3840885162354,,
candidate_b,16384,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,2,16128,385.0240111351013,740.4800067842007,2014.2080783843994,,
candidate_b,16384,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,3,16128,385.0240111351013,757.6832076907158,2698.240041732788,,
candidate_b,16384,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,4,16128,385.0240111351013,787.0361721515656,2701.3120651245117,,
candidate_b,32768,2,PER_WARP_HIST_FULL,mixed25_normal,normal,0,24384,309.2480003833771,602.1017594635487,1909.7599983215332,,
candidate_b,32768,2,PER_WARP_HIST_FULL,mixed25_normal,normal,1,24384,309.2480003833771,649.0316806733608,2625.5359649658203,,
candidate_b,32768,2,PER_WARP_HIST_FULL,mixed25_normal,normal,2,24384,309.2480003833771,603.2537579536438,1921.023964881897,,
candidate_b,32768,2,PER_WARP_HIST_FULL,mixed25_normal,normal,3,24384,309.2480003833771,654.9196800589561,2628.607988357544,,
candidate_b,32768,2,PER_WARP_HIST_FULL,mixed25_normal,normal,4,24384,309.2480003833771,605.44000223279,1929.2160272598267,,
candidate_b,32768,4,PER_WARP_HIST_FULL,mixed25_normal,normal,0,8128,112.64000087976456,243.4611241519451,113.66400122642517,,
candidate_b,32768,4,PER_WARP_HIST_FULL,mixed25_normal,normal,1,8128,112.64000087976456,212.49024093151093,113.66400122642517,,
candidate_b,32768,4,PER_WARP_HIST_FULL,mixed25_normal,normal,2,8128,112.64000087976456,218.72128255665302,113.66400122642517,,
candidate_b,32768,4,PER_WARP_HIST_FULL,mixed25_normal,normal,3,8128,112.64000087976456,242.76480093598366,113.66400122642517,,
candidate_b,32768,4,PER_WARP_HIST_FULL,mixed25_normal,normal,4,8128,112.64000087976456,243.4048031643033,113.66400122642517,,
candidate_b,32768,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,0,32512,423.93600940704346,856.4531193673611,2739.2001152038574,,
candidate_b,32768,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,1,32512,423.93600940704346,836.37760668993,2734.0800762176514,,
candidate_b,32768,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,2,32512,423.93600940704346,892.9382430016994,2741.2478923797607,,
candidate_b,32768,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,3,32512,423.93600940704346,848.5683207213879,2739.2001152038574,,
candidate_b,32768,2,PER_WARP_HIST_FULL,RANDOM_UNIFORM,1.0,4,32512,423.93600940704346,816.302076280117,2686.9759559631348,,
candidate_b,32768,2,PER_WARP_HIST_FULL,SKEWED,1.0,0,32512,551.9359707832336,1148.482540845871,2872.3199367523193,,
candidate_b,32768,2,PER_WARP_HIST_FULL,SKEWED,1.0,1,32512,551.9359707832336,1142.0415875315666,2870.271921157837,,
candidate_b,32768,2,PER_WARP_HIST_FULL,SKEWED,1.0,2,32512,551.9359707832336,1117.6447904109955,2873.3439445495605,,
candidate_b,32768,2,PER_WARP_HIST_FULL,SKEWED,1.0,3,32512,551.9359707832336,1081.369594335556,2877.4399757385254,,
candidate_b,32768,2,PER_WARP_HIST_FULL,SKEWED,1.0,4,32512,551.9359707832336,1170.7187131047249,2878.4639835357666,,
candidate_b,32768,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,0,32512,759.8080039024353,1543.9104080200195,3081.2160968780518,,
candidate_b,32768,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,1,32512,759.8080039024353,1541.1302572488785,3080.1920890808105,,
candidate_b,32768,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,2,32512,759.8080039024353,1546.536967754364,3080.1920890808105,,
candidate_b,32768,2,PER_WARP_HIST_FULL,ALL_SAME,1.0,3,32512,759.8080039024353,1500.994566977024,3081.2160968780518,,
