label,context_tokens,bit,mode,assignment,density,round,tokens,median_us,mean_us,p90_us,round_cv,stability
baseline,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,0,16128,342.0160114765167,342.3027254641056,343.03998947143555,,
baseline,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,1,16128,342.0160114765167,342.41536527872086,343.03998947143555,,
baseline,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,2,16128,342.0160114765167,342.35904559493065,343.03998947143555,,
baseline,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,3,16128,342.0160114765167,343.0502447485924,343.03998947143555,,
baseline,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,4,16128,342.0160114765167,342.318085283041,343.03998947143555,,
baseline,16384,2,PRODUCTION,SKEWED,1.0,0,16128,612.3520135879517,612.526091337204,613.3760213851929,,
baseline,16384,2,PRODUCTION,SKEWED,1.0,1,16128,612.3520135879517,613.8726511597633,612.3520135879517,,
baseline,16384,2,PRODUCTION,SKEWED,1.0,2,16128,612.3520135879517,612.4339309334755,612.3520135879517,,
baseline,16384,2,PRODUCTION,SKEWED,1.0,3,16128,612.3520135879517,612.4134513735771,613.3760213851929,,
baseline,16384,2,PRODUCTION,SKEWED,1.0,4,16128,612.3520135879517,612.3622509837151,613.3760213851929,,
baseline,32768,2,PRODUCTION,RANDOM_UNIFORM,1.0,0,32512,670.7199811935425,671.1347022652626,671.7439889907837,,
baseline,32768,2,PRODUCTION,RANDOM_UNIFORM,1.0,1,32512,670.7199811935425,671.1091017723083,671.7439889907837,,
baseline,32768,2,PRODUCTION,RANDOM_UNIFORM,1.0,2,32512,670.7199811935425,671.1091017723083,671.7439889907837,,
baseline,32768,2,PRODUCTION,RANDOM_UNIFORM,1.0,3,32512,670.7199811935425,671.1603027582169,671.7439889907837,,
baseline,32768,2,PRODUCTION,RANDOM_UNIFORM,1.0,4,32512,670.7199811935425,671.0323017835617,671.7439889907837,,
baseline,32768,2,PRODUCTION,SKEWED,1.0,0,32512,1212.4160528182983,1212.871698141098,1213.43994140625,,
baseline,32768,2,PRODUCTION,SKEWED,1.0,1,32512,1212.4160528182983,1212.8102600574493,1213.43994140625,,
baseline,32768,2,PRODUCTION,SKEWED,1.0,2,32512,1212.4160528182983,1212.866582274437,1213.43994140625,,
baseline,32768,2,PRODUCTION,SKEWED,1.0,3,32512,1212.4160528182983,1212.712985277176,1213.43994140625,,
baseline,32768,2,PRODUCTION,SKEWED,1.0,4,32512,1212.4160528182983,1213.8598614931107,1213.43994140625,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.0,0,16128,161.79199516773224,162.08895854651928,162.81600296497345,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.0,1,16128,161.79199516773224,162.08383806049824,162.81600296497345,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.0,2,16128,161.79199516773224,161.9558383524418,162.81600296497345,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.0,3,16128,161.79199516773224,162.02239856123924,162.81600296497345,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.0,4,16128,161.79199516773224,162.22719848155975,162.81600296497345,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.25,0,16128,286.72000765800476,287.1040016412735,286.72000765800476,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.25,1,16128,286.20800375938416,286.6227212548256,287.7439856529236,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.25,2,16128,285.69599986076355,286.5868818759918,286.72000765800476,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.25,3,16128,286.72000765800476,286.7660818994045,287.7439856529236,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.25,4,16128,286.72000765800476,286.68928146362305,287.7439856529236,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.5,0,16128,304.1279911994934,304.31232064962387,305.1519989967346,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.5,1,16128,304.1279911994934,304.2048005759716,305.1519989967346,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.5,2,16128,304.1279911994934,304.24063980579376,305.1519989967346,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.5,3,16128,304.1279911994934,304.31744039058685,305.1519989967346,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.5,4,16128,304.1279911994934,304.2816010117531,305.1519989967346,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.75,0,16128,327.67999172210693,328.7193576991558,328.70399951934814,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.75,1,16128,327.67999172210693,328.19199830293655,328.70399951934814,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.75,2,16128,327.67999172210693,327.9820787906647,328.70399951934814,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.75,3,16128,327.67999172210693,327.9052786529064,328.70399951934814,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.75,4,16128,327.67999172210693,328.07935789227486,328.70399951934814,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,0,16128,339.9679958820343,339.89119336009026,339.9679958820343,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,1,16128,339.9679958820343,339.9423938989639,340.9920036792755,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,2,16128,339.9679958820343,340.0345541536808,340.9920036792755,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,3,16128,339.9679958820343,339.91679325699806,340.9920036792755,,
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,4,16128,339.9679958820343,339.99871358275414,340.9920036792755,,
baseline,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,summary,16128,342.0160114765167,342.0160114765167,342.0160114765167,0.0,STABLE
baseline,16384,2,PRODUCTION,SKEWED,1.0,summary,16128,612.3520135879517,612.3520135879517,612.3520135879517,0.0,STABLE
baseline,32768,2,PRODUCTION,RANDOM_UNIFORM,1.0,summary,32512,670.7199811935425,670.7199811935425,670.7199811935425,0.0,STABLE
baseline,32768,2,PRODUCTION,SKEWED,1.0,summary,32512,1212.4160528182983,1212.4160528182983,1212.4160528182983,0.0,STABLE
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.0,summary,16128,161.79199516773224,161.79199516773224,161.79199516773224,0.0,STABLE
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.25,summary,16128,286.72000765800476,286.4128053188324,286.72000765800476,0.0015989166696455748,STABLE
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.5,summary,16128,304.1279911994934,304.1279911994934,304.1279911994934,0.0,STABLE
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,0.75,summary,16128,327.67999172210693,327.67999172210693,327.67999172210693,0.0,STABLE
baseline_mask_density,16384,2,PRODUCTION,RANDOM_UNIFORM,1.0,summary,16128,339.9679958820343,339.9679958820343,339.9679958820343,0.0,STABLE
