label,context_tokens,bit,mode,assignment,density,round,tokens,median_us,mean_us,p90_us,round_cv,stability
candidate_b_production,16384,mixed,PRODUCTION,mixed25_normal,normal,0,16128,909.3120098114014,910.8940801024437,920.5759763717651,,
candidate_b_production,16384,mixed,PRODUCTION,mixed25_normal,normal,1,16128,903.1680226325989,904.6835169196129,913.4079813957214,,
candidate_b_production,16384,mixed,PRODUCTION,mixed25_normal,normal,2,16128,893.9520120620728,894.510081410408,901.1200070381165,,
candidate_b_production,16384,mixed,PRODUCTION,mixed25_normal,normal,3,16128,896.0000276565552,908.9843210577965,905.2159786224365,,
candidate_b_production,16384,mixed,PRODUCTION,mixed25_normal,normal,4,16128,888.8319730758667,890.3270390629768,897.0239758491516,,
candidate_b_production,32768,mixed,PRODUCTION,mixed25_normal,normal,0,32512,1034.2400074005127,1036.3852787017822,1050.6240129470825,,
candidate_b_production,32768,mixed,PRODUCTION,mixed25_normal,normal,1,32512,1027.0719528198242,1027.7478367090225,1036.2880229949951,,
candidate_b_production,32768,mixed,PRODUCTION,mixed25_normal,normal,2,32512,1028.0959606170654,1031.208958029747,1038.3360385894775,,
candidate_b_production,32768,mixed,PRODUCTION,mixed25_normal,normal,3,32512,1028.0959606170654,1029.2070358991623,1037.3120307922363,,
candidate_b_production,32768,mixed,PRODUCTION,mixed25_normal,normal,4,32512,1027.5839567184448,1028.3161616325378,1035.264015197754,,
candidate_b_production,16384,mixed,PRODUCTION,mixed25_normal,normal,summary,16128,896.0000276565552,898.252809047699,909.3120098114014,0.0089545663232237,STABLE
candidate_b_production,32768,mixed,PRODUCTION,mixed25_normal,normal,summary,32512,1028.0959606170654,1029.0175676345825,1034.2400074005127,0.0028669460502889496,STABLE
