label,context_tokens,bit,mode,round,median_us,mean_us,p90_us,round_cv,stability
baseline_per_warp,16384,mixed,PER_WARP_HIST_FULL,0,1180.6720495224,1200.6656008958817,1201.151967048645,,
baseline_per_warp,16384,mixed,PER_WARP_HIST_FULL,1,1179.6480417251587,1187.9680016636848,1328.1279802322388,,
baseline_per_warp,16384,mixed,PER_WARP_HIST_FULL,2,947.7120041847229,981.4476814866066,1096.7040061950684,,
baseline_per_warp,16384,mixed,PER_WARP_HIST_FULL,3,924.67200756073,965.1558408141136,994.3040013313293,,
baseline_per_warp,16384,mixed,PER_WARP_HIST_FULL,4,925.6960153579712,955.1052775979042,1033.2159996032715,,
baseline_per_warp,32768,mixed,PER_WARP_HIST_FULL,0,1072.1280574798584,1078.1798422336578,1104.8959493637085,,
baseline_per_warp,32768,mixed,PER_WARP_HIST_FULL,1,1086.4640474319458,1134.9350434541702,1246.2079524993896,,
baseline_per_warp,32768,mixed,PER_WARP_HIST_FULL,2,1083.3920240402222,1120.4659166932106,1238.0160093307495,,
baseline_per_warp,32768,mixed,PER_WARP_HIST_FULL,3,1057.7919483184814,1081.3337579369545,1169.4079637527466,,
baseline_per_warp,32768,mixed,PER_WARP_HIST_FULL,4,1059.8399639129639,1084.4979113340378,1158.1439971923828,,
baseline_per_warp,16384,mixed,PER_WARP_HIST_FULL,summary,947.7120041847229,1031.6800236701965,1180.6720495224,0.13168397350973574,UNSTABLE
baseline_per_warp,32768,mixed,PER_WARP_HIST_FULL,summary,1072.1280574798584,1071.9232082366943,1086.4640474319458,0.012241206121746685,STABLE
