label,context_tokens,bit,mode,round,median_us,mean_us,p90_us,round_cv,stability
candidate_lane0_production,16384,mixed,PRODUCTION,0,880.6399703025818,888.3353561162949,930.8159947395325,,
candidate_lane0_production,16384,mixed,PRODUCTION,1,889.8559808731079,904.7091180086136,954.367995262146,,
candidate_lane0_production,16384,mixed,PRODUCTION,2,869.376003742218,869.4272005558014,881.663978099823,,
candidate_lane0_production,16384,mixed,PRODUCTION,3,871.4240193367004,883.0361595749855,920.5759763717651,,
candidate_lane0_production,16384,mixed,PRODUCTION,4,862.2080087661743,883.2409596443176,908.2880020141602,,
candidate_lane0_production,32768,mixed,PRODUCTION,0,1017.8560018539429,1023.5289576649666,1048.5759973526,,
candidate_lane0_production,32768,mixed,PRODUCTION,1,1008.6400508880615,1009.2288044095039,1019.9040174484253,,
candidate_lane0_production,32768,mixed,PRODUCTION,2,1016.8319940567017,1045.9289652109146,1071.1040496826172,,
candidate_lane0_production,32768,mixed,PRODUCTION,3,1050.112009048462,1056.0921639204025,1095.6799983978271,,
candidate_lane0_production,32768,mixed,PRODUCTION,4,1096.1920022964478,1096.2790429592133,1158.1439971923828,,
candidate_lane0_production,16384,mixed,PRODUCTION,summary,871.4240193367004,874.7007966041565,889.8559808731079,0.012261486556538937,STABLE
candidate_lane0_production,32768,mixed,PRODUCTION,summary,1017.8560018539429,1037.9264116287231,1096.1920022964478,0.03490082642151084,STABLE
