assignment,context_tokens,bit,round,tokens,median_us,mean_us,p90_us
RANDOM_UNIFORM,16384,2,0,16128,335.87199449539185,336.2150339782238,336.89600229263306
RANDOM_UNIFORM,16384,2,1,16128,335.87199449539185,336.5478354692459,337.92001008987427
RANDOM_UNIFORM,16384,2,2,16128,335.87199449539185,335.9999930858612,336.89600229263306
RANDOM_UNIFORM,16384,2,3,16128,334.84798669815063,335.62623143196106,335.87199449539185
RANDOM_UNIFORM,16384,2,4,16128,334.84798669815063,335.6671915948391,335.87199449539185
SKEWED,16384,2,0,16128,598.0160236358643,599.0502426028252,599.0399718284607
SKEWED,16384,2,1,16128,598.0160236358643,598.9580833911896,599.0399718284607
SKEWED,16384,2,2,16128,598.0160236358643,599.0144056081772,599.0399718284607
SKEWED,16384,2,3,16128,598.0160236358643,598.963203728199,599.0399718284607
SKEWED,16384,2,4,16128,598.0160236358643,598.8812839984894,599.0399718284607
