density,context_tokens,bit,round,full_median_us,residual_only_median_us,estimated_centroid_us,estimated_centroid_fraction
0.0,16384,2,0,160.76800227165222,132.09599256515503,28.672009706497192,0.17834400690038835
0.0,16384,2,1,160.76800227165222,132.09599256515503,28.672009706497192,0.17834400690038835
0.0,16384,2,2,160.76800227165222,132.09599256515503,28.672009706497192,0.17834400690038835
0.0,16384,2,3,160.76800227165222,132.09599256515503,28.672009706497192,0.17834400690038835
0.0,16384,2,4,160.76800227165222,132.09599256515503,28.672009706497192,0.17834400690038835
0.0,16384,2,summary,160.76800227165222,132.09599256515503,28.672009706497192,0.17834400690038835
0.25,16384,2,0,282.6240062713623,132.09599256515503,150.52801370620728,0.5326087323299683
0.25,16384,2,1,282.6240062713623,132.09599256515503,150.52801370620728,0.5326087323299683
0.25,16384,2,2,282.6240062713623,132.09599256515503,150.52801370620728,0.5326087323299683
0.25,16384,2,3,282.6240062713623,132.09599256515503,150.52801370620728,0.5326087323299683
0.25,16384,2,4,282.6240062713623,132.09599256515503,150.52801370620728,0.5326087323299683
0.25,16384,2,summary,282.6240062713623,132.09599256515503,150.52801370620728,0.5326087323299683
0.5,16384,2,0,301.05599761009216,132.09599256515503,168.96000504493713,0.5612245110086229
0.5,16384,2,1,301.05599761009216,132.09599256515503,168.96000504493713,0.5612245110086229
0.5,16384,2,2,301.05599761009216,132.09599256515503,168.96000504493713,0.5612245110086229
0.5,16384,2,3,301.05599761009216,132.09599256515503,168.96000504493713,0.5612245110086229
0.5,16384,2,4,301.05599761009216,132.09599256515503,168.96000504493713,0.5612245110086229
0.5,16384,2,summary,301.05599761009216,132.09599256515503,168.96000504493713,0.5612245110086229
0.75,16384,2,0,325.6320059299469,132.09599256515503,193.53601336479187,0.5943396528608653
0.75,16384,2,1,323.5839903354645,131.071999669075,192.51199066638947,0.594936697785355
0.75,16384,2,2,323.5839903354645,131.071999669075,192.51199066638947,0.594936697785355
0.75,16384,2,3,323.5839903354645,131.071999669075,192.51199066638947,0.594936697785355
0.75,16384,2,4,323.5839903354645,131.071999669075,192.51199066638947,0.594936697785355
0.75,16384,2,summary,323.5839903354645,131.071999669075,192.51199066638947,0.594936697785355
1.0,16384,2,0,336.89600229263306,131.071999669075,205.82400262355804,0.6109422528700004
1.0,16384,2,1,336.89600229263306,131.071999669075,205.82400262355804,0.6109422528700004
1.0,16384,2,2,336.89600229263306,131.071999669075,205.82400262355804,0.6109422528700004
1.0,16384,2,3,336.89600229263306,131.071999669075,205.82400262355804,0.6109422528700004
1.0,16384,2,4,336.89600229263306,131.071999669075,205.82400262355804,0.6109422528700004
1.0,16384,2,summary,336.89600229263306,131.071999669075,205.82400262355804,0.6109422528700004
