context_tokens,backend,unused_capacity_bytes,capacity_utilization,peak_allocated_bytes,peak_reserved_bytes
2048,baseline,0,1.0,17730048,25165824
2048,fixed_capacity,158153856,0.05307579826368452,167623168,176160768
2048,chunked_capacity,12012672,0.42460638610947615,24117248,41943040
4096,baseline,0,1.0,38214144,39845888
4096,fixed_capacity,148698240,0.10968998307828134,167639552,171966464
4096,chunked_capacity,2557056,0.8775198646262508,33554432,37748736
8192,baseline,0,1.0,76036608,94371840
8192,fixed_capacity,129787008,0.22291835270747498,167846400,174063616
8192,chunked_capacity,2294912,0.9419397668393782,67108864,71303168
16384,baseline,0,1.0,151681536,163577856
16384,fixed_capacity,91964544,0.4493750919658623,201326592,207618048
16384,chunked_capacity,590976,0.9921875,134217728,140509184
32768,baseline,0,1.0,303110656,316669952
32768,fixed_capacity,16319616,0.9022885704826369,268435456,274726912
32768,chunked_capacity,590976,0.99609375,268435456,272629760
