stream,shape,token_dim,is_contiguous,storage_offset,stride,implicit_materialization_required_for_current_cuda_wrapper
packed_k,"(1, 8, 128, 8192)",3,False,0,"(33554432, 4194304, 32768, 1)",True
packed_k_scale,"(1, 8, 128, 64)",3,False,0,"(262144, 32768, 256, 1)",True
packed_k_zero,"(1, 8, 128, 64)",3,False,0,"(262144, 32768, 256, 1)",True
packed_v,"(1, 8, 8192, 8)",2,False,0,"(2097152, 262144, 8, 1)",True
packed_v_scale,"(1, 8, 8192, 1)",2,False,0,"(262144, 32768, 1, 1)",True
packed_v_zero,"(1, 8, 8192, 1)",2,False,0,"(262144, 32768, 1, 1)",True
packed_v4,"(1, 8, 8192, 16)",2,False,0,"(4194304, 524288, 16, 1)",True
packed_v4_scale,"(1, 8, 8192, 1)",2,False,0,"(262144, 32768, 1, 1)",True
packed_v4_zero,"(1, 8, 8192, 1)",2,False,0,"(262144, 32768, 1, 1)",True
v_precision_mask,"(1, 8192)",1,True,0,"(32768, 1)",False
k_assignments,"(1, 8, 8192)",2,False,0,"(262144, 32768, 1)",True
v_assignment_idx,"(1, 8, 8192)",2,False,0,"(262144, 32768, 1)",True
v_pattern_mask,"(1, 8, 8192)",2,False,0,"(262144, 32768, 1)",True
