context_tokens,backend,capacity_growth_events,peak_allocated_bytes,peak_reserved_bytes,unused_capacity_bytes,mutation_us_per_token,mutation_us_per_token_cv,historical_old_bytes_copied_per_token,historical_old_bytes_copied_per_token_cv,new_bytes_written_per_token,new_bytes_written_per_token_cv,torch_cat_events_per_token,torch_cat_events_per_token_cv,realloc_events_per_token,realloc_events_per_token_cv,capacity_utilization,capacity_utilization_cv
2048,baseline,13,17730048,25165824,0,5.7503893913235515,1.2977006756912017,64638.0,0.0,4617.0,0.0,0.1015625,0.0,0.1015625,0.0,1.0,0.0
2048,fixed_capacity,0,167623168,176160768,158153856,5.271320333122276,0.4787088643620396,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.05307579826368452,0.0
2048,chunked_capacity,0,24117248,41943040,12012672,6.878774001961574,0.5801785512485561,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.42460638610947615,0.0
4096,baseline,13,38214144,39845888,0,19.338453057571314,0.05390544047536444,138510.0,0.0,4617.0,0.0,0.1015625,0.0,0.1015625,0.0,1.0,0.0
4096,fixed_capacity,0,167639552,171966464,148698240,10.599915185594,0.4173997921458372,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.10968998307828134,0.0
4096,chunked_capacity,0,33554432,37748736,2557056,4.205265213386156,0.8082436330515634,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.8775198646262508,0.0
8192,baseline,13,76036608,94371840,0,5.339710696716793,0.6137250024950143,286254.0,0.0,4617.0,0.0,0.1015625,0.0,0.1015625,0.0,1.0,0.0
8192,fixed_capacity,0,167846400,174063616,129787008,6.036438207956962,0.7276194414626507,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.22291835270747498,0.0
8192,chunked_capacity,0,67108864,71303168,2294912,8.38193045638036,0.20382976690098947,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.9419397668393782,0.0
16384,baseline,13,151681536,163577856,0,7.488171831937507,0.35325033425535735,581742.0,0.0,4617.0,0.0,0.1015625,0.0,0.1015625,0.0,1.0,0.0
16384,fixed_capacity,0,201326592,207618048,91964544,9.100289389607497,0.6657084490478404,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.4493750919658623,0.0
16384,chunked_capacity,0,134217728,140509184,590976,14.865046978229657,0.1884587011550896,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.9921875,0.0
32768,baseline,13,303110656,316669952,0,15.7228914758889,0.8613467508891436,1172718.0,0.0,4617.0,0.0,0.1015625,0.0,0.1015625,0.0,1.0,0.0
32768,fixed_capacity,0,268435456,274726912,16319616,4.238172550685704,0.6359833418271752,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.9022885704826369,0.0
32768,chunked_capacity,0,268435456,272629760,590976,4.012086719740182,0.26929453059395514,0.0,0.0,4617.0,0.0,0.0,0.0,0.0,0.0,0.99609375,0.0
