batch_mode,request,step,layer,k_assignment_diff,v_assignment_diff,v_pattern_mask_diff,v_precision_mask_diff
B2,A,0,0,0.0,0.0,0.0,0.0
B2,A,0,1,0.0,0.0,0.0,0.0
B2,A,0,2,0.0068359375,0.02978515625,0.0,0.0078125
B2,A,0,3,0.0166015625,0.03271484375,0.0,0.0234375
B2,A,0,4,0.00048828125,0.01513671875,0.0,0.0078125
B2,A,0,5,0.00048828125,0.0048828125,0.0,0.0
B2,A,0,6,0.0048828125,0.015625,0.0,0.0
B2,A,0,7,0.00927734375,0.00244140625,0.0,0.0
B2,A,0,8,0.017578125,0.01904296875,0.00048828125,0.0078125
B2,A,0,9,0.03271484375,0.029296875,0.001953125,0.0234375
B2,A,0,10,0.0302734375,0.033203125,0.00244140625,0.0078125
B2,A,0,11,0.033203125,0.0400390625,0.0009765625,0.0078125
B2,A,0,12,0.03173828125,0.037109375,0.00244140625,0.015625
B2,A,0,13,0.06201171875,0.05126953125,0.0078125,0.0234375
B2,A,0,14,0.03759765625,0.0458984375,0.00537109375,0.0078125
B2,A,0,15,0.04638671875,0.02880859375,0.00341796875,0.0078125
B2,A,0,16,0.03955078125,0.025390625,0.0009765625,0.0
B2,A,0,17,0.03466796875,0.0380859375,0.0029296875,0.015625
B2,A,0,18,0.03076171875,0.072265625,0.0029296875,0.03125
B2,A,0,19,0.046875,0.0361328125,0.0029296875,0.0078125
B2,A,0,20,0.03515625,0.06982421875,0.005859375,0.0
B2,A,0,21,0.05419921875,0.03515625,0.0029296875,0.0234375
B2,A,0,22,0.01220703125,0.052734375,0.00439453125,0.0390625
B2,A,0,23,0.0283203125,0.041015625,0.00634765625,0.015625
B2,A,0,24,0.03515625,0.04443359375,0.00146484375,0.0
B2,A,0,25,0.0263671875,0.072265625,0.005859375,0.0078125
B2,A,0,26,0.03125,0.0546875,0.0068359375,0.03125
B2,A,0,27,0.0205078125,0.0380859375,0.00390625,0.0078125
B2,A,0,28,0.0400390625,0.0546875,0.0029296875,0.0078125
B2,A,0,29,0.0361328125,0.02197265625,0.0009765625,0.0078125
B2,A,0,30,0.037109375,0.0341796875,0.0009765625,0.03125
B2,A,0,31,0.03662109375,0.033203125,0.00244140625,0.0078125
B2,A,1,0,0.0,0.0,0.0,0.0
B2,A,1,1,0.0,0.0,0.0,0.0
B2,A,1,2,0.0068359375,0.02978515625,0.0,0.0078125
B2,A,1,3,0.0166015625,0.03271484375,0.0,0.0234375
B2,A,1,4,0.00048828125,0.01513671875,0.0,0.0078125
B2,A,1,5,0.00048828125,0.0048828125,0.0,0.0
B2,A,1,6,0.0048828125,0.015625,0.0,0.0
B2,A,1,7,0.00927734375,0.00244140625,0.0,0.0
B2,A,1,8,0.017578125,0.01904296875,0.00048828125,0.0078125
B2,A,1,9,0.03271484375,0.029296875,0.001953125,0.0234375
B2,A,1,10,0.0302734375,0.033203125,0.00244140625,0.0078125
B2,A,1,11,0.033203125,0.0400390625,0.0009765625,0.0078125
B2,A,1,12,0.03173828125,0.037109375,0.00244140625,0.015625
