batch_mode,request,step,layer,k_recon_rel_l2,k_recon_max_abs,k_recon_mean_abs,k_recon_cosine,v_recon_rel_l2,v_recon_max_abs,v_recon_mean_abs,v_recon_cosine,k_nan,k_inf,v_nan,v_inf
B2,A,0,0,0.0,0.0,0.0,0.9999915957450867,,,,,False,False,False,False
B2,A,0,1,0.012421040795743465,5.94140625,0.0007052562432363629,0.9999136328697205,,,,,False,False,False,False
B2,A,0,2,0.050760261714458466,4.40234375,0.011692123487591743,0.9987077713012695,,,,,False,False,False,False
B2,A,0,3,0.06792335957288742,4.2265625,0.02400664985179901,0.9976910948753357,,,,,False,False,False,False
B2,A,0,4,0.0202670656144619,3.443359375,0.0028422647155821323,0.9997919201850891,,,,,False,False,False,False
B2,A,0,5,0.021499549970030785,3.17578125,0.0031221499666571617,0.9997639060020447,,,,,False,False,False,False
B2,A,0,6,0.03783922642469406,3.83984375,0.009403182193636894,0.9992782473564148,,,,,False,False,False,False
B2,A,0,7,0.06294304132461548,3.41796875,0.021557258442044258,0.9980171918869019,,,,,False,False,False,False
B2,A,0,8,0.08331234008073807,3.375,0.03904835879802704,0.9965219497680664,,,,,False,False,False,False
B2,A,0,9,0.1058272197842598,4.93359375,0.054617345333099365,0.9943947792053223,,,,,False,False,False,False
B2,A,0,10,0.10403837263584137,2.8291015625,0.057565487921237946,0.9945835471153259,,,,,False,False,False,False
B2,A,0,11,0.10723697394132614,3.853515625,0.06097312271595001,0.9942407608032227,,,,,False,False,False,False
B2,A,0,12,0.10496551543474197,3.6171875,0.06040739268064499,0.9944918155670166,,,,,False,False,False,False
B2,A,0,13,0.12265824526548386,3.330078125,0.08658749610185623,0.9924776554107666,,,,,False,False,False,False
B2,A,0,14,0.11278676241636276,5.162109375,0.07472243160009384,0.9936404824256897,,,,,False,False,False,False
B2,A,0,15,0.11699432134628296,3.779296875,0.07735057920217514,0.9931531548500061,,,,,False,False,False,False
B2,A,0,16,0.11182481795549393,3.392578125,0.07215654850006104,0.9937466979026794,,,,,False,False,False,False
B2,A,0,17,0.10885351151227951,3.16015625,0.06397824734449387,0.9940733313560486,,,,,False,False,False,False
B2,A,0,18,0.1089160144329071,3.1328125,0.06559056043624878,0.9940656423568726,,,,,False,False,False,False
B2,A,0,19,0.119146928191185,3.1513671875,0.07642563432455063,0.9929003119468689,,,,,False,False,False,False
B2,A,0,20,0.10086178034543991,3.33251953125,0.05942714586853981,0.9949105978012085,,,,,False,False,False,False
B2,A,0,21,0.12615150213241577,4.2646484375,0.0856752023100853,0.9920388460159302,,,,,False,False,False,False
B2,A,0,22,0.08311820030212402,3.994140625,0.04037395119667053,0.9965465068817139,,,,,False,False,False,False
B2,A,0,23,0.10651490092277527,3.921875,0.06026560813188553,0.9943264126777649,,,,,False,False,False,False
B2,A,0,24,0.1121293157339096,3.798828125,0.06779605150222778,0.9937148094177246,,,,,False,False,False,False
B2,A,0,25,0.10795166343450546,4.716796875,0.05915675684809685,0.9941723942756653,,,,,False,False,False,False
B2,A,0,26,0.10010141134262085,3.77734375,0.0661681666970253,0.9949895739555359,,,,,False,False,False,False
B2,A,0,27,0.09847111999988556,3.4306640625,0.054144058376550674,0.995148777961731,,,,,False,False,False,False
B2,A,0,28,0.11606023460626602,5.078125,0.07646047323942184,0.9932641983032227,,,,,False,False,False,False
B2,A,0,29,0.11366184800863266,5.421875,0.07614483684301376,0.9935398101806641,,,,,False,False,False,False
B2,A,0,30,0.10299969464540482,4.052734375,0.06495483964681625,0.9946905374526978,,,,,False,False,False,False
B2,A,0,31,0.11925105005502701,4.50537109375,0.07311070710420609,0.9928862452507019,,,,,False,False,False,False
B2,A,1,0,1.1223328328924254e-05,0.00390625,2.7217132014811796e-07,0.9999917149543762,,,,,False,False,False,False
B2,A,1,1,0.012408535927534103,5.94140625,0.000704502104781568,0.9999140501022339,,,,,False,False,False,False
B2,A,1,2,0.05070304498076439,4.40234375,0.011670797131955624,0.9987107515335083,,,,,False,False,False,False
B2,A,1,3,0.06784959882497787,4.2265625,0.023967429995536804,0.9976959824562073,,,,,False,False,False,False
B2,A,1,4,0.020245952531695366,3.443359375,0.0028449196834117174,0.9997918009757996,,,,,False,False,False,False
B2,A,1,5,0.02147757261991501,3.17578125,0.0031247520819306374,0.9997643828392029,,,,,False,False,False,False
B2,A,1,6,0.03779980167746544,3.83984375,0.00939584244042635,0.9992797374725342,,,,,False,False,False,False
B2,A,1,7,0.0628824532032013,3.41796875,0.021527057513594627,0.998021125793457,,,,,False,False,False,False
B2,A,1,8,0.08323217928409576,3.375,0.03898809850215912,0.9965285658836365,,,,,False,False,False,False
B2,A,1,9,0.10572612285614014,4.93359375,0.05453796684741974,0.9944055676460266,,,,,False,False,False,False
B2,A,1,10,0.10392792522907257,2.8291015625,0.057489365339279175,0.9945951104164124,,,,,False,False,False,False
B2,A,1,11,0.10711120814085007,3.853515625,0.06089567393064499,0.9942542314529419,,,,,False,False,False,False
B2,A,1,12,0.1048424169421196,3.6171875,0.06032247096300125,0.9945048093795776,,,,,False,False,False,False
B2,A,1,13,0.12251488119363785,3.330078125,0.08645430207252502,0.9924951195716858,,,,,False,False,False,False
B2,A,1,14,0.11265929043292999,5.162109375,0.07461052387952805,0.9936546087265015,,,,,False,False,False,False
B2,A,1,15,0.11685162037611008,3.779296875,0.07724180817604065,0.9931696653366089,,,,,False,False,False,False
B2,A,1,16,0.11169204115867615,3.392578125,0.07205725461244583,0.9937616586685181,,,,,False,False,False,False
B2,A,1,17,0.10873096436262131,3.16015625,0.06389635056257248,0.9940866827964783,,,,,False,False,False,False
B2,A,1,18,0.10879173129796982,3.1328125,0.06550238281488419,0.9940791130065918,,,,,False,False,False,False
B2,A,1,19,0.11900126934051514,3.1513671875,0.07630779594182968,0.9929172396659851,,,,,False,False,False,False
B2,A,1,20,0.10074229538440704,3.33251953125,0.059346918016672134,0.994922399520874,,,,,False,False,False,False
B2,A,1,21,0.12599875032901764,4.2646484375,0.08555096387863159,0.9920580387115479,,,,,False,False,False,False
B2,A,1,22,0.08302100747823715,3.994140625,0.04033441096544266,0.9965544939041138,,,,,False,False,False,False
B2,A,1,23,0.10638522356748581,3.921875,0.060189105570316315,0.9943400025367737,,,,,False,False,False,False
B2,A,1,24,0.11199641227722168,3.798828125,0.06770196557044983,0.993729829788208,,,,,False,False,False,False
B2,A,1,25,0.10782474279403687,4.716796875,0.0590791329741478,0.9941862225532532,,,,,False,False,False,False
B2,A,1,26,0.09999341517686844,3.77734375,0.0660848394036293,0.9950008988380432,,,,,False,False,False,False
B2,A,1,27,0.09836569428443909,3.4306640625,0.0540839284658432,0.9951592683792114,,,,,False,False,False,False
B2,A,1,28,0.11594714224338531,5.078125,0.07634995132684708,0.9932770133018494,,,,,False,False,False,False
B2,A,1,29,0.11354763805866241,5.421875,0.07603798061609268,0.9935527443885803,,,,,False,False,False,False
B2,A,1,30,0.1028875932097435,4.052734375,0.06486515700817108,0.9947023391723633,,,,,False,False,False,False
B2,A,1,31,0.1191214770078659,4.50537109375,0.07300040870904922,0.992901623249054,,,,,False,False,False,False
B2,A,2,0,1.8498238205211237e-05,0.00390625,5.779201046607341e-07,0.9999919533729553,,,,,False,False,False,False
B2,A,2,1,0.01239618007093668,5.94140625,0.0007038924377411604,0.9999142289161682,,,,,False,False,False,False
B2,A,2,2,0.050654858350753784,4.40234375,0.011649713851511478,0.9987133145332336,,,,,False,False,False,False
B2,A,2,3,0.06778436154127121,4.2265625,0.0239412784576416,0.9977003335952759,,,,,False,False,False,False
B2,A,2,4,0.020226694643497467,3.443359375,0.0028568520210683346,0.9997923374176025,,,,,False,False,False,False
B2,A,2,5,0.021456927061080933,3.17578125,0.003136371960863471,0.9997649788856506,,,,,False,False,False,False
B2,A,2,6,0.03776244819164276,3.83984375,0.009397117421030998,0.9992811679840088,,,,,False,False,False,False
B2,A,2,7,0.06281428039073944,3.41796875,0.021534066647291183,0.9980253577232361,,,,,False,False,False,False
B2,A,2,8,0.08315848559141159,3.375,0.039019521325826645,0.9965345859527588,,,,,False,False,False,False
B2,A,2,9,0.10564154386520386,4.93359375,0.05460944026708603,0.9944143295288086,,,,,False,False,False,False
B2,A,2,10,0.10384467989206314,2.8291015625,0.05757017806172371,0.9946036338806152,,,,,False,False,False,False
B2,A,2,11,0.10704392194747925,3.853515625,0.06102129817008972,0.9942610859870911,,,,,False,False,False,False
B2,A,2,12,0.10476226359605789,3.6171875,0.06043388694524765,0.9945130348205566,,,,,False,False,False,False
B2,A,2,13,0.1223883256316185,3.330078125,0.08651399612426758,0.9925102591514587,,,,,False,False,False,False
B2,A,2,14,0.11255770176649094,5.162109375,0.0746808648109436,0.9936659932136536,,,,,False,False,False,False
B2,A,2,15,0.11672549694776535,3.779296875,0.07724716514348984,0.9931842684745789,,,,,False,False,False,False
