batch_mode,request,step,ref_top1,got_top1,top1_equal,top5_overlap,reference_top1_margin
B2,A,0,374,374,True,5,10.875
B2,A,1,70003,70003,True,5,11.1171875
B2,A,2,304,304,True,4,10.6484375
B2,A,16,304,304,True,5,10.5703125
B2,A,127,70003,70003,True,5,11.671875
B2,A,128,304,304,True,5,10.7890625
B2,A,129,1403,1403,True,4,11.203125
B2,A,255,1403,1403,True,5,9.15625
B2,A,256,64694,64694,True,5,9.484375
B2,A,257,7504,7504,True,5,11.453125
B2,B,0,426,426,True,5,11.0234375
B2,B,1,25,25,True,5,9.7734375
B2,B,2,43530,43530,True,5,9.046875
B2,B,16,25,25,True,5,9.78125
B2,B,127,30472,30472,True,5,5.296875
B2,B,128,13,13,True,5,3.453125
B2,B,129,358,358,True,5,1.578125
B2,B,255,1405,1405,True,5,5.8125
B2,B,256,436,436,True,5,7.390625
B2,B,257,374,374,True,5,17.578125
B4,A,0,374,374,True,5,10.875
B4,A,1,70003,70003,True,5,11.1171875
B4,A,2,304,304,True,5,10.6484375
B4,A,16,304,304,True,5,10.5703125
B4,A,127,70003,70003,True,5,11.671875
B4,A,128,304,304,True,5,10.7890625
B4,A,129,1403,1403,True,4,11.203125
B4,A,255,1403,1403,True,5,9.15625
B4,A,256,64694,64694,True,5,9.484375
B4,A,257,7504,7504,True,5,11.453125
B4,B,0,426,426,True,5,11.0234375
B4,B,1,25,25,True,5,9.7734375
B4,B,2,43530,43530,True,5,9.046875
B4,B,16,25,25,True,5,9.78125
B4,B,127,30472,30472,True,5,5.296875
B4,B,128,13,13,True,5,3.453125
B4,B,129,358,358,True,5,1.578125
B4,B,255,1405,1405,True,5,5.8125
B4,B,256,436,436,True,5,7.390625
B4,B,257,374,374,True,5,17.578125
B4,C,0,13,13,True,5,0.453125
B4,C,1,1939,1939,True,5,3.96875
B4,C,2,356,356,True,5,10.9453125
B4,C,16,13,13,True,5,0.453125
B4,C,127,3116,3116,True,5,7.484375
B4,C,128,13,13,True,5,0.296875
B4,C,129,1939,1939,True,5,5.3125
B4,C,255,3116,3116,True,5,7.34375
B4,C,256,13,13,True,5,0.3046875
B4,C,257,1939,1939,True,5,5.21875
B4,D,0,423,423,True,5,10.3359375
B4,D,1,25,25,True,4,9.0
B4,D,2,9616,9616,True,5,6.7734375
B4,D,16,25,25,True,5,8.7109375
B4,D,127,8149,8149,True,5,10.703125
B4,D,128,1176,1176,True,5,9.2421875
B4,D,129,2778,2778,True,5,9.390625
B4,D,255,423,423,True,4,10.5078125
B4,D,256,25,25,True,5,8.1640625
B4,D,257,9616,9616,True,5,6.5
