context_tokens,decode_tokens,backend,mutation_us_per_token,torch_cat_events_per_token,old_bytes_copied_per_token,new_bytes_written_per_token,recent_roll_copy_bytes_per_token,historical_append_copy_bytes_per_token,metadata_copy_bytes_per_token,page_allocations,page_crossings,peak_allocated_bytes,peak_reserved_bytes,fragmentation_bytes,round,mutation_us_mean,mutation_us_p90,round_cv,stability
2048,128,contiguous,90.71037493413314,2.046875,528943.875,4409.0,524288.0,4284.0,371.875,0,0,1686016,2097152,0,0,,,,
2048,128,contiguous,90.52435234480072,2.046875,528943.875,4409.0,524288.0,4284.0,371.875,0,0,1686016,2097152,0,1,,,,
2048,128,contiguous,90.53356370714027,2.046875,528943.875,4409.0,524288.0,4284.0,371.875,0,0,1686016,2097152,0,2,,,,
2048,128,contiguous,91.04648415814154,2.046875,528943.875,4409.0,524288.0,4284.0,371.875,0,0,1686016,2097152,0,3,,,,
2048,128,contiguous,90.49983600561973,2.046875,528943.875,4409.0,524288.0,4284.0,371.875,0,0,1686016,2097152,0,4,,,,
2048,128,contiguous,90.53356370714027,2.046875,528943.875,4409.0,524288.0,4284.0,371.875,0,0,1686016,2097152,0,summary,90.66292222996708,91.04648415814154,0.0025386903627352183,STABLE
4096,128,contiguous,91.69679651677143,2.046875,533951.875,4409.0,524288.0,8892.0,771.875,0,0,2851328,4194304,0,0,,,,
4096,128,contiguous,92.82258542953059,2.046875,533951.875,4409.0,524288.0,8892.0,771.875,0,0,2851328,4194304,0,1,,,,
4096,128,contiguous,92.00132080877665,2.046875,533951.875,4409.0,524288.0,8892.0,771.875,0,0,2851328,4194304,0,2,,,,
4096,128,contiguous,101.3583896565251,2.046875,533951.875,4409.0,524288.0,8892.0,771.875,0,0,2851328,4194304,0,3,,,,
4096,128,contiguous,94.87425631959923,2.046875,533951.875,4409.0,524288.0,8892.0,771.875,0,0,2851328,4194304,0,4,,,,
4096,128,contiguous,92.82258542953059,2.046875,533951.875,4409.0,524288.0,8892.0,771.875,0,0,2851328,4194304,0,summary,94.5506697462406,101.3583896565251,0.04233172737825654,STABLE
8192,128,contiguous,90.50625703821424,2.046875,543967.875,4409.0,524288.0,18108.0,1571.875,0,0,5181952,23068672,0,0,,,,
8192,128,contiguous,90.41761040862184,2.046875,543967.875,4409.0,524288.0,18108.0,1571.875,0,0,5181952,23068672,0,1,,,,
8192,128,contiguous,90.217423348804,2.046875,543967.875,4409.0,524288.0,18108.0,1571.875,0,0,5181952,23068672,0,2,,,,
8192,128,contiguous,91.00811075768434,2.046875,543967.875,4409.0,524288.0,18108.0,1571.875,0,0,5181952,23068672,0,3,,,,
8192,128,contiguous,90.91238280234393,2.046875,543967.875,4409.0,524288.0,18108.0,1571.875,0,0,5181952,23068672,0,4,,,,
8192,128,contiguous,90.50625703821424,2.046875,543967.875,4409.0,524288.0,18108.0,1571.875,0,0,5181952,23068672,0,summary,90.61235687113367,91.00811075768434,0.003708959640011636,STABLE
16384,128,contiguous,90.31499939737841,2.046875,563999.875,4409.0,524288.0,36540.0,3171.875,0,0,9843200,23068672,0,0,,,,
16384,128,contiguous,90.27399210026488,2.046875,563999.875,4409.0,524288.0,36540.0,3171.875,0,0,9843200,23068672,0,1,,,,
16384,128,contiguous,90.48935135069769,2.046875,563999.875,4409.0,524288.0,36540.0,3171.875,0,0,9843200,23068672,0,2,,,,
16384,128,contiguous,92.21519576385617,2.046875,563999.875,4409.0,524288.0,36540.0,3171.875,0,0,9843200,23068672,0,3,,,,
16384,128,contiguous,90.4652497411007,2.046875,563999.875,4409.0,524288.0,36540.0,3171.875,0,0,9843200,23068672,0,4,,,,
16384,128,contiguous,90.4652497411007,2.046875,563999.875,4409.0,524288.0,36540.0,3171.875,0,0,9843200,23068672,0,summary,90.75175767065957,92.21519576385617,0.009072537772725956,STABLE
32768,128,contiguous,91.00170245801564,2.046875,604063.875,4409.0,524288.0,73404.0,6371.875,0,0,19165696,25165824,0,0,,,,
32768,128,contiguous,91.2210380192846,2.046875,604063.875,4409.0,524288.0,73404.0,6371.875,0,0,19165696,25165824,0,1,,,,
32768,128,contiguous,90.44978287420236,2.046875,604063.875,4409.0,524288.0,73404.0,6371.875,0,0,19165696,25165824,0,2,,,,
32768,128,contiguous,92.81665552407503,2.046875,604063.875,4409.0,524288.0,73404.0,6371.875,0,0,19165696,25165824,0,3,,,,
32768,128,contiguous,91.67854659608565,2.046875,604063.875,4409.0,524288.0,73404.0,6371.875,0,0,19165696,25165824,0,4,,,,
32768,128,contiguous,91.2210380192846,2.046875,604063.875,4409.0,524288.0,73404.0,6371.875,0,0,19165696,25165824,0,summary,91.43354509433266,92.81665552407503,0.009740073260269226,STABLE
