label,context_tokens,component,backend,tile_tokens,round,median_us,mean_us,p90_us,round_cv,stability
s2b3,8192,v2,baseline,,0,309.2480003833771,311.8796809017658,330.7519853115082,,
s2b3,8192,v2,baseline,,1,307.20001459121704,311.09120085835457,331.7759931087494,,
s2b3,8192,v2,baseline,,2,308.22399258613586,311.54688000679016,331.7759931087494,,
s2b3,8192,v2,baseline,,3,295.9359884262085,299.95520010590553,308.22399258613586,,
s2b3,8192,v2,baseline,,4,296.9599962234497,300.9126405417919,313.34400177001953,,
s2b3,8192,v4,baseline,,0,281.5999984741211,282.37311869859695,294.9120104312897,,
s2b3,8192,v4,baseline,,1,286.72000765800476,286.9760000705719,302.0800054073334,,
s2b3,8192,v4,baseline,,2,279.04000878334045,282.09151953458786,295.9359884262085,,
s2b3,8192,v4,baseline,,3,285.69599986076355,292.60799914598465,305.1519989967346,,
s2b3,8192,v4,baseline,,4,275.4560112953186,279.3881593644619,288.7679934501648,,
s2b3,8192,mixed_v,baseline,,0,779.7759771347046,789.1558384895325,826.367974281311,,
s2b3,8192,mixed_v,baseline,,1,771.5839743614197,780.8819195628166,814.079999923706,,
s2b3,8192,mixed_v,baseline,,2,790.5279994010925,789.6217581629753,812.0319843292236,,
s2b3,8192,mixed_v,baseline,,3,769.0240144729614,774.9068787693977,807.9360127449036,,
s2b3,8192,mixed_v,baseline,,4,768.0000066757202,779.1871985793114,804.8639893531799,,
s2b3,16384,v2,baseline,,0,380.92800974845886,383.2883208990097,398.3359932899475,,
s2b3,16384,v2,baseline,,1,390.1439905166626,390.999039709568,401.40798687934875,,
s2b3,16384,v2,baseline,,2,377.85598635673523,381.47584095597267,395.26399970054626,,
s2b3,16384,v2,baseline,,3,377.85598635673523,381.07648119330406,390.1439905166626,,
s2b3,16384,v2,baseline,,4,375.8080005645752,378.41408148407936,388.09600472450256,,
s2b3,16384,v4,baseline,,0,286.72000765800476,289.3721604347229,296.9599962234497,,
s2b3,16384,v4,baseline,,1,301.05599761009216,300.6105603277683,320.51199674606323,,
s2b3,16384,v4,baseline,,2,290.8160090446472,294.4819204509258,311.2959861755371,,
s2b3,16384,v4,baseline,,3,286.72000765800476,291.0054412484169,303.1040132045746,,
s2b3,16384,v4,baseline,,4,286.72000765800476,290.46784088015556,299.00801181793213,,
s2b3,16384,mixed_v,baseline,,0,846.8480110168457,851.8502408266068,880.6399703025818,,
s2b3,16384,mixed_v,baseline,,1,849.9199748039246,862.8479981422424,900.0959992408752,,
s2b3,16384,mixed_v,baseline,,2,846.8480110168457,854.9990394711494,887.8080248832703,,
s2b3,16384,mixed_v,baseline,,3,848.8960266113281,862.7763199806213,899.071991443634,,
s2b3,16384,mixed_v,baseline,,4,845.8240032196045,850.9388807415962,874.4959831237793,,
s2b3,32768,v2,baseline,,0,517.1200037002563,521.3798382878304,531.4559936523438,,
s2b3,32768,v2,baseline,,1,509.95200872421265,514.4576022028923,526.3360142707825,,
s2b3,32768,v2,baseline,,2,509.95200872421265,513.315839767456,526.3360142707825,,
s2b3,32768,v2,baseline,,3,513.5359764099121,516.3110399246216,530.4319858551025,,
s2b3,32768,v2,baseline,,4,509.95200872421265,513.2697585225105,525.3120064735413,,
s2b3,32768,v4,baseline,,0,326.6560137271881,327.24991992115974,337.92001008987427,,
s2b3,32768,v4,baseline,,1,322.56001234054565,324.8486414551735,337.92001008987427,,
s2b3,32768,v4,baseline,,2,326.6560137271881,326.7430391907692,340.9920036792755,,
s2b3,32768,v4,baseline,,3,321.53600454330444,324.9510398507118,336.89600229263306,,
s2b3,32768,v4,baseline,,4,320.51199674606323,324.03455942869186,334.84798669815063,,
s2b3,32768,mixed_v,baseline,,0,1006.0800313949585,1012.4799978733063,1039.3600463867188,,
s2b3,32768,mixed_v,baseline,,1,1015.8079862594604,1017.8150418400764,1048.5759973526,,
s2b3,32768,mixed_v,baseline,,2,999.4239807128906,1005.7625636458397,1033.2159996032715,,
s2b3,32768,mixed_v,baseline,,3,997.376024723053,1029.5091220736504,1026.047945022583,,
s2b3,32768,mixed_v,baseline,,4,999.4239807128906,1005.5782416462898,1031.167984008789,,
s2b3,8192,v2,baseline,,summary,307.20001459121704,303.51359844207764,309.2480003833771,0.021417790641985002,STABLE
s2b3,8192,v4,baseline,,summary,281.5999984741211,281.7024052143097,286.72000765800476,0.016578330399619114,STABLE
s2b3,8192,mixed_v,baseline,,summary,771.5839743614197,775.7823944091797,790.5279994010925,0.012181925390774742,STABLE
s2b3,16384,v2,baseline,,summary,377.85598635673523,380.5183947086334,390.1439905166626,0.01493480652344192,STABLE
s2b3,16384,v4,baseline,,summary,286.72000765800476,290.40640592575073,301.05599761009216,0.02139032457054468,STABLE
s2b3,16384,mixed_v,baseline,,summary,846.8480110168457,847.6672053337097,849.9199748039246,0.0019849730501649183,STABLE
s2b3,32768,v2,baseline,,summary,509.95200872421265,512.1024012565613,517.1200037002563,0.006259727480131797,STABLE
s2b3,32768,v4,baseline,,summary,322.56001234054565,323.5840082168579,326.6560137271881,0.008950737833318026,STABLE
s2b3,32768,mixed_v,baseline,,summary,999.4239807128906,1003.6224007606506,1015.8079862594604,0.007535756049333982,STABLE
