label,context_tokens,component,backend,tile_tokens,round,median_us,mean_us,p90_us,round_cv,stability
s2b3,8192,v2,gqa4_cta,128,0,424.9599874019623,430.5459199845791,436.2240135669708,,
s2b3,8192,v2,gqa4_cta,128,1,424.9599874019623,428.9535988867283,438.27199935913086,,
s2b3,8192,v2,gqa4_cta,128,2,410.6239974498749,420.68479910492897,434.1759979724884,,
s2b3,8192,v2,gqa4_cta,128,3,409.59998965263367,412.00128108263016,423.93600940704346,,
s2b3,8192,v2,gqa4_cta,128,4,407.55200386047363,410.43456092476845,419.840008020401,,
s2b3,16384,v2,gqa4_cta,128,0,722.9440212249756,724.5004823803902,731.1360239982605,,
s2b3,16384,v2,gqa4_cta,128,1,723.9680290222168,725.2940821647644,732.1599721908569,,
s2b3,16384,v2,gqa4_cta,128,2,723.9680290222168,726.8659219145775,738.3040189743042,,
s2b3,16384,v2,gqa4_cta,128,3,724.9919772148132,738.8876819610596,739.3280267715454,,
s2b3,16384,v2,gqa4_cta,128,4,724.9919772148132,730.6188821792603,746.4960217475891,,
s2b3,32768,v2,gqa4_cta,128,0,1229.8239469528198,1231.0374349355698,1244.1600561141968,,
s2b3,32768,v2,gqa4_cta,128,1,1221.6320037841797,1223.290867805481,1232.8959703445435,,
s2b3,32768,v2,gqa4_cta,128,2,1221.6320037841797,1223.7567955255508,1233.9199781417847,,
s2b3,32768,v2,gqa4_cta,128,3,1223.680019378662,1225.8201503753662,1239.0400171279907,,
s2b3,32768,v2,gqa4_cta,128,4,1225.7280349731445,1227.8732705116272,1244.1600561141968,,
s2b3,8192,v2,gqa4_cta,128,summary,410.6239974498749,415.53919315338135,424.9599874019623,0.020866387193610426,STABLE
s2b3,16384,v2,gqa4_cta,128,summary,723.9680290222168,724.1728067398071,724.9919772148132,0.00118302963949346,STABLE
s2b3,32768,v2,gqa4_cta,128,summary,1223.680019378662,1224.4992017745972,1229.8239469528198,0.0027986455618870414,STABLE
