case,tokens,max_abs_error,mean_abs_error,relative_l2,cosine_similarity,nan_count,inf_count,passed,mixed_v_fused_calls,mixed_v_reference_calls,v2_tokens_processed,v4_tokens_processed,fused_temp_bytes
all_v2,128,0.0001220703125,7.539973012171686e-06,0.0003251791640650481,1.0,0,0,True,1,0,128,0,17408
all_v2,256,0.0001220703125,5.611582309938967e-06,0.00032944497070275247,0.9999998807907104,0,0,True,1,0,256,0,34816
all_v2,512,6.103515625e-05,4.494300810620189e-06,0.0003551130648702383,0.9999999403953552,0,0,True,1,0,512,0,69632
all_v2,1024,3.0517578125e-05,3.712601028382778e-06,0.0003559897013474256,0.9999999403953552,0,0,True,1,0,1024,0,139264
all_v2,2048,3.0517578125e-05,2.997840056195855e-06,0.00035640428541228175,1.0,0,0,True,1,0,2048,0,278528
all_v2,4096,3.0517578125e-05,2.7905189199373126e-06,0.00036158601869829,0.9999999403953552,0,0,True,1,0,4096,0,557056
all_v2,8192,3.0517578125e-05,2.6371126295998693e-06,0.00037054886342957616,0.9999999403953552,0,0,True,1,0,8192,0,1114112
all_v4,128,0.00018310546875,1.7567144823260605e-05,0.000631161907222122,0.9999998807907104,0,0,True,1,0,0,128,17408
all_v4,256,0.0001220703125,1.230233465321362e-05,0.0006090211682021618,0.9999998807907104,0,0,True,1,0,0,256,34816
all_v4,512,4.57763671875e-05,8.551054634153843e-06,0.0005688612582162023,0.9999998807907104,0,0,True,1,0,0,512,69632
all_v4,1024,6.103515625e-05,6.553411367349327e-06,0.0005549763445742428,0.9999997615814209,0,0,True,1,0,0,1024,139264
all_v4,2048,3.0517578125e-05,4.743880708701909e-06,0.0005003798869438469,0.9999998807907104,0,0,True,1,0,0,2048,278528
all_v4,4096,3.0517578125e-05,3.574634320102632e-06,0.0004297918058000505,0.9999999403953552,0,0,True,1,0,0,4096,557056
all_v4,8192,3.0517578125e-05,3.022185410372913e-06,0.0004138123767916113,0.9999998211860657,0,0,True,1,0,0,8192,1114112
mixed25,128,0.000244140625,1.2175049050711095e-05,0.0004640771949198097,1.0,0,0,True,1,0,96,32,17408
mixed25,256,6.103515625e-05,9.04622720554471e-06,0.00046801724238321185,1.0,0,0,True,1,0,192,64,34816
mixed25,512,6.103515625e-05,6.7679648054763675e-06,0.00047412619460374117,0.9999998807907104,0,0,True,1,0,384,128,69632
mixed25,1024,3.0517578125e-05,5.410096491687e-06,0.0004695173411164433,0.9999999403953552,0,0,True,1,0,768,256,139264
mixed25,2048,3.0517578125e-05,4.186731530353427e-06,0.0004539425717666745,0.9999999403953552,0,0,True,1,0,1536,512,278528
mixed25,4096,3.0517578125e-05,3.536319127306342e-06,0.00043416718835942447,0.9999999403953552,0,0,True,1,0,3072,1024,557056
mixed25,8192,3.0517578125e-05,3.237422788515687e-06,0.00044253753731027246,0.9999998807907104,0,0,True,1,0,6144,2048,1114112
random,128,0.0001220703125,1.2430507922545075e-05,0.0004580684471875429,0.9999997615814209,0,0,True,1,0,96,32,17408
random,256,6.103515625e-05,9.325012797489762e-06,0.00047169902245514095,1.0,0,0,True,1,0,192,64,34816
random,512,6.103515625e-05,7.0200476329773664e-06,0.0004819307359866798,0.9999998807907104,0,0,True,1,0,384,128,69632
random,1024,6.103515625e-05,5.580863216891885e-06,0.0004784713964909315,0.9999998807907104,0,0,True,1,0,768,256,139264
random,2048,3.0517578125e-05,4.347297362983227e-06,0.0004646211164072156,0.9999998807907104,0,0,True,1,0,1536,512,278528
random,4096,3.0517578125e-05,3.5706761991605163e-06,0.00043352568172849715,0.9999998807907104,0,0,True,1,0,3072,1024,557056
random,8192,3.0517578125e-05,3.218941856175661e-06,0.0004313056415412575,0.9999998807907104,0,0,True,1,0,6144,2048,1114112
causal_like,128,0.0001220703125,1.3401950127445161e-05,0.0004817485169041902,1.0,0,0,True,1,0,96,32,17408
causal_like,256,0.0001220703125,8.963615982793272e-06,0.0004645661392714828,0.9999999403953552,0,0,True,1,0,192,64,34816
causal_like,512,6.103515625e-05,6.962087354622781e-06,0.00047705278848297894,0.9999998807907104,0,0,True,1,0,384,128,69632
causal_like,1024,3.0517578125e-05,5.456080543808639e-06,0.00046921937610022724,0.9999998807907104,0,0,True,1,0,768,256,139264
causal_like,2048,3.0517578125e-05,4.207598976790905e-06,0.00045525675523094833,0.9999999403953552,0,0,True,1,0,1536,512,278528
causal_like,4096,3.0517578125e-05,3.645880497060716e-06,0.0004404492792673409,1.0,0,0,True,1,0,3072,1024,557056
causal_like,8192,3.0517578125e-05,3.311957698315382e-06,0.00044632094795815647,0.9999998807907104,0,0,True,1,0,6144,2048,1114112
first25,128,0.0001220703125,1.289228384848684e-05,0.00047198752872645855,0.9999999403953552,0,0,True,1,0,96,32,17408
first25,256,0.0001220703125,9.545998182147741e-06,0.0004874604637734592,0.9999998211860657,0,0,True,1,0,192,64,34816
first25,512,6.103515625e-05,7.004884537309408e-06,0.000480555318063125,0.9999998211860657,0,0,True,1,0,384,128,69632
first25,1024,3.0517578125e-05,5.427529686130583e-06,0.0004717404954135418,0.9999998807907104,0,0,True,1,0,768,256,139264
first25,2048,3.0517578125e-05,4.276313120499253e-06,0.0004572724283207208,0.9999998807907104,0,0,True,1,0,1536,512,278528
first25,4096,3.0517578125e-05,3.546272637322545e-06,0.0004345224588178098,0.9999999403953552,0,0,True,1,0,3072,1024,557056
first25,8192,3.0517578125e-05,3.169509000144899e-06,0.0004333222168497741,0.9999999403953552,0,0,True,1,0,6144,2048,1114112
last25,128,0.000244140625,1.328176585957408e-05,0.0004906955291517079,0.9999997615814209,0,0,True,1,0,96,32,17408
last25,256,6.103515625e-05,9.423383744433522e-06,0.0004753276298288256,0.9999998211860657,0,0,True,1,0,192,64,34816
last25,512,6.103515625e-05,7.101538358256221e-06,0.00048315676394850016,0.9999998807907104,0,0,True,1,0,384,128,69632
last25,1024,6.103515625e-05,5.4056436056271195e-06,0.0004712213412858546,1.0,0,0,True,1,0,768,256,139264
last25,2048,3.0517578125e-05,4.201530828140676e-06,0.0004541738308034837,0.9999999403953552,0,0,True,1,0,1536,512,278528
last25,4096,3.0517578125e-05,3.7184508983045816e-06,0.00045021812547929585,1.0,0,0,True,1,0,3072,1024,557056
last25,8192,3.0517578125e-05,3.273089532740414e-06,0.0004444066435098648,0.9999998807907104,0,0,True,1,0,6144,2048,1114112
alternating,128,0.000244140625,1.2175049050711095e-05,0.0004640771949198097,1.0,0,0,True,1,0,96,32,17408
alternating,256,6.103515625e-05,9.04622720554471e-06,0.00046801724238321185,1.0,0,0,True,1,0,192,64,34816
alternating,512,6.103515625e-05,6.7679648054763675e-06,0.00047412619460374117,0.9999998807907104,0,0,True,1,0,384,128,69632
alternating,1024,3.0517578125e-05,5.410096491687e-06,0.0004695173411164433,0.9999999403953552,0,0,True,1,0,768,256,139264
alternating,2048,3.0517578125e-05,4.186731530353427e-06,0.0004539425717666745,0.9999999403953552,0,0,True,1,0,1536,512,278528
alternating,4096,3.0517578125e-05,3.536319127306342e-06,0.00043416718835942447,0.9999999403953552,0,0,True,1,0,3072,1024,557056
alternating,8192,3.0517578125e-05,3.237422788515687e-06,0.00044253753731027246,0.9999998807907104,0,0,True,1,0,6144,2048,1114112
