name,count,self_cpu_us,self_cuda_us,cuda_us,cpu_us
cudaLaunchKernel,3372,23444.58500000056,0.0,0.0,23444.58500000056
aten::nonzero,200,9240.64200000076,0.0,0.0,19482.931000000022
cudaMemcpyAsync,779,7554.674999999861,0.0,0.0,7554.674999999861
aten::slice,1656,6650.36799999966,0.0,0.0,7902.019999999911
aten::copy_,978,6254.6570000004795,0.0,0.0,14135.516000000316
aten::index,250,5391.5629999998855,0.0,0.0,28452.7870000001
aten::empty,791,4474.119999999972,0.0,0.0,4715.996999999979
cudaEventRecord,1260,3693.992000000215,0.0,0.0,3693.992000000215
aten::select,873,3403.0159999998104,0.0,0.0,4022.574000000008
aten::as_strided,3891,3067.2600000005714,0.0,0.0,3067.2600000005714
aten::bitwise_and,178,2910.8670000000966,0.0,0.0,4059.921000000002
aten::empty_strided,494,2890.523999999983,0.0,0.0,2890.523999999983
aten::_to_copy,494,2836.543999999516,0.0,0.0,12938.00199999973
aten::sum,160,2699.1700000002493,0.0,0.0,4505.532000000083
cudaStreamSynchronize,587,2353.9270000004544,0.0,0.0,2353.9270000004544
aten::arange,460,2242.890999999974,0.0,0.0,9307.908999999994
aten::bmm,50,2195.3369999999704,0.0,0.0,2759.917999999976
aten::mul,152,1809.4579999996622,0.0,0.0,2788.739999999818
aten::resize_,430,1659.197999999953,0.0,0.0,1659.197999999953
aten::unsqueeze,400,1499.126999999833,0.0,0.0,1885.0619999998598
aten::sub,100,1421.565000000086,0.0,0.0,2100.4980000000396
aten::bitwise_not,116,1403.211999999905,0.0,0.0,2247.6789999999237
aten::view,705,1382.535999999851,0.0,0.0,1382.535999999851
aten::_local_scalar_dense,229,1301.003999999626,0.0,0.0,3962.7010000000773
aten::__lshift__,128,1155.729999999985,0.0,0.0,2571.9230000000607
aten::reshape,653,1141.5670000003229,0.0,0.0,4059.9520000001357
aten::fill_,176,1102.08499999993,0.0,0.0,2632.749999999958
aten::add,100,1096.0069999997504,0.0,0.0,1709.5170000000653
aten::gather,50,928.908000000054,0.0,0.0,1384.147999999972
cuLaunchKernel,100,841.6310000000849,0.0,0.0,841.6310000000849
aten::cumsum,32,814.2310000000725,0.0,0.0,1929.20099999999
aten::expand,250,802.8319999997766,0.0,0.0,1001.5789999998524
aten::to,708,782.154000000095,0.0,0.0,13720.155999999824
aten::remainder,50,707.2199999999866,0.0,0.0,1011.2420000000566
aten::div,50,704.2730000000083,0.0,0.0,1051.6630000000114
aten::zeros,172,693.268999999982,0.0,0.0,5055.027999999944
aten::set_,200,690.201999999932,0.0,0.0,690.201999999932
aten::floor_divide,50,610.3909999998723,0.0,0.0,1218.6010000000242
aten::matmul,50,594.6530000000203,0.0,0.0,4096.382000000012
aten::zero_,172,583.5490000000573,0.0,0.0,3141.1700000000164
