context_tokens,category,events_per_token,estimated_old_bytes_copied_per_token,new_bytes_written_per_token,estimated_copy_bytes_per_token,mutation_us_per_token_component_group
8192,assignments,0.5,253952.0,4096.0,258048.0,24717.9890046973
8192,causal_importance,32.0,1056704.0,0.0,1056704.0,24717.9890046973
8192,packed_k_payload,0.25,507904.0,8192.0,516096.0,24717.9890046973
8192,packed_k_scale,0.25,31744.0,512.0,32256.0,24717.9890046973
8192,packed_k_zero,0.25,31744.0,512.0,32256.0,24717.9890046973
8192,packed_v2_payload,0.25,380928.0,6144.0,387072.0,24717.9890046973
8192,packed_v2_scale,0.25,23808.0,384.0,24192.0,24717.9890046973
8192,packed_v2_zero,0.25,23808.0,384.0,24192.0,24717.9890046973
8192,packed_v4_payload,0.25,253952.0,4096.0,258048.0,24717.9890046973
8192,packed_v4_scale,0.25,7936.0,128.0,8064.0,24717.9890046973
8192,packed_v4_zero,0.25,7936.0,128.0,8064.0,24717.9890046973
8192,pattern_mask,0.25,15872.0,256.0,16128.0,24717.9890046973
8192,precision_mask,0.25,1984.0,32.0,2016.0,24717.9890046973
8192,recent_pending,127.5,25100288.0,261120.0,25361408.0,24717.9890046973
16384,assignments,0.5,516096.0,4096.0,520192.0,25485.498515321524
16384,causal_importance,32.0,2105280.0,0.0,2105280.0,25485.498515321524
16384,packed_k_payload,0.25,1032192.0,8192.0,1040384.0,25485.498515321524
16384,packed_k_scale,0.25,64512.0,512.0,65024.0,25485.498515321524
16384,packed_k_zero,0.25,64512.0,512.0,65024.0,25485.498515321524
16384,packed_v2_payload,0.25,774144.0,6144.0,780288.0,25485.498515321524
16384,packed_v2_scale,0.25,48384.0,384.0,48768.0,25485.498515321524
16384,packed_v2_zero,0.25,48384.0,384.0,48768.0,25485.498515321524
16384,packed_v4_payload,0.25,516096.0,4096.0,520192.0,25485.498515321524
16384,packed_v4_scale,0.25,16128.0,128.0,16256.0,25485.498515321524
16384,packed_v4_zero,0.25,16128.0,128.0,16256.0,25485.498515321524
16384,pattern_mask,0.25,32256.0,256.0,32512.0,25485.498515321524
16384,precision_mask,0.25,4032.0,32.0,4064.0,25485.498515321524
16384,recent_pending,127.5,25100288.0,261120.0,25361408.0,25485.498515321524
32768,assignments,0.5,1040384.0,4096.0,1044480.0,24893.034295659163
32768,causal_importance,32.0,4202432.0,0.0,4202432.0,24893.034295659163
32768,packed_k_payload,0.25,2080768.0,8192.0,2088960.0,24893.034295659163
32768,packed_k_scale,0.25,130048.0,512.0,130560.0,24893.034295659163
32768,packed_k_zero,0.25,130048.0,512.0,130560.0,24893.034295659163
32768,packed_v2_payload,0.25,1560576.0,6144.0,1566720.0,24893.034295659163
32768,packed_v2_scale,0.25,97536.0,384.0,97920.0,24893.034295659163
32768,packed_v2_zero,0.25,97536.0,384.0,97920.0,24893.034295659163
32768,packed_v4_payload,0.25,1040384.0,4096.0,1044480.0,24893.034295659163
32768,packed_v4_scale,0.25,32512.0,128.0,32640.0,24893.034295659163
32768,packed_v4_zero,0.25,32512.0,128.0,32640.0,24893.034295659163
32768,pattern_mask,0.25,65024.0,256.0,65280.0,24893.034295659163
32768,precision_mask,0.25,8128.0,32.0,8160.0,24893.034295659163
32768,recent_pending,127.5,25100288.0,261120.0,25361408.0,24893.034295659163
