context_tokens,round,backend,decode_tokens,prefill_ms,cache_setup_ms,decode_total_ms,mean_tpot_ms,median_tpot_ms,p90_tpot_ms,p95_tpot_ms,tokens_per_sec,peak_allocated_bytes,peak_reserved_bytes,mixed_v_fused_calls,mixed_v_reference_calls,selector_calls,importance_update_calls,pack_calls,cache_concat_events,cache_concat_bytes,largest_cache_concat_bytes,profile_enabled,temp_allocations,cache_mutations
8192,0,fused,128,34.45652802474797,34.45652802474797,14262.187026977539,111.42333614826202,109.2567024230957,111.19718170166016,112.61337280273438,8.974780639034007,16558204928,16582180864,4096,0,0,0,0,0,0,0,False,[],[]
8192,1,fused,128,34.18221580795944,34.18221580795944,14143.64469909668,110.49722421169281,108.242431640625,109.65606689453125,111.58732604980469,9.050001094001962,16558204928,16582180864,4096,0,0,0,0,0,0,0,False,[],[]
8192,2,fused,128,34.26985698752105,34.26985698752105,14220.464126586914,111.09737598896027,108.64332962036133,110.53158569335938,112.09523010253906,9.00111268243968,16558204928,16582180864,4096,0,0,0,0,0,0,0,False,[],[]
8192,3,fused,128,34.04293186031282,34.04293186031282,14288.729110717773,111.6306961774826,108.94847869873047,111.06304168701172,111.99078369140625,8.958109500724527,16558204928,16582180864,4096,0,0,0,0,0,0,0,False,[],[]
8192,4,fused,128,42.87080490030348,42.87080490030348,14241.0659866333,111.25832802057266,109.0621452331543,110.50291442871094,111.72147369384766,8.988091208912389,16558204928,16582180864,4096,0,0,0,0,0,0,0,False,[],[]
16384,0,fused,128,38.29446993768215,38.29446993768215,14647.269371032715,114.43179196119308,111.4700813293457,114.0684814453125,115.76934051513672,8.738830204975965,16953623552,16982736896,4096,0,0,0,0,0,0,0,False,[],[]
16384,1,fused,128,37.95035416260362,37.95035416260362,14558.90737915039,113.74146389961243,111.36307144165039,114.5323486328125,115.13241577148438,8.791868556242553,16953623552,16982736896,4096,0,0,0,0,0,0,0,False,[],[]
16384,2,fused,128,37.481246050447226,37.481246050447226,14557.026313781738,113.72676807641983,111.55405044555664,112.8642578125,113.8370590209961,8.793004645379881,16953623552,16982736896,4096,0,0,0,0,0,0,0,False,[],[]
16384,3,fused,128,37.94022602960467,37.94022602960467,14557.214721679688,113.72824001312256,111.53715515136719,112.61849975585938,113.29740905761719,8.79289084122479,16953623552,16982736896,4096,0,0,0,0,0,0,0,False,[],[]
16384,4,fused,128,37.81894384883344,37.81894384883344,14711.527442932129,114.93380814790726,112.58060836791992,116.06937408447266,117.34528350830078,8.700660111366965,16953623552,16982736896,4096,0,0,0,0,0,0,0,False,[],[]
32768,0,fused,128,38.7208410538733,38.7208410538733,15153.661964416504,118.38798409700394,115.39200210571289,121.07059478759766,125.80966186523438,8.446803175401879,17783472128,17809014784,4096,0,0,0,0,0,0,0,False,[],[]
32768,1,fused,128,38.91368303447962,38.91368303447962,15065.526306152344,117.69942426681519,115.31417846679688,117.27565002441406,118.69184112548828,8.496218279989883,17783472128,17809014784,4096,0,0,0,0,0,0,0,False,[],[]
32768,2,fused,128,41.44914401695132,41.44914401695132,14985.139251708984,117.07140040397644,114.79449462890625,116.54144287109375,118.22592163085938,8.541795831854028,17783472128,17809014784,4096,0,0,0,0,0,0,0,False,[],[]
32768,3,fused,128,39.11823686212301,39.11823686212301,14913.053688049316,116.50823193788528,114.4186897277832,115.49798583984375,116.45439910888672,8.583084502845566,17783472128,17809014784,4096,0,0,0,0,0,0,0,False,[],[]
32768,4,fused,128,38.9174479059875,38.9174479059875,14965.906471252441,116.9211443066597,114.6721305847168,116.25164794921875,117.38009643554688,8.552772947356804,17783472128,17809014784,4096,0,0,0,0,0,0,0,False,[],[]
