context_tokens,component,us_per_token,share_percent,calls_per_token,timer_type,inclusive_or_exclusive
8192,qk_total,18226.139772159513,10.934112158187421,159.75,cuda_event,nested_detail_not_added_to_top_level_total
8192,qk_quantized_history,5553.576038568281,3.3316667184503324,32.0,cuda_event,nested_detail_not_added_to_top_level_total
8192,qk_fp16_regions,10579.803718661424,6.34696989694741,95.75,cuda_event,nested_detail_not_added_to_top_level_total
8192,attention_score_concat,2092.7600149298087,1.2554755427896784,32.0,cuda_event,nested_detail_not_added_to_top_level_total
16384,qk_total,17903.652265023993,11.49692003154553,159.75,cuda_event,nested_detail_not_added_to_top_level_total
16384,qk_quantized_history,7864.328026422299,5.050117656622074,32.0,cuda_event,nested_detail_not_added_to_top_level_total
16384,qk_fp16_regions,8104.5802175030985,5.204396805221023,95.75,cuda_event,nested_detail_not_added_to_top_level_total
16384,attention_score_concat,1934.744021098595,1.2424055697024328,32.0,cuda_event,nested_detail_not_added_to_top_level_total
32768,qk_total,18542.040774067573,11.818854910119091,159.75,cuda_event,nested_detail_not_added_to_top_level_total
32768,qk_quantized_history,11210.99199890159,7.145981903935653,32.0,cuda_event,nested_detail_not_added_to_top_level_total
32768,qk_fp16_regions,5409.914001618745,3.4483253186875293,95.75,cuda_event,nested_detail_not_added_to_top_level_total
32768,attention_score_concat,1921.1347735472373,1.2245476874959087,32.0,cuda_event,nested_detail_not_added_to_top_level_total
