variant,kv_head,ref_centroid,test_centroid,l2_cost
real_delta_alpha_1,0,0,0,1.67130446434021
real_delta_alpha_1,0,1,1,1.915950894355774
real_delta_alpha_1,0,2,2,0.8346222043037415
real_delta_alpha_1,0,3,3,0.0078125
real_delta_alpha_1,0,4,4,2.0148754119873047
real_delta_alpha_1,0,5,5,0.0078125
real_delta_alpha_1,0,6,6,0.5141729116439819
real_delta_alpha_1,0,7,7,0.0078125
real_delta_alpha_1,0,8,8,0.0078125
real_delta_alpha_1,0,9,9,0.0078125
real_delta_alpha_1,0,10,10,1.4145264625549316
real_delta_alpha_1,0,11,11,0.0078125
real_delta_alpha_1,0,12,12,0.0
real_delta_alpha_1,0,13,13,0.9087721109390259
real_delta_alpha_1,0,14,14,0.005524271633476019
real_delta_alpha_1,0,15,15,0.0078125
real_delta_alpha_1,0,16,16,0.44345831871032715
real_delta_alpha_1,0,17,17,0.0
real_delta_alpha_1,0,18,18,0.8045358061790466
real_delta_alpha_1,0,19,19,0.6577132344245911
real_delta_alpha_1,0,20,20,0.0
real_delta_alpha_1,0,21,21,1.5501168966293335
real_delta_alpha_1,0,22,22,0.0078125
real_delta_alpha_1,0,23,23,0.0
real_delta_alpha_1,0,24,24,1.1516351699829102
real_delta_alpha_1,0,25,25,0.009568319655954838
real_delta_alpha_1,0,26,26,0.0078125
real_delta_alpha_1,0,27,27,0.7521534562110901
real_delta_alpha_1,0,28,28,0.005524271633476019
real_delta_alpha_1,0,29,29,1.1648486852645874
real_delta_alpha_1,0,30,30,1.5307615995407104
real_delta_alpha_1,0,31,31,3.5741782188415527
real_delta_alpha_1,1,0,0,0.005524271633476019
real_delta_alpha_1,1,1,1,0.00390625
real_delta_alpha_1,1,2,2,0.0078125
real_delta_alpha_1,1,3,3,0.00390625
real_delta_alpha_1,1,4,4,0.0078125
real_delta_alpha_1,1,5,5,0.006765823345631361
real_delta_alpha_1,1,6,6,0.00390625
real_delta_alpha_1,1,7,7,0.0
real_delta_alpha_1,1,8,8,0.005524271633476019
real_delta_alpha_1,1,9,9,0.00390625
real_delta_alpha_1,1,10,10,0.005524271633476019
real_delta_alpha_1,1,11,11,0.005524271633476019
real_delta_alpha_1,1,12,12,0.005524271633476019
real_delta_alpha_1,1,13,13,0.008734640665352345
real_delta_alpha_1,1,14,14,0.0078125
real_delta_alpha_1,1,15,15,0.005524271633476019
real_delta_alpha_1,1,16,16,0.0
real_delta_alpha_1,1,17,17,0.0078125
real_delta_alpha_1,1,18,18,0.0
real_delta_alpha_1,1,19,19,0.00390625
real_delta_alpha_1,1,20,20,0.005524271633476019
real_delta_alpha_1,1,21,21,0.00390625
real_delta_alpha_1,1,22,22,0.0078125
real_delta_alpha_1,1,23,23,0.005524271633476019
