name,kind,parameter,k_relative_l2,raw_centroid_relative_l2,raw_centroid_max_abs,aligned_centroid_relative_l2,aligned_centroid_max_abs,permutation_explained_fraction,centroid_amplification
real_delta_alpha_1,real_delta,1.0,0.00023537653032690287,0.045991893857717514,2.92138671875,0.045991893857717514,2.92138671875,0.0,195.3971102974525
random_rel_0,random_noise,0.0,0.0,0.0,0.0,0.0,0.0,,
random_rel_5e-05,random_noise,5e-05,2.8871210815850645e-05,3.37446435878519e-05,0.0009765625,3.37446435878519e-05,0.0009765625,0.0,1.1687990435553772
random_rel_0.0001,random_noise,0.0001,7.842025661375374e-05,0.013741211034357548,0.790283203125,0.013741211034357548,0.790283203125,0.0,175.22527504644182
random_rel_0.0002,random_noise,0.0002,0.00019433260604273528,0.010983681306242943,0.6622314453125,0.010983681306242943,0.6622314453125,0.0,56.520012415351154
random_rel_0.0005,random_noise,0.0005,0.0005202674074098468,0.038046713918447495,1.390625,0.038046713918447495,1.390625,0.0,73.12915123371499
random_rel_0.001,random_noise,0.001,0.001018501236103475,0.04595789313316345,1.543212890625,0.04595789313316345,1.543212890625,0.0,45.12306073283385
scaled_real_delta_0,scaled_real_delta,0.0,0.0,0.0,0.0,0.0,0.0,,
scaled_real_delta_0.25,scaled_real_delta,0.25,2.156962909793947e-05,2.452773151162546e-05,0.0009765625,2.452773151162546e-05,0.0009765625,0.0,1.1371420157599548
scaled_real_delta_0.5,scaled_real_delta,0.5,0.00015919923316687346,0.02177422121167183,1.5458984375,0.02177422121167183,1.5458984375,0.0,136.77340511337752
scaled_real_delta_1,scaled_real_delta,1.0,0.00023537653032690287,0.045991893857717514,2.92138671875,0.045991893857717514,2.92138671875,0.0,195.3971102974525
scaled_real_delta_2,scaled_real_delta,2.0,0.0004707430489361286,0.04713001474738121,1.5458984375,0.04713001474738121,1.5458984375,0.0,100.11834450640164
scaled_real_delta_4,scaled_real_delta,4.0,0.0009414970991201699,0.06287570297718048,3.17919921875,0.06287570297718048,3.17919921875,0.0,66.7826837023055
