name,kind,parameter,reconstructed_k_relative_l2,reconstructed_k_max_abs,reconstructed_k_cosine,reconstruction_mse_ref,reconstruction_mse_test,relative_reconstruction_error_ref,relative_reconstruction_error_test,packed_k_difference_rate,packed_scale_relative_l2,packed_zero_relative_l2
real_delta_alpha_1,real_delta,1.0,0.11692483723163605,4.4609375,0.9931642413139343,0.12942364811897278,0.12918755412101746,0.24786736071109772,0.24764172732830048,0.21240234375,0.024499163031578064,0.03364190831780434
random_rel_0,random_noise,0.0,0.0,0.0,1.0,0.12942364811897278,0.12942364811897278,0.24786736071109772,0.24786736071109772,0.0,0.0,0.0
random_rel_5e-05,random_noise,5e-05,0.004245011135935783,1.1669921875,0.9999910593032837,0.12942364811897278,0.12942445278167725,0.24786736071109772,0.24786803126335144,0.001068115234375,4.343589171185158e-05,5.969402627670206e-05
random_rel_0.0001,random_noise,0.0001,0.04116648808121681,2.662109375,0.9991527199745178,0.12942364811897278,0.12954887747764587,0.24786736071109772,0.24798709154129028,0.05328369140625,0.007645796053111553,0.011492745019495487
random_rel_0.0002,random_noise,0.0002,0.04117904230952263,2.6982421875,0.9991521239280701,0.12942364811897278,0.12933969497680664,0.24786736071109772,0.2477869838476181,0.05523681640625,0.016469420865178108,0.029619064182043076
random_rel_0.0005,random_noise,0.0005,0.09726172685623169,4.400390625,0.9952709674835205,0.12942364811897278,0.1293450891971588,0.24786736071109772,0.24779243767261505,0.209320068359375,0.025981739163398743,0.03996497392654419
random_rel_0.001,random_noise,0.001,0.1264837086200714,4.6337890625,0.9920015931129456,0.12942364811897278,0.12946179509162903,0.24786736071109772,0.2479044795036316,0.24932861328125,0.03482133522629738,0.048745110630989075
scaled_real_delta_0,scaled_real_delta,0.0,0.0,0.0,1.0,0.12942364811897278,0.12942364811897278,0.24786736071109772,0.24786736071109772,0.0,0.0,0.0
scaled_real_delta_0.25,scaled_real_delta,0.25,0.0010310579091310501,0.966796875,0.999999463558197,0.12942364811897278,0.12942396104335785,0.24786736071109772,0.24786768853664398,6.103515625e-05,6.0652699175989255e-05,5.2105693612247705e-05
scaled_real_delta_0.5,scaled_real_delta,0.5,0.044664930552244186,2.8115234375,0.9990026950836182,0.12942364811897278,0.12953662872314453,0.24786736071109772,0.24797561764717102,0.065277099609375,0.008045446127653122,0.012035109102725983
scaled_real_delta_1,scaled_real_delta,1.0,0.11692483723163605,4.4609375,0.9931642413139343,0.12942364811897278,0.12918755412101746,0.24786736071109772,0.24764172732830048,0.21240234375,0.024499163031578064,0.03364190831780434
scaled_real_delta_2,scaled_real_delta,2.0,0.12763641774654388,4.33203125,0.9918546676635742,0.12942364811897278,0.12910103797912598,0.24786736071109772,0.24755911529064178,0.2271728515625,0.029979247599840164,0.03839265555143356
scaled_real_delta_4,scaled_real_delta,4.0,0.15727709233760834,4.7431640625,0.9876374006271362,0.12942364811897278,0.12987791001796722,0.24786736071109772,0.24830374121665955,0.341217041015625,0.04247787594795227,0.05621210113167763
