component,calls,calls_per_generated_token,total_us,mean_us,percent_decode_time,tokens,bytes,backend,context_tokens,decode_tokens
attention_score_concat,4096,32.0,254424.06686767936,62.11525070011703,1.6020893460908865,8652800,0,reference,2048,128
attention_softmax,4096,32.0,198981.63497820497,48.57950072710082,1.2529724934871118,8652800,0,reference,2048,128
cache_append,4096,32.0,2516005.089789629,614.2590551244211,15.843096129576365,0,0,reference,2048,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3293999104,reference,2048,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,552960,reference,2048,128
cache_mutation,16544,129.25,542973.7633727491,32.81998086150563,3.4190652331595985,0,3293999104,reference,2048,128
centroid_update,32,0.25,5485.568016767502,171.42400052398443,0.03454221208361855,4096,0,reference,2048,128
decode_decoder_model_forward,128,1.0,18267779.006958008,142717.02349185944,115.0308399834326,0,0,reference,2048,128
decode_lm_head,128,1.0,152822.7880001068,1193.9280312508345,0.962313681677808,0,0,reference,2048,128
importance_update,4096,32.0,580055.0366193056,141.61499917463516,3.6525632411868414,8652800,0,reference,2048,128
mixed_v_reference_attention,4096,32.0,3837839.4541740417,936.9725229917094,24.16658839408158,7802880,0,reference,2048,128
output_projection,4096,32.0,410980.3488403559,100.33699922860251,2.5879125604586943,0,0,reference,2048,128
pack_k,32,0.25,11158.527970314026,348.7039990723133,0.0702644171968004,4096,0,reference,2048,128
pack_total,32,0.25,36685.823917388916,1146.4319974184036,0.2310078931376493,4096,0,reference,2048,128
pack_v2,32,0.25,10177.535980939865,318.0479994043708,0.06408718391016238,3072,0,reference,2048,128
pack_v4,32,0.25,9846.783965826035,307.7119989320636,0.06200446317491234,1024,0,reference,2048,128
pack_window,32,0.25,266103.8074493408,8315.7439827919,1.6756358001718872,4096,0,reference,2048,128
pattern_assignment,32,0.25,16628.736078739166,519.648002460599,0.10470990908482115,4096,0,reference,2048,128
qk_fp16_regions,12256,95.75,1360182.61487782,110.98095748023988,8.56496833362514,849920,0,reference,2048,128
qk_quantized_history,4096,32.0,479961.0935524106,117.178001355569,3.0222791577274735,0,0,reference,2048,128
rope_position,4096,32.0,932889.5994126797,227.75624985661125,5.874336129825898,0,0,reference,2048,128
selector_gain,32,0.25,38315.00792503357,1197.343997657299,0.24126674314976948,4096,0,reference,2048,128
selector_score,32,0.25,2538.4960249066353,79.32800077833235,0.015984719868156555,4096,0,reference,2048,128
selector_topk,32,0.25,115734.52806472778,3616.704002022743,0.7287716789928864,4096,0,reference,2048,128
selector_total,32,0.25,162747.39265441895,5085.856020450592,1.0248081759156773,4096,0,reference,2048,128
value_fp16_tail,12256,95.75,1284807.6749965549,104.83091342987557,8.09033796695932,849920,0,reference,2048,128
attention_score_concat,4096,32.0,251794.43502798676,61.47325073925458,1.8703750097219343,8652800,0,fused,2048,128
attention_softmax,4096,32.0,197011.45878061652,48.098500678861456,1.4634370656014348,8652800,0,fused,2048,128
cache_append,4096,32.0,2508426.819115877,612.4088913857122,18.63305213901626,0,0,fused,2048,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3293999104,fused,2048,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,552960,fused,2048,128
cache_mutation,16544,129.25,541058.2107305527,32.70419552288157,4.019079119214087,0,3293999104,fused,2048,128
centroid_update,32,0.25,5438.464015722275,169.9520004913211,0.04039790309562772,4096,0,fused,2048,128
decode_decoder_model_forward,128,1.0,17348924.354553223,135538.47151994705,128.87097586055032,0,0,fused,2048,128
decode_lm_head,128,1.0,152825.85978507996,1193.9520295709372,1.1352183734700523,0,0,fused,2048,128
importance_update,4096,32.0,575695.8679109812,140.5507490017044,4.276373957276684,8652800,0,fused,2048,128
mixed_v_fused_attention,4096,32.0,3108248.576402664,758.8497500983067,23.088637604961942,0,0,fused,2048,128
output_projection,4096,32.0,409691.1303475499,100.0222486200073,3.043260474845752,0,0,fused,2048,128
pack_k,32,0.25,11025.40808916092,344.5440027862787,0.08189874315395639,4096,0,fused,2048,128
pack_total,32,0.25,36277.24814414978,1133.6640045046806,0.2694740189264209,4096,0,fused,2048,128
pack_v2,32,0.25,10210.30405163765,319.07200161367655,0.07584400162665646,3072,0,fused,2048,128
pack_v4,32,0.25,9710.59200167656,303.4560000523925,0.07213204933430237,1024,0,fused,2048,128
pack_window,32,0.25,266688.5118484497,8334.015995264053,1.9810109301495493,4096,0,fused,2048,128
pattern_assignment,32,0.25,16553.98404598236,517.3120014369488,0.1229660141912969,4096,0,fused,2048,128
qk_fp16_regions,12256,95.75,1361005.7777613401,111.04812155363415,10.109799267521678,849920,0,fused,2048,128
qk_quantized_history,4096,32.0,477300.7420748472,116.528501483117,3.5454770078588207,0,0,fused,2048,128
rope_position,4096,32.0,946198.5301487148,231.00550052458857,7.0285353400645105,0,0,fused,2048,128
selector_gain,32,0.25,40397.82404899597,1262.4320015311241,0.30008240865207164,4096,0,fused,2048,128
selector_score,32,0.25,2491.3920238614082,77.85600074566901,0.01850651457143202,4096,0,fused,2048,128
selector_topk,32,0.25,115555.32836914062,3611.1040115356445,0.8583660651508435,4096,0,fused,2048,128
selector_total,32,0.25,164318.208694458,5134.944021701813,1.2205856382418756,4096,0,fused,2048,128
value_fp16_tail,12256,95.75,1321020.4161778092,107.78560836959932,9.812780705327405,849920,0,fused,2048,128
attention_score_concat,4096,32.0,253151.2347869575,61.80450068040955,1.7714719827567311,17041408,0,reference,4096,128
attention_softmax,4096,32.0,200273.92284572124,48.89500069475616,1.4014533387385906,17041408,0,reference,4096,128
cache_append,4096,32.0,2595384.1304183006,633.6387037154054,18.16167428690075,0,0,reference,4096,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3344920576,reference,4096,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,1142784,reference,4096,128
cache_mutation,16544,129.25,541580.8987356722,32.73578933363589,3.7898112142879516,0,3344920576,reference,4096,128
centroid_update,32,0.25,5548.031985759735,173.37599955499172,0.03882336671390361,4096,0,reference,4096,128
decode_decoder_model_forward,128,1.0,18477727.72216797,144357.24782943726,129.30127317915148,0,0,reference,4096,128
decode_lm_head,128,1.0,152796.16379737854,1193.7200296670198,1.0692190518744793,0,0,reference,4096,128
importance_update,4096,32.0,578801.6608506441,141.30899923111429,4.050270292510559,17041408,0,reference,4096,128
mixed_v_reference_attention,4096,32.0,3980248.068213463,971.7402510286774,27.852512523573193,16191488,0,reference,4096,128
output_projection,4096,32.0,408227.8400659561,99.66500001610257,2.8566488402346706,0,0,reference,4096,128
pack_k,32,0.25,10938.367992639542,341.8239997699857,0.07654322702534275,4096,0,reference,4096,128
pack_total,32,0.25,36376.57582759857,1136.7679946124554,0.25455173055524283,4096,0,reference,4096,128
pack_v2,32,0.25,10139.648109674454,316.8640034273267,0.0709540388235387,3072,0,reference,4096,128
pack_v4,32,0.25,9703.424006700516,303.2320002093911,0.06790148102238146,1024,0,reference,4096,128
pack_window,32,0.25,272266.2401199341,8508.32000374794,1.905232722364066,4096,0,reference,4096,128
pattern_assignment,32,0.25,16650.240004062653,520.3200001269579,0.11651309423078482,4096,0,reference,4096,128
qk_fp16_regions,12256,95.75,1361328.3070325851,111.0744375842514,9.526143363556377,849920,0,reference,4096,128
qk_quantized_history,4096,32.0,555240.4395490885,135.55674793678918,3.8853963449259776,0,0,reference,4096,128
rope_position,4096,32.0,953132.0337690413,232.69825043189485,6.669715417784677,0,0,reference,4096,128
selector_gain,32,0.25,44543.999910354614,1391.9999971985817,0.31170477168526517,4096,0,reference,4096,128
selector_score,32,0.25,2557.952031493187,79.93600098416209,0.01789973634076582,4096,0,reference,4096,128
selector_topk,32,0.25,116369.40836906433,3636.5440115332603,0.8143161804020355,4096,0,reference,4096,128
selector_total,32,0.25,169466.87984466553,5295.839995145798,1.1858754309559985,4096,0,reference,4096,128
value_fp16_tail,12256,95.75,1291975.6774827838,105.41577002960051,9.040835676705193,849920,0,reference,4096,128
attention_score_concat,4096,32.0,248966.14757180214,60.78275087202201,1.833410903853554,17041408,0,fused,4096,128
attention_softmax,4096,32.0,196563.97036463022,47.9892505773023,1.4475161787500654,17041408,0,fused,4096,128
cache_append,4096,32.0,2569444.956243038,627.305897520273,18.921642342033227,0,0,fused,4096,128
cache_cat_events,16544,129.25,0.0,0.0,0.0,0,3344920576,fused,4096,128
cache_cat_largest_bytes,0,0.0,0.0,0.0,0.0,0,1142784,fused,4096,128
cache_mutation,16544,129.25,537492.7387982607,32.488681020204346,3.958148759042182,0,3344920576,fused,4096,128
centroid_update,32,0.25,5400.5759954452515,168.7679998576641,0.03977036642816465,4096,0,fused,4096,128
decode_decoder_model_forward,128,1.0,17395430.34362793,135901.7995595932,128.10163944089808,0,0,fused,4096,128
decode_lm_head,128,1.0,152822.7880001068,1193.9280312508345,1.1254018612947756,0,0,fused,4096,128
importance_update,4096,32.0,571270.1387405396,139.47024871595204,4.2068888145155325,17041408,0,fused,4096,128
mixed_v_fused_attention,4096,32.0,3142589.4387364388,767.2337496915134,23.14233400608305,0,0,fused,4096,128
output_projection,4096,32.0,404816.90149754286,98.83225134217355,2.981111000465455,0,0,fused,4096,128
pack_k,32,0.25,10813.439965248108,337.9199989140034,0.07963122269357518,4096,0,fused,4096,128
pack_total,32,0.25,35795.96817493439,1118.6240054666996,0.263604988091773,4096,0,fused,4096,128
pack_v2,32,0.25,9892.864018678665,309.1520005837083,0.07285201196662701,3072,0,fused,4096,128
pack_v4,32,0.25,9493.50392818451,296.6719977557659,0.0699110854526528,1024,0,fused,4096,128
pack_window,32,0.25,268830.71994781494,8400.959998369217,1.979695545158318,4096,0,fused,4096,128
pattern_assignment,32,0.25,16434.17602777481,513.5680008679628,0.121022869249649,4096,0,fused,4096,128
qk_fp16_regions,12256,95.75,1340341.4608240128,109.36206436227258,9.87040476437878,849920,0,fused,4096,128
