backend,context_tokens,decode_tokens,prefill_ms,cache_setup_ms,decode_total_ms,mean_tpot_ms,median_tpot_ms,p90_tpot_ms,p95_tpot_ms,tokens_per_sec,peak_allocated_bytes,peak_reserved_bytes,mixed_v_fused_calls,mixed_v_reference_calls,selector_calls,importance_update_calls,pack_calls,cache_concat_events,cache_concat_bytes,largest_cache_concat_bytes,component_profile_decode_total_ms
reference,2048,128,61.60881696268916,61.60881696268916,15880.766418457031,124.06848764419556,108.61004638671875,110.81523132324219,114.13401794433594,8.06006439659204,16248368128,16267608064,0,4096,32,4096,32,16544,3293999104,552960,18421.571563720703
fused,2048,128,30.616522999480367,30.616522999480367,13462.24333190918,105.17377603054047,102.45478439331055,103.82643127441406,106.029052734375,9.508073568734654,16231202304,16244539392,4096,0,32,4096,32,16544,3293999104,552960,17502.730255126953
reference,4096,128,34.836008911952376,34.836008911952376,14290.445304870605,111.6441039443016,109.56646347045898,110.19161224365234,111.21151733398438,8.957033687142962,16376183808,16410214400,0,4096,32,4096,32,16544,3344920576,1142784,18631.5242767334
fused,4096,128,35.082145826891065,35.082145826891065,13579.39712524414,106.08904004096985,103.24531173706055,105.24569702148438,108.59212493896484,9.426044383225792,16331990528,16347299840,4096,0,32,4096,32,16544,3344920576,1142784,17549.26491546631
reference,8192,128,34.66309909708798,34.66309909708798,14966.994956970215,116.9296481013298,115.01619338989258,115.40275573730469,115.83897399902344,8.552150940652897,16631815168,16680747008,0,4096,32,4096,32,16544,3446763520,2322432,19170.590728759766
fused,8192,128,34.60286511108279,34.60286511108279,13832.075248718262,108.06308788061142,106.18060684204102,106.60044860839844,107.24352264404297,9.253853648017207,16535160832,16557015040,4096,0,32,4096,32,16544,3446763520,2322432,17867.14109802246
reference,16384,128,38.682215847074986,38.682215847074986,17432.811584472656,136.19384050369263,134.23257446289062,134.7205047607422,135.11782836914062,7.342475961479969,17143077888,17228103680,0,4096,32,4096,32,16544,3650449408,4681728,21332.97052001953
fused,16384,128,38.10595511458814,38.10595511458814,14470.600685119629,113.0515678524971,111.00313568115234,111.54227447509766,112.68812561035156,8.84552084500712,16948234240,16955473920,4096,0,32,4096,32,16544,3650449408,4681728,18472.658935546875
reference,32768,128,39.253005059435964,39.253005059435964,24722.957275390625,193.14810371398926,191.43474578857422,191.7829132080078,192.37376403808594,5.177374153674243,18165603328,18331205632,0,4096,32,4096,32,16544,4057821184,9400320,27720.84832763672
fused,32768,128,39.0271560754627,39.0271560754627,15106.415634155273,118.01887214183807,116.01510238647461,116.34893035888672,116.7820816040039,8.473221120077937,17774381056,17785946112,4096,0,32,4096,32,16544,4057821184,9400320,19142.10807800293
