backend,component,from_context,to_context,ratio
reference,attention_score_concat,2048,4096,0.9949972025194306
reference,attention_score_concat,4096,8192,0.9905993961451135
reference,attention_score_concat,8192,16384,0.9765572001954824
reference,attention_score_concat,16384,32768,1.0028475510731276
reference,attention_softmax,2048,4096,1.0064945082376966
reference,attention_softmax,4096,8192,0.961389679781465
reference,attention_softmax,8192,16384,0.989487799190589
reference,attention_softmax,16384,32768,1.0300238661981895
reference,cache_append,2048,4096,1.0315496343591692
reference,cache_append,4096,8192,1.0499068799431188
reference,cache_append,8192,16384,1.002962788002497
reference,cache_append,16384,32768,0.9404187411073935
reference,cache_cat_events,2048,4096,
reference,cache_cat_events,4096,8192,
reference,cache_cat_events,8192,16384,
reference,cache_cat_events,16384,32768,
reference,cache_cat_largest_bytes,2048,4096,
reference,cache_cat_largest_bytes,4096,8192,
reference,cache_cat_largest_bytes,8192,16384,
reference,cache_cat_largest_bytes,16384,32768,
reference,cache_mutation,2048,4096,0.9974347478072884
reference,cache_mutation,4096,8192,0.9772859374077036
reference,cache_mutation,8192,16384,1.011264884193763
reference,cache_mutation,16384,32768,1.016461256819664
reference,centroid_update,2048,4096,1.0113869646317943
reference,centroid_update,4096,8192,0.9741602059618676
reference,centroid_update,8192,16384,1.0041682497296804
reference,centroid_update,16384,32768,1.0015094372176658
reference,decode_decoder_model_forward,2048,4096,1.0114928429520629
reference,decode_decoder_model_forward,4096,8192,1.0291820498661668
reference,decode_decoder_model_forward,8192,16384,1.1137088488903955
reference,decode_decoder_model_forward,16384,32768,1.3016113281410413
reference,decode_lm_head,2048,4096,0.9998257838174746
reference,decode_lm_head,4096,8192,0.9990550476149226
reference,decode_lm_head,8192,16384,0.9999731674846903
reference,decode_lm_head,16384,32768,0.9996645845585889
reference,importance_update,2048,4096,0.997839212334115
reference,importance_update,4096,8192,0.9874204600609042
reference,importance_update,8192,16384,1.0036773222158182
reference,importance_update,16384,32768,0.9998072032926345
reference,mixed_v_reference_attention,2048,4096,1.0371064542276611
reference,mixed_v_reference_attention,4096,8192,1.3195900392612192
reference,mixed_v_reference_attention,8192,16384,1.7266793142003125
reference,mixed_v_reference_attention,16384,32768,1.8149231047001995
reference,output_projection,2048,4096,0.9933025781350219
reference,output_projection,4096,8192,0.9792454937628804
reference,output_projection,8192,16384,0.5220012797327532
reference,output_projection,16384,32768,0.9973648300307723
reference,pack_k,2048,4096,0.9802698009755234
reference,pack_k,4096,8192,0.9593709055284132
reference,pack_k,8192,16384,1.006537862545568
reference,pack_k,16384,32768,1.0193892342101394
reference,pack_total,2048,4096,0.9915703654227114
reference,pack_total,4096,8192,0.9721878243447988
reference,pack_total,8192,16384,1.0068334539745643
reference,pack_total,16384,32768,1.0072759676004095
reference,pack_v2,2048,4096,0.9962773041199396
reference,pack_v2,4096,8192,0.9783882017293277
reference,pack_v2,8192,16384,0.9968001558340677
reference,pack_v2,16384,32768,1.0000000060275096
reference,pack_v4,2048,4096,0.9854409358808867
reference,pack_v4,4096,8192,0.9668636520342102
reference,pack_v4,8192,16384,1.0081859748875683
reference,pack_v4,16384,32768,1.0112590802132677
reference,pack_window,2048,4096,1.0231580026218394
reference,pack_window,4096,8192,0.9675724397661867
reference,pack_window,8192,16384,1.0025615923274278
reference,pack_window,16384,32768,1.0139615768867405
reference,pattern_assignment,2048,4096,1.0012931785808412
reference,pattern_assignment,4096,8192,0.9889298909236762
