backend,component_group,from_context,to_context,total_us_ratio,from_share_percent,to_share_percent,scaling_class
fused,QK,2048,4096,1.0263723556357325,15.525651285102432,15.797622094521872,constant-like
fused,QK,4096,8192,1.0328703227741425,15.797622094521872,16.018825339221006,constant-like
fused,QK,8192,16384,0.9990165038315644,16.018825339221006,15.296924123657671,constant-like
fused,QK,16384,32768,1.0577961316260125,15.296924123657671,15.499982817416521,constant-like
fused,softmax,2048,4096,0.9977286173161907,1.4634370656014348,1.4475161787500654,constant-like
fused,softmax,4096,8192,0.9712383515346813,1.4475161787500654,1.380201185398742,constant-like
fused,softmax,8192,16384,0.9787487339300573,1.380201185398742,1.2912620664050967,constant-like
fused,softmax,16384,32768,1.0487795561546167,1.2912620664050967,1.2972501683440432,constant-like
fused,mixed_v,2048,4096,1.0110482998671615,23.08863760496194,23.142334006083047,constant-like
fused,mixed_v,4096,8192,1.1065933291495185,23.142334006083047,25.141335964635665,constant-like
fused,mixed_v,8192,16384,1.1536390813679998,25.141335964635665,27.724204596625974,constant-like
fused,mixed_v,16384,32768,1.2507772810817308,27.724204596625974,33.217290844894876,sublinear
fused,importance_update,2048,4096,0.9923123832962338,4.276373957276684,4.2068888145155325,constant-like
fused,importance_update,4096,8192,0.992810291868442,4.2068888145155325,4.100345486706893,constant-like
fused,importance_update,8192,16384,1.0011356460386656,4.100345486706893,3.923865925156859,constant-like
fused,importance_update,16384,32768,1.0068800872551196,3.923865925156859,3.784574347670972,constant-like
fused,selector,2048,4096,1.0194868686402037,1.2205856382418758,1.2336354441763824,constant-like
fused,selector,4096,8192,0.9793329806398489,1.2336354441763824,1.1860701212049536,constant-like
fused,selector,8192,16384,0.9900694714045798,1.1860701212049536,1.1224753652793107,constant-like
fused,selector,16384,32768,1.0216552608048886,1.1224753652793107,1.0985158406412725,constant-like
fused,packing,2048,4096,1.0080326223447622,1.981010930149549,1.9796955451583178,constant-like
fused,packing,4096,8192,0.9864967840352701,1.9796955451583178,1.9172874345299733,constant-like
fused,packing,8192,16384,0.9993706160282843,1.9172874345299733,1.8315323144699365,constant-like
fused,packing,16384,32768,1.0159762327969781,1.8315323144699365,1.7824742460348202,constant-like
fused,cache_mutation,2048,4096,1.0188401204244515,22.652131258230344,22.87979110107541,constant-like
fused,cache_mutation,4096,8192,0.9864591576065559,22.87979110107541,22.157681232037092,constant-like
fused,cache_mutation,8192,16384,1.0221126246332195,22.157681232037092,21.648302418129813,constant-like
fused,cache_mutation,16384,32768,0.9864249018563526,21.648302418129813,20.455636767804837,constant-like
reference,QK,2048,4096,1.0358795771409366,13.189336837443498,15.183011691239088,constant-like
reference,QK,4096,8192,1.0272067946312347,15.183011691239088,14.891106155354663,constant-like
reference,QK,8192,16384,1.0028128638469123,14.891106155354663,12.820767722363577,constant-like
reference,QK,16384,32768,1.0510481168496957,12.820767722363577,9.501751068884522,constant-like
reference,softmax,2048,4096,1.0064945082376966,1.2529724934871118,1.4014533387385906,constant-like
reference,softmax,4096,8192,0.961389679781465,1.4014533387385906,1.2864391489860039,constant-like
reference,softmax,8192,16384,0.989487799190589,1.2864391489860039,1.092865881121653,constant-like
reference,softmax,16384,32768,1.0300238661981895,1.092865881121653,0.7937453119433795,constant-like
reference,mixed_v,2048,4096,1.0371064542276611,24.16658839408158,27.852512523573193,constant-like
reference,mixed_v,4096,8192,1.3195900392612192,27.852512523573193,35.09252003961671,sublinear
reference,mixed_v,8192,16384,1.7266793142003125,35.09252003961671,52.02276351841745,sublinear
reference,mixed_v,16384,32768,1.8149231047001995,52.02276351841745,66.57614834418449,roughly linear
reference,importance_update,2048,4096,0.997839212334115,3.652563241186842,4.050270292510559,constant-like
reference,importance_update,4096,8192,0.9874204600609042,4.050270292510559,3.8185394187962767,constant-like
reference,importance_update,8192,16384,1.0036773222158182,3.8185394187962767,3.2904747743588363,constant-like
reference,importance_update,16384,32768,0.9998072032926345,3.2904747743588363,2.3197535342383184,constant-like
reference,selector,2048,4096,1.0412878331299285,1.0248081759156773,1.1858754309559985,constant-like
reference,selector,4096,8192,0.9628024940592909,1.1858754309559985,1.0901529334644702,constant-like
reference,selector,8192,16384,0.998669510777923,1.0901529334644702,0.9347089366125738,constant-like
reference,selector,16384,32768,1.019060247780488,0.9347089366125738,0.6716503935141294,constant-like
reference,packing,2048,4096,1.0231580026218394,1.675635800171887,1.905232722364066,constant-like
reference,packing,4096,8192,0.9675724397661867,1.905232722364066,1.7601215940553705,constant-like
reference,packing,8192,16384,1.0025615923274278,1.7601215940553705,1.5150288748985823,constant-like
reference,packing,16384,32768,1.0139615768867405,1.5150288748985823,1.0832019326292373,constant-like
reference,cache_mutation,2048,4096,1.025494186045442,19.262161362735963,21.951485501188703,constant-like
reference,cache_mutation,4096,8192,1.0373692472440483,21.951485501188703,21.742447700958603,constant-like
reference,cache_mutation,8192,16384,1.0043130862460234,21.742447700958603,18.747559117193884,constant-like
reference,cache_mutation,16384,32768,0.9528723213415778,18.747559117193884,12.596400532497107,constant-like
