category,calls,append_bytes,old_bytes,estimated_copy_bytes,largest_result_bytes,mean_copy_bytes,context_tokens,bytes_per_generated_token
assignments,64,524288,32505856,33030144,516096,516096.0,8192,258048.0
causal_importance,4096,0,135258112,135258112,33280,33022.0,8192,1056704.0
packed_k_payload,32,1048576,65011712,66060288,2064384,2064384.0,8192,516096.0
packed_k_scale,32,65536,4063232,4128768,129024,129024.0,8192,32256.0
packed_k_zero,32,65536,4063232,4128768,129024,129024.0,8192,32256.0
packed_v2_payload,32,786432,48758784,49545216,1548288,1548288.0,8192,387072.0
packed_v2_scale,32,49152,3047424,3096576,96768,96768.0,8192,24192.0
packed_v2_zero,32,49152,3047424,3096576,96768,96768.0,8192,24192.0
packed_v4_payload,32,524288,32505856,33030144,1032192,1032192.0,8192,258048.0
packed_v4_scale,32,16384,1015808,1032192,32256,32256.0,8192,8064.0
packed_v4_zero,32,16384,1015808,1032192,32256,32256.0,8192,8064.0
pattern_mask,32,32768,2031616,2064384,64512,64512.0,8192,16128.0
precision_mask,32,4096,253952,258048,8064,8064.0,8192,2016.0
recent_pending,16320,33423360,3212836864,3246260224,264192,198913.00392156863,8192,25361408.0
assignments,64,524288,66060288,66584576,1040384,1040384.0,16384,520192.0
causal_importance,4096,0,269475840,269475840,66048,65790.0,16384,2105280.0
packed_k_payload,32,1048576,132120576,133169152,4161536,4161536.0,16384,1040384.0
packed_k_scale,32,65536,8257536,8323072,260096,260096.0,16384,65024.0
packed_k_zero,32,65536,8257536,8323072,260096,260096.0,16384,65024.0
packed_v2_payload,32,786432,99090432,99876864,3121152,3121152.0,16384,780288.0
packed_v2_scale,32,49152,6193152,6242304,195072,195072.0,16384,48768.0
packed_v2_zero,32,49152,6193152,6242304,195072,195072.0,16384,48768.0
packed_v4_payload,32,524288,66060288,66584576,2080768,2080768.0,16384,520192.0
packed_v4_scale,32,16384,2064384,2080768,65024,65024.0,16384,16256.0
packed_v4_zero,32,16384,2064384,2080768,65024,65024.0,16384,16256.0
pattern_mask,32,32768,4128768,4161536,130048,130048.0,16384,32512.0
precision_mask,32,4096,516096,520192,16256,16256.0,16384,4064.0
recent_pending,16320,33423360,3212836864,3246260224,264192,198913.00392156863,16384,25361408.0
assignments,64,524288,133169152,133693440,2088960,2088960.0,32768,1044480.0
causal_importance,4096,0,537911296,537911296,131584,131326.0,32768,4202432.0
packed_k_payload,32,1048576,266338304,267386880,8355840,8355840.0,32768,2088960.0
packed_k_scale,32,65536,16646144,16711680,522240,522240.0,32768,130560.0
packed_k_zero,32,65536,16646144,16711680,522240,522240.0,32768,130560.0
packed_v2_payload,32,786432,199753728,200540160,6266880,6266880.0,32768,1566720.0
packed_v2_scale,32,49152,12484608,12533760,391680,391680.0,32768,97920.0
packed_v2_zero,32,49152,12484608,12533760,391680,391680.0,32768,97920.0
packed_v4_payload,32,524288,133169152,133693440,4177920,4177920.0,32768,1044480.0
packed_v4_scale,32,16384,4161536,4177920,130560,130560.0,32768,32640.0
packed_v4_zero,32,16384,4161536,4177920,130560,130560.0,32768,32640.0
pattern_mask,32,32768,8323072,8355840,261120,261120.0,32768,65280.0
precision_mask,32,4096,1040384,1044480,32640,32640.0,32768,8160.0
recent_pending,16320,33423360,3212836864,3246260224,264192,198913.00392156863,32768,25361408.0
