tensor,shape,dtype,bytes,calls,bytes_per_decode_token,context_tokens,packed_tokens
mixed_v_attn2_compact,1x32x1x5952,torch.float16,38092800,100,380928.0,8192,7936
mixed_v_attn4_compact,1x32x1x1984,torch.float16,12697600,100,126976.0,8192,7936
mixed_v_idx2_compact,1x8x5952,torch.int64,38092800,100,380928.0,8192,7936
mixed_v_idx4_compact,1x8x1984,torch.int64,12697600,100,126976.0,8192,7936
mixed_v_mask2_compact,1x8x5952,torch.uint8,4761600,100,47616.0,8192,7936
mixed_v_mask4_compact,1x8x1984,torch.uint8,1587200,100,15872.0,8192,7936
mixed_v_attn2_compact,1x32x1x12096,torch.float16,77414400,100,774144.0,16384,16128
mixed_v_attn4_compact,1x32x1x4032,torch.float16,25804800,100,258048.0,16384,16128
mixed_v_idx2_compact,1x8x12096,torch.int64,77414400,100,774144.0,16384,16128
mixed_v_idx4_compact,1x8x4032,torch.int64,25804800,100,258048.0,16384,16128
mixed_v_mask2_compact,1x8x12096,torch.uint8,9676800,100,96768.0,16384,16128
mixed_v_mask4_compact,1x8x4032,torch.uint8,3225600,100,32256.0,16384,16128
mixed_v_attn2_compact,1x32x1x24384,torch.float16,156057600,100,1560576.0,32768,32512
mixed_v_attn4_compact,1x32x1x8128,torch.float16,52019200,100,520192.0,32768,32512
mixed_v_idx2_compact,1x8x24384,torch.int64,156057600,100,1560576.0,32768,32512
mixed_v_idx4_compact,1x8x8128,torch.int64,52019200,100,520192.0,32768,32512
mixed_v_mask2_compact,1x8x24384,torch.uint8,19507200,100,195072.0,32768,32512
mixed_v_mask4_compact,1x8x8128,torch.uint8,6502400,100,65024.0,32768,32512
