variant,candidate_type,iters,grid,k_proj_batch_relative_l2,k_proj_batch_max_abs,centroid_batch_relative_l2,assignment_diff_rate,aligned_assignment_diff_rate,reconstructed_k_batch_rel_l2,qk_batch_rel_l2,qk_batch_max_abs,qk_batch_cosine,k_reconstruction_rel_l2_to_fp16,qk_rel_l2_to_fp16,k_quality_ratio,qk_quality_ratio,k_stability_improvement,qk_stability_improvement,centroid_construction_latency_ms
BASELINE_CURRENT,kmeans,30,,0.00023537653032690287,0.0078125,0.045991893857717514,0.015380859375,0.015380859375,0.11692483723163605,0.06322890520095825,4.888428211212158,0.9979994893074036,0.24786736071109772,0.11247202008962631,1.0,1.0,1.0,1.0,96.01380093954504
FIXED_B1_CENTROID_ORACLE,fixed,30,,0.00023537653032690287,0.0078125,0.0,0.0,0.0,0.008921680971980095,0.004187698010355234,0.762730598449707,0.999991238117218,0.24786736071109772,0.11247202008962631,1.0,1.0,13.10569584351384,15.098726088798047,0.012699980288743973
ANCHOR_ONLY,anchor,0,,0.00023537653032690287,0.0078125,0.00023891955788712949,0.00146484375,0.00146484375,0.03147076442837715,0.01554623618721962,5.199217319488525,0.9998791813850403,0.3410487771034241,0.15517334640026093,1.3759325799290458,1.379661770781808,3.7153478587321844,4.06715197424686,0.2183951437473297
KMEANS_1,kmeans,1,,0.00023537653032690287,0.0078125,0.017943324521183968,0.003173828125,0.003173828125,0.05227455869317055,0.02587154135107994,4.936976909637451,0.9996652603149414,0.25797465443611145,0.11825252324342728,1.0407770256479807,1.0513950327307593,2.236744606835137,2.443955864203619,0.9528449736535549
KMEANS_2,kmeans,2,,0.00023537653032690287,0.0078125,0.02209015190601349,0.005615234375,0.005615234375,0.06700511276721954,0.0348978228867054,4.594259262084961,0.9993910789489746,0.25305333733558655,0.11633185297250748,1.0209223861084855,1.0343181609062,1.7450136624326136,1.8118295059903522,1.43311801366508
KMEANS_4,kmeans,4,,0.00023537653032690287,0.0078125,0.03095647506415844,0.01171875,0.01171875,0.0975608229637146,0.04984742030501366,4.340167999267578,0.9987569451332092,0.2491840124130249,0.1134537011384964,1.0053119204487024,1.0087282245672107,1.198481456794634,1.2684488949290458,2.650461858138442
KMEANS_8,kmeans,8,,0.00023537653032690287,0.0078125,0.04060935974121094,0.01513671875,0.01513671875,0.11502793431282043,0.06342267990112305,4.020240306854248,0.9979885220527649,0.24841172993183136,0.11278892308473587,1.002196211793162,1.0028176162823166,1.0164908022572756,0.9969447096769343,4.420279990881681
KMEANS_16,kmeans,16,,0.00023537653032690287,0.0078125,0.04599607735872269,0.015380859375,0.015380859375,0.1169050857424736,0.06321034580469131,4.888428211212158,0.9980005621910095,0.24789340794086456,0.11261104047298431,1.0001050853557003,1.0012360441578911,1.0001689532070996,1.0002936132690095,8.32405500113964
KMEANS_30,kmeans,30,,0.00023537653032690287,0.0078125,0.045991893857717514,0.015380859375,0.015380859375,0.11692483723163605,0.06322890520095825,4.888428211212158,0.9979994893074036,0.24786736071109772,0.11247202008962631,1.0,1.0,1.0,1.0,11.0200229100883
CANONICALIZED_0_5XP99,canonical,30,0.0009765625,0.00023537653032690287,0.0078125,0.04893539845943451,0.017333984375,0.017333984375,0.12949985265731812,0.0668363869190216,4.88754415512085,0.9977646470069885,0.24796000123023987,0.1124008372426033,1.0003737503755088,0.9993671061747954,0.9028955232948565,0.9460251835211537,11.140896007418633
CANONICALIZED_P95,canonical,30,0.0009765625,0.00023537653032690287,0.0078125,0.04893539845943451,0.017333984375,0.017333984375,0.12949985265731812,0.0668363869190216,4.88754415512085,0.9977646470069885,0.24796000123023987,0.1124008372426033,1.0003737503755088,0.9993671061747954,0.9028955232948565,0.9460251835211537,11.002605082467198
CANONICALIZED_P99,canonical,30,0.001953125,0.00023537653032690287,0.0078125,0.05109811946749687,0.017578125,0.017578125,0.12396280467510223,0.06302464753389359,4.390501022338867,0.9980124831199646,0.2473311722278595,0.1122303158044815,0.9978367927035654,0.9978509829826814,0.9432251677274308,1.0032409172451908,10.933369863778353
CANONICALIZED_2XP99,canonical,30,0.00390625,0.00023537653032690287,0.0078125,0.03468404337763786,0.01220703125,0.01220703125,0.09233329445123672,0.03945772722363472,3.6257638931274414,0.9992215633392334,0.24804647266864777,0.11261175572872162,1.0007226121141413,1.0012424035683183,1.2663345104986659,1.602446710693587,11.169607052579522
CANONICALIZED_MAX,canonical,30,0.0078125,0.00023537653032690287,0.0078125,0.037374041974544525,0.01220703125,0.01220703125,0.10860838741064072,0.05613048002123833,4.204616069793701,0.9984244704246521,0.24961799383163452,0.11329194903373718,1.0070627819472255,1.007290070396686,1.0765728137510358,1.1264629338112566,7.013310911133885
SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,serial_oracle,30,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.24786736071109772,0.11247202008962631,1.0,1.0,inf,inf,10.79197390936315
