variant,k_reconstruction_rel_l2_to_fp16,qk_rel_l2_to_fp16,k_quality_ratio,qk_quality_ratio
BASELINE_CURRENT,0.24786736071109772,0.11247202008962631,1.0,1.0
FIXED_B1_CENTROID_ORACLE,0.24786736071109772,0.11247202008962631,1.0,1.0
ANCHOR_ONLY,0.3410487771034241,0.15517334640026093,1.3759325799290458,1.379661770781808
KMEANS_1,0.25797465443611145,0.11825252324342728,1.0407770256479807,1.0513950327307593
KMEANS_2,0.25305333733558655,0.11633185297250748,1.0209223861084855,1.0343181609062
KMEANS_4,0.2491840124130249,0.1134537011384964,1.0053119204487024,1.0087282245672107
KMEANS_8,0.24841172993183136,0.11278892308473587,1.002196211793162,1.0028176162823166
KMEANS_16,0.24789340794086456,0.11261104047298431,1.0001050853557003,1.0012360441578911
KMEANS_30,0.24786736071109772,0.11247202008962631,1.0,1.0
CANONICALIZED_0_5XP99,0.24796000123023987,0.1124008372426033,1.0003737503755088,0.9993671061747954
CANONICALIZED_P95,0.24796000123023987,0.1124008372426033,1.0003737503755088,0.9993671061747954
CANONICALIZED_P99,0.2473311722278595,0.1122303158044815,0.9978367927035654,0.9978509829826814
CANONICALIZED_2XP99,0.24804647266864777,0.11261175572872162,1.0007226121141413,1.0012424035683183
CANONICALIZED_MAX,0.24961799383163452,0.11329194903373718,1.0070627819472255,1.007290070396686
SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,0.24786736071109772,0.11247202008962631,1.0,1.0
