variant,centroid_batch_relative_l2,assignment_diff_rate,reconstructed_k_batch_rel_l2,qk_batch_rel_l2,k_stability_improvement,qk_stability_improvement
BASELINE_CURRENT,0.045991893857717514,0.015380859375,0.11692483723163605,0.06322890520095825,1.0,1.0
FIXED_B1_CENTROID_ORACLE,0.0,0.0,0.008921680971980095,0.004187698010355234,13.10569584351384,15.098726088798047
ANCHOR_ONLY,0.00023891955788712949,0.00146484375,0.03147076442837715,0.01554623618721962,3.7153478587321844,4.06715197424686
KMEANS_1,0.017943324521183968,0.003173828125,0.05227455869317055,0.02587154135107994,2.236744606835137,2.443955864203619
KMEANS_2,0.02209015190601349,0.005615234375,0.06700511276721954,0.0348978228867054,1.7450136624326136,1.8118295059903522
KMEANS_4,0.03095647506415844,0.01171875,0.0975608229637146,0.04984742030501366,1.198481456794634,1.2684488949290458
KMEANS_8,0.04060935974121094,0.01513671875,0.11502793431282043,0.06342267990112305,1.0164908022572756,0.9969447096769343
KMEANS_16,0.04599607735872269,0.015380859375,0.1169050857424736,0.06321034580469131,1.0001689532070996,1.0002936132690095
KMEANS_30,0.045991893857717514,0.015380859375,0.11692483723163605,0.06322890520095825,1.0,1.0
CANONICALIZED_0_5XP99,0.04893539845943451,0.017333984375,0.12949985265731812,0.0668363869190216,0.9028955232948565,0.9460251835211537
CANONICALIZED_P95,0.04893539845943451,0.017333984375,0.12949985265731812,0.0668363869190216,0.9028955232948565,0.9460251835211537
CANONICALIZED_P99,0.05109811946749687,0.017578125,0.12396280467510223,0.06302464753389359,0.9432251677274308,1.0032409172451908
CANONICALIZED_2XP99,0.03468404337763786,0.01220703125,0.09233329445123672,0.03945772722363472,1.2663345104986659,1.602446710693587
CANONICALIZED_MAX,0.037374041974544525,0.01220703125,0.10860838741064072,0.05613048002123833,1.0765728137510358,1.1264629338112566
SERIAL_B1_KPROJ_ORACLE_CURRENT_KMEANS,0.0,0.0,0.0,0.0,inf,inf
