tokens,capacity,assignment,packed_stride_token,packed_stride_ic,max_abs,mean_abs,relative_l2,cosine,nan,inf,passed
127,384,normal,1,24,0.0,0.0,0.0,1.0,0,0,True
128,512,normal,1,32,0.0,0.0,0.0,0.9999998807907104,0,0,True
129,512,normal,1,32,0.0,0.0,0.0,0.9999999403953552,0,0,True
255,512,normal,1,32,0.0,0.0,0.0,1.0,0,0,True
256,640,normal,1,40,0.0,0.0,0.0,0.9999999403953552,0,0,True
257,640,normal,1,40,0.0,0.0,0.0,0.9999998807907104,0,0,True
2048,2432,normal,1,152,0.0,0.0,0.0,1.0,0,0,True
8192,32768,normal,1,2048,0.0,0.0,0.0,1.0,0,0,True
16384,32768,normal,1,2048,0.0,0.0,0.0,0.9999998807907104,0,0,True
32768,33792,normal,1,2112,0.0,0.0,0.0,0.9999998807907104,0,0,True
512,896,uniform,1,56,0.0,0.0,0.0,0.9999999403953552,0,0,True
512,896,skewed,1,56,0.0,0.0,0.0,0.9999999403953552,0,0,True
512,896,all_same,1,56,0.0,0.0,0.0,1.0000001192092896,0,0,True
